Linux 3.19.0-25-generic (dss-storage-1) 	10/25/2015 	_x86_64_	(24 CPU)

12:24:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:24:51 AM  all    1.44    0.00    1.44    0.00    0.00    0.17    0.00    0.00    0.00   96.94
12:24:52 AM  all    1.23    0.00    1.14    0.57    0.00    0.09    0.00    0.00    0.00   96.96
12:24:53 AM  all    1.44    0.00    1.13    0.79    0.00    0.17    0.00    0.00    0.00   96.46
12:24:54 AM  all    1.66    0.00    1.75    0.44    0.00    0.35    0.00    0.00    0.00   95.80
12:24:55 AM  all    1.59    0.00    1.50    0.44    0.00    0.26    0.00    0.00    0.00   96.21
12:24:56 AM  all    1.94    0.00    1.63    0.44    0.00    0.31    0.00    0.00    0.00   95.68
12:24:57 AM  all    1.13    0.00    1.27    0.13    0.00    0.13    0.00    0.00    0.00   97.34
12:24:58 AM  all    1.91    0.00    1.24    0.49    0.04    0.22    0.00    0.00    0.00   96.09
12:24:59 AM  all    1.56    0.00    1.47    0.56    0.00    0.30    0.00    0.00    0.00   96.10
12:25:00 AM  all    1.58    0.00    1.72    0.53    0.00    0.18    0.00    0.00    0.00   95.99
12:25:01 AM  all    1.85    0.00    1.63    0.48    0.00    0.09    0.00    0.00    0.00   95.95
12:25:02 AM  all    2.18    0.00    1.42    0.58    0.04    0.22    0.00    0.00    0.00   95.56
12:25:03 AM  all    1.82    0.00    1.64    0.53    0.00    0.22    0.00    0.00    0.00   95.79
12:25:04 AM  all    1.50    0.00    1.33    0.57    0.00    0.09    0.00    0.00    0.00   96.51
12:25:05 AM  all    1.31    0.00    1.05    0.31    0.04    0.13    0.00    0.00    0.00   97.15
12:25:06 AM  all    1.89    0.00    1.54    0.13    0.00    0.18    0.00    0.00    0.00   96.26
12:25:07 AM  all    1.81    0.00    1.50    0.13    0.00    0.22    0.00    0.00    0.00   96.33
12:25:08 AM  all    2.01    0.00    1.27    0.83    0.00    0.18    0.00    0.00    0.00   95.71
12:25:09 AM  all    1.42    0.00    0.98    0.62    0.00    0.13    0.00    0.00    0.00   96.85
12:25:10 AM  all    1.86    0.00    1.29    0.44    0.00    0.31    0.00    0.00    0.00   96.10
12:25:11 AM  all    2.21    0.00    2.38    0.44    0.00    0.22    0.00    0.00    0.00   94.75
12:25:12 AM  all    1.25    0.00    0.73    0.35    0.00    0.09    0.00    0.00    0.00   97.58
12:25:13 AM  all    1.81    0.00    1.37    0.97    0.00    0.18    0.00    0.00    0.00   95.68
12:25:14 AM  all    1.74    0.00    1.31    3.23    0.00    0.13    0.00    0.00    0.00   93.59
12:25:15 AM  all    1.84    0.00    1.27    2.94    0.00    0.26    0.00    0.00    0.00   93.68
12:25:16 AM  all    1.49    0.00    1.01    1.23    0.00    0.26    0.00    0.00    0.00   96.01
12:25:17 AM  all    1.67    0.00    1.40    0.26    0.00    0.18    0.00    0.00    0.00   96.49
12:25:18 AM  all    1.40    0.00    1.05    0.39    0.00    0.09    0.00    0.00    0.00   97.07
12:25:19 AM  all    1.44    0.00    1.88    0.44    0.04    0.26    0.00    0.00    0.00   95.94
12:25:20 AM  all    1.79    0.00    1.44    0.48    0.00    0.22    0.00    0.00    0.00   96.08
12:25:21 AM  all    1.64    0.00    1.24    0.49    0.00    0.18    0.00    0.00    0.00   96.45
12:25:22 AM  all    1.37    0.00    1.33    0.52    0.00    0.21    0.00    0.00    0.00   96.57
12:25:23 AM  all    2.03    0.00    1.45    0.40    0.00    0.40    0.00    0.00    0.00   95.73
12:25:24 AM  all    1.44    0.00    0.87    0.09    0.00    0.13    0.00    0.00    0.00   97.46
12:25:25 AM  all    2.30    0.00    1.63    0.53    0.00    0.18    0.00    0.00    0.00   95.36
12:25:26 AM  all    1.45    0.00    0.92    0.53    0.00    0.22    0.00    0.00    0.00   96.89
12:25:27 AM  all    1.49    0.00    0.66    0.57    0.00    0.09    0.00    0.00    0.00   97.20
12:25:28 AM  all    1.17    0.00    0.96    0.52    0.00    0.22    0.00    0.00    0.00   97.13
12:25:29 AM  all    1.82    0.00    1.59    0.53    0.00    0.22    0.00    0.00    0.00   95.84
12:25:30 AM  all    1.55    0.00    1.25    0.22    0.00    0.17    0.00    0.00    0.00   96.81
12:25:31 AM  all    1.75    0.00    1.58    0.44    0.00    0.22    0.00    0.00    0.00   96.01
12:25:32 AM  all    1.72    0.00    1.59    0.13    0.04    0.35    0.00    0.00    0.00   96.16
12:25:33 AM  all    1.53    0.00    1.09    0.39    0.00    0.13    0.00    0.00    0.00   96.85
12:25:34 AM  all    2.06    0.00    1.31    0.57    0.00    0.26    0.00    0.00    0.00   95.79
12:25:35 AM  all    1.58    0.00    1.41    0.44    0.00    0.22    0.00    0.00    0.00   96.35
12:25:36 AM  all    1.59    0.00    1.32    0.53    0.00    0.26    0.00    0.00    0.00   96.30
12:25:37 AM  all    1.27    0.00    1.27    0.48    0.00    0.04    0.00    0.00    0.00   96.93
12:25:38 AM  all    1.57    0.00    1.22    1.00    0.00    0.09    0.00    0.00    0.00   96.11
12:25:39 AM  all    1.78    0.00    1.69    0.36    0.00    0.22    0.00    0.00    0.00   95.96
12:25:40 AM  all    1.73    0.00    0.98    0.13    0.00    0.22    0.00    0.00    0.00   96.94
12:25:41 AM  all    1.22    0.00    1.35    0.13    0.00    0.22    0.00    0.00    0.00   97.08
12:25:42 AM  all    1.66    0.00    1.48    0.13    0.00    0.17    0.00    0.00    0.00   96.56
12:25:43 AM  all    1.66    0.00    1.52    0.57    0.00    0.17    0.00    0.00    0.00   96.08
12:25:44 AM  all    1.46    0.00    1.02    0.53    0.00    0.18    0.00    0.00    0.00   96.82
12:25:45 AM  all    1.50    0.00    1.24    0.13    0.00    0.31    0.00    0.00    0.00   96.82
12:25:46 AM  all    1.95    0.00    1.60    0.40    0.04    0.35    0.00    0.00    0.00   95.66
12:25:47 AM  all    1.48    0.00    1.34    0.35    0.00    0.22    0.00    0.00    0.00   96.62
12:25:48 AM  all    1.36    0.00    1.32    0.48    0.00    0.18    0.00    0.00    0.00   96.66
12:25:49 AM  all    1.74    0.00    1.48    0.39    0.00    0.13    0.00    0.00    0.00   96.25
12:25:50 AM  all    2.11    0.00    2.02    0.44    0.00    0.22    0.00    0.00    0.00   95.20
12:25:51 AM  all    2.02    0.00    1.71    0.26    0.00    0.18    0.00    0.00    0.00   95.84
12:25:52 AM  all    1.31    0.00    1.53    0.39    0.00    0.26    0.00    0.00    0.00   96.51
12:25:53 AM  all    0.83    0.00    0.74    0.04    0.00    0.09    0.00    0.00    0.00   98.31
12:25:54 AM  all    1.45    0.00    1.27    0.66    0.04    0.18    0.00    0.00    0.00   96.41
12:25:55 AM  all    2.89    0.00    1.31    0.39    0.00    0.26    0.00    0.00    0.00   95.14
12:25:56 AM  all    2.63    0.00    1.58    0.53    0.00    0.35    0.00    0.00    0.00   94.91
12:25:57 AM  all    2.71    0.00    0.87    0.48    0.00    0.26    0.00    0.00    0.00   95.68
12:25:58 AM  all    3.60    0.00    1.45    0.35    0.00    0.22    0.00    0.00    0.00   94.38
12:25:59 AM  all    3.12    0.00    1.34    0.67    0.00    0.22    0.00    0.00    0.00   94.65
12:26:00 AM  all    2.44    0.00    1.13    0.44    0.00    0.09    0.00    0.00    0.00   95.91
12:26:01 AM  all    3.23    0.00    1.64    0.13    0.00    0.31    0.00    0.00    0.00   94.69
12:26:02 AM  all    3.11    0.00    0.96    0.26    0.00    0.09    0.00    0.00    0.00   95.58
12:26:03 AM  all    3.10    0.00    1.64    0.40    0.00    0.35    0.00    0.00    0.00   94.50
12:26:04 AM  all    2.53    0.00    0.96    0.70    0.00    0.13    0.00    0.00    0.00   95.68
12:26:05 AM  all    3.05    0.00    1.66    0.17    0.00    0.22    0.00    0.00    0.00   94.90
12:26:06 AM  all    2.31    0.00    0.73    0.51    0.00    0.13    0.00    0.00    0.00   96.32
12:26:07 AM  all    3.00    0.00    1.54    0.53    0.04    0.18    0.00    0.00    0.00   94.71
12:26:08 AM  all    3.20    0.00    2.00    0.53    0.00    0.31    0.00    0.00    0.00   93.96
12:26:09 AM  all    2.70    0.00    1.09    0.48    0.00    0.09    0.00    0.00    0.00   95.65
12:26:10 AM  all    2.82    0.00    1.37    0.35    0.00    0.13    0.00    0.00    0.00   95.32
12:26:11 AM  all    3.05    0.00    1.37    0.13    0.00    0.18    0.00    0.00    0.00   95.28
12:26:12 AM  all    3.16    0.00    1.58    0.26    0.04    0.40    0.00    0.00    0.00   94.55
12:26:13 AM  all    2.58    0.00    1.02    0.40    0.00    0.13    0.00    0.00    0.00   95.86
12:26:14 AM  all    3.24    0.00    1.64    0.31    0.00    0.18    0.00    0.00    0.00   94.63
12:26:15 AM  all    2.88    0.00    1.27    0.39    0.00    0.17    0.00    0.00    0.00   95.29
12:26:16 AM  all    2.95    0.00    0.97    0.35    0.04    0.13    0.00    0.00    0.00   95.55
12:26:17 AM  all    2.97    0.00    1.48    0.31    0.00    0.17    0.00    0.00    0.00   95.07
12:26:18 AM  all    3.16    0.00    1.98    0.44    0.00    0.26    0.00    0.00    0.00   94.16
12:26:19 AM  all    2.99    0.00    1.23    0.35    0.00    0.31    0.00    0.00    0.00   95.12
12:26:20 AM  all    2.58    0.00    1.36    0.31    0.00    0.26    0.00    0.00    0.00   95.50
