Linux 3.19.0-25-generic (dss-storage-1) 	10/26/2015 	_x86_64_	(24 CPU)

11:48:21 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:48:22 PM  all    5.94    0.00    2.27    0.54    0.00    0.36    0.00    0.00    0.00   90.89
11:48:23 PM  all    6.29    0.00    2.14    0.19    0.00    0.33    0.00    0.00    0.00   91.05
11:48:24 PM  all    6.48    0.00    2.28    0.27    0.05    0.46    0.00    0.00    0.00   90.47
11:48:25 PM  all    5.65    0.00    2.48    0.28    0.00    0.56    0.00    0.00    0.00   91.03
11:48:26 PM  all    6.89    0.00    2.30    0.32    0.00    0.41    0.00    0.00    0.00   90.08
11:48:27 PM  all    6.83    0.00    2.46    0.96    0.00    0.32    0.00    0.00    0.00   89.44
11:48:28 PM  all    7.36    0.00    2.53    0.41    0.00    0.45    0.00    0.00    0.00   89.26
11:48:29 PM  all    6.64    0.00    2.49    0.46    0.00    0.69    0.00    0.00    0.00   89.71
11:48:30 PM  all    5.74    0.00    2.92    0.46    0.00    0.36    0.00    0.00    0.00   90.52
11:48:31 PM  all    6.59    0.00    1.98    0.51    0.00    0.32    0.00    0.00    0.00   90.60
11:48:32 PM  all    7.05    0.00    2.75    0.33    0.00    0.28    0.00    0.00    0.00   89.59
11:48:33 PM  all    6.81    0.00    2.65    0.46    0.00    0.37    0.00    0.00    0.00   89.72
11:48:34 PM  all    6.54    0.00    2.58    0.14    0.05    0.41    0.00    0.00    0.00   90.29
11:48:35 PM  all    7.11    0.00    2.31    0.28    0.00    0.32    0.00    0.00    0.00   89.98
11:48:36 PM  all    7.66    0.00    3.27    0.47    0.00    0.47    0.00    0.00    0.00   88.14
11:48:37 PM  all    6.85    0.00    2.45    0.73    0.00    0.50    0.00    0.00    0.00   89.47
11:48:38 PM  all    6.65    0.00    2.61    0.37    0.00    0.60    0.00    0.00    0.00   89.77
11:48:39 PM  all    6.71    0.00    3.03    0.42    0.00    0.42    0.00    0.00    0.00   89.42
11:48:40 PM  all    6.94    0.00    2.24    0.73    0.00    0.37    0.00    0.00    0.00   89.72
11:48:41 PM  all    6.76    0.00    2.70    2.97    0.00    0.37    0.00    0.00    0.00   87.21
11:48:42 PM  all    6.87    0.00    2.12    0.97    0.00    0.46    0.00    0.00    0.00   89.58
11:48:43 PM  all    6.97    0.00    3.05    0.37    0.00    0.42    0.00    0.00    0.00   89.20
11:48:44 PM  all    7.36    0.00    2.50    0.46    0.00    0.46    0.00    0.00    0.00   89.21
11:48:45 PM  all    6.37    0.00    2.54    0.37    0.00    0.37    0.00    0.00    0.00   90.35
11:48:46 PM  all    6.61    0.00    2.96    0.46    0.00    0.32    0.00    0.00    0.00   89.64
11:48:47 PM  all    5.73    0.00    2.34    0.46    0.05    0.64    0.00    0.00    0.00   90.79
11:48:48 PM  all    7.00    0.00    2.18    0.27    0.00    0.27    0.00    0.00    0.00   90.27
11:48:49 PM  all    6.28    0.00    2.66    0.46    0.00    0.50    0.00    0.00    0.00   90.11
11:48:50 PM  all    6.94    0.00    3.05    0.32    0.00    0.42    0.00    0.00    0.00   89.26
11:48:51 PM  all    5.98    0.00    3.31    0.56    0.00    0.56    0.00    0.00    0.00   89.59
11:48:52 PM  all    5.75    0.00    2.73    0.05    0.00    0.46    0.00    0.00    0.00   91.01
11:48:53 PM  all    7.89    0.00    2.83    0.32    0.00    0.60    0.00    0.00    0.00   88.35
11:48:54 PM  all    6.77    0.00    1.51    0.46    0.00    0.18    0.00    0.00    0.00   91.08
11:48:55 PM  all    6.00    0.00    2.93    0.37    0.00    0.65    0.00    0.00    0.00   90.04
11:48:56 PM  all    6.93    0.00    2.11    0.45    0.00    0.22    0.00    0.00    0.00   90.28
11:48:57 PM  all    4.71    0.00    2.12    0.42    0.00    0.42    0.00    0.00    0.00   92.34
11:48:58 PM  all    7.43    0.00    1.92    0.50    0.00    0.32    0.00    0.00    0.00   89.83
11:48:59 PM  all    5.74    0.00    2.01    0.41    0.00    0.36    0.00    0.00    0.00   91.48
11:49:00 PM  all    6.01    0.00    2.25    0.41    0.00    0.46    0.00    0.00    0.00   90.88
11:49:01 PM  all    6.47    0.00    1.70    0.28    0.00    0.18    0.00    0.00    0.00   91.38
11:49:02 PM  all    6.51    0.00    1.99    0.18    0.05    0.32    0.00    0.00    0.00   90.96
11:49:03 PM  all    7.25    0.00    2.96    0.32    0.00    0.60    0.00    0.00    0.00   88.87
11:49:04 PM  all    7.03    0.00    2.46    0.41    0.00    0.32    0.00    0.00    0.00   89.78
11:49:05 PM  all    8.20    0.00    2.91    0.22    0.00    0.49    0.00    0.00    0.00   88.17
11:49:06 PM  all    7.59    0.00    2.96    0.41    0.05    0.86    0.00    0.00    0.00   88.13
11:49:07 PM  all    7.42    0.00    2.20    0.69    0.00    0.96    0.00    0.00    0.00   88.74
11:49:08 PM  all    7.96    0.00    2.58    0.37    0.00    0.41    0.00    0.00    0.00   88.68
11:49:09 PM  all    8.24    0.00    3.30    0.41    0.00    0.69    0.00    0.00    0.00   87.36
11:49:10 PM  all    7.34    0.00    2.29    0.37    0.00    0.37    0.00    0.00    0.00   89.63
11:49:11 PM  all    7.62    0.00    2.77    0.54    0.00    0.45    0.00    0.00    0.00   88.61
11:49:12 PM  all    8.27    0.00    3.51    0.56    0.00    0.51    0.00    0.00    0.00   87.14
11:49:13 PM  all    7.66    0.00    2.57    0.09    0.05    0.41    0.00    0.00    0.00   89.22
11:49:14 PM  all    7.06    0.00    3.72    0.42    0.00    0.33    0.00    0.00    0.00   88.48
11:49:15 PM  all    7.56    0.00    3.08    0.42    0.00    0.65    0.00    0.00    0.00   88.29
11:49:16 PM  all    5.79    0.00    2.19    0.41    0.00    0.27    0.00    0.00    0.00   91.34
11:49:17 PM  all    7.68    0.00    3.15    0.60    0.00    0.69    0.00    0.00    0.00   87.88
11:49:18 PM  all    6.31    0.00    2.20    0.46    0.00    0.32    0.00    0.00    0.00   90.71
11:49:19 PM  all    6.49    0.00    2.49    0.46    0.00    0.41    0.00    0.00    0.00   90.15
11:49:20 PM  all    6.71    0.00    2.76    0.55    0.00    0.37    0.00    0.00    0.00   89.61
11:49:21 PM  all    6.38    0.00    2.32    0.36    0.00    0.32    0.00    0.00    0.00   90.61
11:49:22 PM  all    5.00    0.00    2.34    0.23    0.00    0.32    0.00    0.00    0.00   92.12
11:49:23 PM  all    7.92    0.00    3.52    0.56    0.05    0.56    0.00    0.00    0.00   87.40
11:49:24 PM  all    8.18    0.00    3.58    0.51    0.05    0.46    0.00    0.00    0.00   87.22
11:49:25 PM  all    7.13    0.00    2.70    0.32    0.00    0.37    0.00    0.00    0.00   89.49
11:49:26 PM  all    8.54    0.00    2.43    0.51    0.05    0.73    0.00    0.00    0.00   87.74
11:49:27 PM  all    8.45    0.00    2.72    0.37    0.00    0.51    0.00    0.00    0.00   87.95
11:49:28 PM  all    8.11    0.00    2.76    0.83    0.00    0.46    0.00    0.00    0.00   87.84
11:49:29 PM  all    8.11    0.00    1.89    0.41    0.00    0.23    0.00    0.00    0.00   89.35
11:49:30 PM  all    7.91    0.00    2.26    0.23    0.00    0.27    0.00    0.00    0.00   89.34
11:49:31 PM  all    7.37    0.00    2.72    0.37    0.00    0.41    0.00    0.00    0.00   89.12
11:49:32 PM  all    7.24    0.00    2.00    0.46    0.00    0.50    0.00    0.00    0.00   89.79
11:49:33 PM  all    8.26    0.00    3.38    0.28    0.00    0.61    0.00    0.00    0.00   87.48
11:49:34 PM  all    7.32    0.00    1.58    0.23    0.00    0.23    0.00    0.00    0.00   90.64
11:49:35 PM  all    8.34    0.00    2.37    0.50    0.05    0.36    0.00    0.00    0.00   88.38
11:49:36 PM  all    8.38    0.00    2.67    0.41    0.00    0.41    0.00    0.00    0.00   88.12
11:49:37 PM  all    9.29    0.00    3.10    0.47    0.00    0.47    0.00    0.00    0.00   86.68
11:49:38 PM  all    9.48    0.00    3.08    0.55    0.00    0.32    0.00    0.00    0.00   86.56
11:49:39 PM  all    8.06    0.00    2.30    0.60    0.00    0.32    0.00    0.00    0.00   88.71
11:49:40 PM  all    8.64    0.00    3.16    0.19    0.00    0.42    0.00    0.00    0.00   87.60
11:49:41 PM  all    7.63    0.00    2.10    0.46    0.00    0.18    0.00    0.00    0.00   89.63
11:49:42 PM  all    9.26    0.00    4.19    0.28    0.00    0.98    0.00    0.00    0.00   85.29
11:49:43 PM  all    9.15    0.00    3.75    0.41    0.00    0.59    0.00    0.00    0.00   86.09
11:49:44 PM  all    8.42    0.00    3.13    0.60    0.00    0.32    0.00    0.00    0.00   87.53
11:49:45 PM  all    8.45    0.00    2.89    0.46    0.00    0.23    0.00    0.00    0.00   87.97
11:49:46 PM  all    8.56    0.00    3.43    0.37    0.00    0.37    0.00    0.00    0.00   87.27
11:49:47 PM  all    5.73    0.00    2.25    0.37    0.00    0.27    0.00    0.00    0.00   91.38
11:49:48 PM  all    7.49    0.00    3.28    0.88    0.00    0.37    0.00    0.00    0.00   87.99
11:49:49 PM  all    8.22    0.00    3.35    0.37    0.00    0.79    0.00    0.00    0.00   87.27
11:49:50 PM  all    6.40    0.00    3.03    0.19    0.05    0.33    0.00    0.00    0.00   90.01
11:49:51 PM  all    7.96    0.00    3.03    0.41    0.00    0.36    0.00    0.00    0.00   88.25
11:49:52 PM  all    6.93    0.00    2.37    0.36    0.00    0.46    0.00    0.00    0.00   89.88
11:49:53 PM  all    8.21    0.00    2.31    0.28    0.00    0.42    0.00    0.00    0.00   88.79
11:49:54 PM  all    8.65    0.00    3.75    0.46    0.00    0.19    0.00    0.00    0.00   86.96
11:49:55 PM  all    6.93    0.00    3.44    0.51    0.00    0.60    0.00    0.00    0.00   88.52
11:49:56 PM  all    7.61    0.00    2.70    0.46    0.00    0.32    0.00    0.00    0.00   88.91
11:49:57 PM  all    7.30    0.00    2.20    0.46    0.00    0.50    0.00    0.00    0.00   89.54
11:49:58 PM  all    7.98    0.00    2.43    1.10    0.00    0.41    0.00    0.00    0.00   88.08
11:49:59 PM  all    8.27    0.00    2.00    0.45    0.00    0.27    0.00    0.00    0.00   89.00
11:50:00 PM  all    9.03    0.00    3.46    0.51    0.00    0.51    0.00    0.00    0.00   86.50
11:50:01 PM  all    7.85    0.00    3.16    0.19    0.00    0.42    0.00    0.00    0.00   88.39
11:50:02 PM  all    6.28    0.00    4.78    0.37    0.00    0.52    0.00    0.00    0.00   88.05
11:50:03 PM  all    8.46    0.00    2.56    0.96    0.05    0.37    0.00    0.00    0.00   87.60
11:50:04 PM  all    7.46    0.00    2.38    0.23    0.00    0.32    0.00    0.00    0.00   89.61
11:50:05 PM  all    8.25    0.00    3.20    0.37    0.00    0.37    0.00    0.00    0.00   87.81
11:50:06 PM  all    9.01    0.00    3.35    0.46    0.00    0.42    0.00    0.00    0.00   86.76
11:50:07 PM  all    9.39    0.00    2.70    0.46    0.00    0.42    0.00    0.00    0.00   87.04
11:50:08 PM  all    7.92    0.00    3.30    0.59    0.00    0.27    0.00    0.00    0.00   87.92
11:50:09 PM  all    8.39    0.00    2.58    0.51    0.00    0.42    0.00    0.00    0.00   88.10
11:50:10 PM  all    6.51    0.00    3.00    0.51    0.00    0.55    0.00    0.00    0.00   89.43
11:50:11 PM  all    7.65    0.00    2.43    0.37    0.00    0.46    0.00    0.00    0.00   89.09
11:50:12 PM  all    8.91    0.00    2.63    0.32    0.05    0.51    0.00    0.00    0.00   87.58
11:50:13 PM  all    8.22    0.00    2.92    0.37    0.00    0.41    0.00    0.00    0.00   88.09
11:50:14 PM  all    7.89    0.00    2.69    0.37    0.00    0.51    0.00    0.00    0.00   88.53
11:50:15 PM  all    6.18    0.00    3.27    0.32    0.00    0.55    0.00    0.00    0.00   89.67
