Linux 3.19.0-25-generic (dss-storage-1) 	10/26/2015 	_x86_64_	(24 CPU)

06:09:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:09:13 PM  all    7.21    0.00    3.70    1.10    0.00    0.23    0.00    0.00    0.00   87.77
06:09:14 PM  all    2.49    0.00    1.67    3.26    0.00    0.32    0.00    0.00    0.00   92.26
06:09:15 PM  all    2.81    0.00    2.21    1.47    0.00    0.28    0.00    0.00    0.00   93.23
06:09:16 PM  all    3.08    0.00    2.54    1.41    0.00    0.32    0.00    0.00    0.00   92.66
06:09:17 PM  all    2.89    0.00    2.34    1.94    0.00    0.32    0.00    0.00    0.00   92.52
06:09:18 PM  all   25.21    0.00    6.86    1.40    0.05    0.89    0.00    0.00    0.00   65.59
06:09:19 PM  all   43.66    0.00    9.59    7.11    0.00    1.02    0.00    0.00    0.00   38.62
06:09:20 PM  all   36.33    0.00   10.42   24.02    0.00    1.66    0.00    0.00    0.00   27.57
06:09:21 PM  all   39.57    0.00   10.99   21.98    0.00    2.22    0.00    0.00    0.00   25.25
06:09:22 PM  all   25.46    0.00    7.95   27.57    0.00    1.19    0.00    0.00    0.00   37.82
06:09:23 PM  all   24.46    0.00    6.96   21.61    0.00    1.16    0.00    0.00    0.00   45.80
06:09:24 PM  all   20.78    0.00    5.80   17.85    0.00    1.14    0.00    0.00    0.00   54.43
06:09:25 PM  all   16.21    0.00    5.93   10.28    0.00    0.79    0.00    0.00    0.00   66.78
06:09:26 PM  all    5.09    0.00    2.43   11.60    0.00    0.46    0.00    0.00    0.00   80.42
06:09:27 PM  all    7.13    0.00    2.70    9.22    0.00    0.47    0.00    0.00    0.00   80.48
06:09:28 PM  all    9.43    0.00    3.63    4.53    0.00    0.50    0.00    0.00    0.00   81.91
06:09:29 PM  all    8.90    0.00    3.85    6.51    0.00    0.37    0.00    0.00    0.00   80.37
06:09:30 PM  all   10.03    0.00    4.35    6.82    0.00    0.60    0.00    0.00    0.00   78.21
06:09:31 PM  all   12.70    0.00    4.02    2.54    0.00    0.74    0.00    0.00    0.00   80.01
06:09:32 PM  all    7.04    0.00    3.72    1.09    0.00    0.59    0.00    0.00    0.00   87.56
06:09:33 PM  all    2.42    0.00    2.60    1.19    0.00    0.32    0.00    0.00    0.00   93.47
06:09:34 PM  all    7.59    0.00    2.98    3.39    0.05    0.32    0.00    0.00    0.00   85.68
06:09:35 PM  all    4.93    0.00    3.53    0.56    0.00    0.74    0.00    0.00    0.00   90.24
06:09:36 PM  all    8.03    0.00    4.90    0.65    0.00    0.61    0.00    0.00    0.00   85.81
06:09:37 PM  all    2.58    0.00    2.62    0.23    0.05    0.27    0.00    0.00    0.00   94.26
06:09:38 PM  all   14.37    0.00    4.45    1.02    0.00    0.65    0.00    0.00    0.00   79.52
