       p2p2       
 KB/s in  KB/s out
 1017.68  31294.78
10879.91  66808.90
  665.86  39201.79
  618.36  36041.33
10823.39  30814.81
25603.71  45068.78
247243.4  88806.17
520865.1  292150.6
292547.9  452015.3
141109.4  180339.6
54127.07  464423.1
14676.78  291809.2
13549.85  243001.7
11455.68  48810.69
 1722.26  34107.91
87004.55  126272.3
26729.74  20745.64
 6420.24  10410.08
 3445.41  99072.03
 1927.73  16526.12
  657.94  12874.13
 2852.43  73218.41
       p2p2       
 KB/s in  KB/s out
 1190.45  45532.83
 1580.98  46234.76
12925.28  31642.87
 6652.20  71689.29
 2592.18  10610.61
 1600.22  16170.50
  835.86   9160.92
 1606.55  10669.90
 1639.22  56916.96
 9421.76   9528.75
32317.04  18260.01
93908.83   9582.16
19649.30  37633.50
 1705.18  12771.31
11870.52  98104.10
 1828.75  120292.7
17826.62  183563.5
 9537.16  32425.65
26408.32  27535.04
401943.9  292434.4
210977.8  413993.6
50263.57  449216.3
       p2p2       
 KB/s in  KB/s out
75968.74  248194.2
 6790.17  350868.1
37637.34  201054.2
15016.46  91190.64
24053.90  165098.4
 1240.94  62808.96
 3011.64  19616.25
 4521.83  75411.29
10874.69  27761.25
 2102.77  14882.28
 4062.40  48673.68
 9472.02  38297.24
63068.83  32062.47
36358.49  61396.42
20685.68  89827.90
43371.97  79661.14
20636.91  48245.97
56448.74  80496.65
11510.11  47952.04
10193.06  28396.69
 3922.42  10574.34
29970.57  83287.00
       p2p2       
 KB/s in  KB/s out
17106.00  153523.5
26587.76  165872.6
 2279.57  82303.07
 1976.39  29077.91
  937.72  14476.19
 2771.92  15045.55
  843.87  14640.40
 1890.06   8603.36
 1260.08  59561.96
 3167.32  180957.1
 1860.34  112403.3
 1193.71  101335.5
15955.92  72548.94
47494.71  154197.1
132487.8  864548.6
149760.0  425852.5
14078.18  139716.1
99479.63  88020.45
 9443.83  143767.5
15217.60  121943.7
 2549.74  26494.74
 3472.09  67812.60
       p2p2       
 KB/s in  KB/s out
 4005.21  41290.33
 7767.50  38822.27
 2857.85  335855.5
14176.38  70324.68
 2288.63  59169.81
 5674.01  54053.63
11443.19  48570.11
16735.10  264798.7
 7620.67  330271.3
 3804.08  380889.4
 6360.60  213692.7
 2380.12  57943.42
15360.30  118336.8
 1314.14  132866.9
10024.92  213166.2
16209.75  57230.65
35115.50  84353.58
22798.68  15018.67
22081.41  110531.9
62796.28  52204.30
75281.31  114217.9
76872.12  130019.6
       p2p2       
 KB/s in  KB/s out
248373.8  243106.0
174635.8  218293.7
52495.36  298050.1
16513.00  166559.8
25243.27  251833.9
11271.30  58389.82
102388.5  168496.5
313411.1  437891.2
173503.4  204283.1
152606.1  161004.6
248428.2  336873.7
245125.0  121590.5
68531.06  100961.1
46562.40  100306.5
46432.44  90202.99
33692.25  121371.6
38378.02  127916.1
36720.14  69209.38
126888.6  49480.63
41736.12  70725.99
 9406.79  58892.47
 6833.06  56655.38
       p2p2       
 KB/s in  KB/s out
35018.37  153333.6
40142.75  102442.9
58802.25  167352.7
155820.6  162540.8
25354.30  118797.1
11936.40  93423.35
 2294.69  44696.12
 6153.28  55970.08
32019.99  135788.6
 8233.46  246171.2
15754.75  252463.6
17769.56  214934.5
47975.11  130065.5
 9835.21  169602.8
63730.77  171686.6
13088.18  166284.9
79128.72  224395.0
68042.54  116789.0
90112.31  130480.9
40082.29  222895.4
80120.29  234967.1
11841.15  334308.2
       p2p2       
 KB/s in  KB/s out
13701.94  133005.5
 7200.18  50517.13
53364.02  104599.3
131374.7  110561.2
89443.22  55307.53
29151.25  60158.96
 6314.98  136387.7
 4521.13  128887.2
21470.57  189916.0
20706.38  243000.8
21946.60  153886.4
60742.46  152952.0
 8882.62  127013.0
 3921.94  32526.26
13748.01  152867.1
11068.02  64071.20
11466.01  182180.3
11282.70  103711.5
20705.25  125646.7
55883.78  247508.0
19931.80  193119.5
36090.57  166083.3
       p2p2       
 KB/s in  KB/s out
31578.87  439633.2
 4883.62  392674.3
17554.25  212508.8
13233.84  190405.3
50093.27  169418.0
106597.4  73233.74
107767.5  138133.9
79850.01  144973.1
38246.56  88144.30
30654.68  273145.6
76690.33  223606.0
107269.9  92288.50
47479.38  166454.6
19267.52  125193.2
22177.77  212136.0
95698.22  64498.06
23348.04  87427.70
45608.15  179093.2
42829.26  135948.4
107476.8  169150.6
39164.56  300046.4
38523.33  166004.2
       p2p2       
 KB/s in  KB/s out
13175.18  109123.0
13235.08  144620.1
21282.04  120284.6
 5579.52  243838.8
57071.08  178599.5
65628.05  170882.5
69015.68  168077.7
34302.21  173379.8
 2958.65  123848.2
23530.82  132335.8
41041.36  222199.9
139307.4  174211.7
34963.99  243927.4
17092.57  315651.9
15296.21  115381.1
60868.72  185717.3
133296.4  99961.32
152412.1  123868.8
54058.80  293311.0
26885.05  436207.1
42210.57  138051.5
83103.48  313166.2
       p2p2       
 KB/s in  KB/s out
37824.94  254582.0
52736.52  156093.2
34527.43  134068.4
148553.2  106613.6
36237.64  95299.01
 5932.88  186162.9
 8292.03  286470.7
11538.54  150830.6
 9454.18  119669.1
64108.03  126201.3
84872.33  107705.7
138646.5  360372.8
45356.13  189807.9
19415.99  208423.7
13097.99  143992.2
11334.39  98627.81
26330.50  228119.6
75303.57  187525.7
33485.91  91361.25
24079.68  89828.14
 3355.32  146834.9
 5674.25  212819.9
       p2p2       
 KB/s in  KB/s out
 9656.70  380145.7
35434.27  304086.4
58688.74  321262.1
48642.87  294441.7
174418.8  346578.8
231513.4  276562.8
94255.33  190901.2
65538.67  187975.5
 7962.23  145460.6
64657.94  146845.4
50426.36  361176.1
111164.9  341102.1
28346.46  220111.7
33794.45  123040.0
66023.04  230369.6
51921.34  87240.63
30020.66  132099.7
98520.69  149382.8
37303.53  201692.0
79063.99  265821.9
13370.39  84358.30
77302.43  250566.5
       p2p2       
 KB/s in  KB/s out
91213.19  172959.7
124258.4  122061.7
101760.3  124300.2
72761.03  62238.57
79526.86  425715.9
145599.9  557200.3
104693.8  361160.3
151278.6  372945.7
93282.94  315589.4
31008.64  214011.9
14469.43  135304.9
149262.6  417302.2
137477.3  351589.9
48377.38  277563.1
69968.55  95728.42
73618.55  286658.4
110614.1  151461.8
44599.64  400808.6
73899.75  240216.2
73929.32  404268.2
54091.61  272074.5
61851.61  202535.4
       p2p2       
 KB/s in  KB/s out
78291.92  182454.1
113334.7  381529.1
46380.67  239844.7
62966.34  220318.6
21447.65  143226.8
170678.3  284095.2
145273.9  268799.3
