Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

12:38:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:38:14 AM  all   19.13    0.00    7.36   43.24    0.00    1.03    0.00    0.00    0.00   29.23
12:38:15 AM  all   17.83    0.00    9.84   47.31    0.00    0.75    0.00    0.00    0.00   24.27
12:38:16 AM  all   17.01    0.00    9.16   45.38    0.00    1.08    0.00    0.00    0.00   27.38
12:38:17 AM  all   31.24    0.00   16.59   36.03    0.00    1.10    0.00    0.00    0.00   15.05
12:38:18 AM  all   30.70    0.00    8.74   39.49    0.00    1.20    0.00    0.00    0.00   19.88
12:38:19 AM  all   29.92    0.00    8.92   35.13    0.00    1.40    0.00    0.00    0.00   24.63
12:38:20 AM  all   23.85    0.00    7.36   41.02    0.04    1.25    0.00    0.00    0.00   26.48
12:38:21 AM  all   32.53    0.00   15.14   30.54    0.00    1.46    0.00    0.00    0.00   20.33
12:38:22 AM  all   14.37    0.00    5.10   51.84    0.00    0.58    0.00    0.00    0.00   28.12
12:38:23 AM  all   27.52    0.00   36.06   21.63    0.00    1.47    0.00    0.00    0.00   13.31
12:38:24 AM  all   26.08    0.00   13.56   41.03    0.00    1.30    0.00    0.00    0.00   18.04
12:38:25 AM  all   18.53    0.00    7.98   51.29    0.00    0.92    0.00    0.00    0.00   21.28
12:38:26 AM  all   24.02    0.00    8.14   40.49    0.00    1.12    0.00    0.00    0.00   26.23
12:38:27 AM  all   24.57    0.00    9.51   37.05    0.04    1.20    0.00    0.00    0.00   27.63
12:38:28 AM  all   31.25    0.00   14.39   32.36    0.00    1.48    0.00    0.00    0.00   20.52
12:38:29 AM  all   34.74    0.00    9.94   30.39    0.00    1.57    0.00    0.00    0.00   23.37
12:38:30 AM  all   29.52    0.00    7.88   30.02    0.00    1.08    0.00    0.00    0.00   31.50
12:38:31 AM  all   36.98    0.00   11.90   30.94    0.00    1.32    0.00    0.00    0.00   18.86
12:38:32 AM  all   31.61    0.00   10.27   36.73    0.00    1.28    0.00    0.00    0.00   20.11
12:38:33 AM  all   21.24    0.00    7.42   44.16    0.00    1.16    0.00    0.00    0.00   26.03
12:38:34 AM  all   20.69    0.00    7.44   51.93    0.00    0.66    0.00    0.00    0.00   19.27
12:38:35 AM  all   28.70    0.00    8.57   40.53    0.00    1.02    0.00    0.00    0.00   21.19
12:38:36 AM  all   32.11    0.00   11.43   33.01    0.00    1.38    0.00    0.00    0.00   22.06
12:38:37 AM  all   31.93    0.00   13.35   33.59    0.00    1.16    0.00    0.00    0.00   19.96
12:38:38 AM  all   22.95    0.00    7.31   46.34    0.00    1.28    0.00    0.00    0.00   22.11
12:38:39 AM  all   33.03    0.00    8.95   37.11    0.00    1.23    0.00    0.00    0.00   19.69
12:38:40 AM  all   24.25    0.00    9.88   42.46    0.00    1.41    0.00    0.00    0.00   22.00
12:38:41 AM  all   19.71    0.00    7.56   48.43    0.00    0.71    0.00    0.00    0.00   23.60
12:38:42 AM  all   18.83    0.00   11.27   50.15    0.00    0.83    0.00    0.00    0.00   18.92
12:38:43 AM  all   13.11    0.00    8.91   56.44    0.04    0.92    0.00    0.00    0.00   20.58
