Linux 3.19.0-25-generic (dss-storage-1) 	10/26/2015 	_x86_64_	(24 CPU)

04:07:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:07:37 PM  all    1.36    0.00    1.93    0.00    0.00    0.26    0.00    0.00    0.00   96.45
04:07:38 PM  all    1.19    0.00    1.94    0.00    0.13    0.26    0.00    0.00    0.00   96.48
04:07:39 PM  all    1.08    0.00    1.48    0.00    0.00    0.09    0.00    0.00    0.00   97.35
04:07:40 PM  all    1.98    0.00    1.76    0.22    0.00    0.70    0.00    0.00    0.00   95.34
04:07:41 PM  all    1.65    0.00    1.48    0.65    0.00    0.17    0.00    0.00    0.00   96.05
04:07:42 PM  all    2.92    0.00    2.96    0.53    0.04    0.53    0.00    0.00    0.00   93.01
04:07:43 PM  all    2.13    0.00    2.26    0.44    0.00    0.49    0.00    0.00    0.00   94.68
04:07:44 PM  all    1.61    0.00    1.83    0.44    0.00    0.22    0.00    0.00    0.00   95.90
04:07:45 PM  all    1.43    0.00    1.34    0.13    0.00    0.09    0.00    0.00    0.00   97.01
04:07:46 PM  all    1.78    0.00    1.70    0.65    0.00    0.26    0.00    0.00    0.00   95.60
04:07:47 PM  all    2.01    0.00    2.32    0.45    0.04    0.27    0.00    0.00    0.00   94.92
04:07:48 PM  all    1.85    0.00    1.68    0.53    0.00    0.31    0.00    0.00    0.00   95.63
04:07:49 PM  all    1.62    0.00    1.97    0.39    0.04    0.39    0.00    0.00    0.00   95.58
04:07:50 PM  all    1.00    0.00    1.66    0.48    0.04    0.13    0.00    0.00    0.00   96.68
04:07:51 PM  all    0.74    0.00    1.26    0.48    0.04    0.26    0.00    0.00    0.00   97.21
04:07:52 PM  all    1.09    0.00    1.91    0.48    0.00    0.22    0.00    0.00    0.00   96.30
04:07:53 PM  all   27.77    0.00    3.92    0.09    0.00    0.48    0.00    0.00    0.00   67.74
04:07:54 PM  all   58.23    0.00    8.23    0.18    0.00    0.57    0.00    0.00    0.00   32.79
04:07:55 PM  all   58.17    0.00   10.96    0.62    0.00    1.28    0.00    0.00    0.00   28.97
