       p2p2       
 KB/s in  KB/s out
  579.88    570.12
  439.27    434.05
  414.87    418.13
  531.63    536.85
  427.00    393.34
  771.34    736.35
  635.78    597.22
  618.76    579.85
  389.15    379.05
  587.70    546.77
  756.46    668.55
  602.27    552.43
  540.94    491.15
  527.64    484.67
  479.69    409.33
  627.26    604.54
 1617.44   1524.09
 2534.57   2401.73
 2704.48   2766.64
 2918.76   2724.43
 2784.39   2623.49
 2519.74   2384.29
       p2p2       
 KB/s in  KB/s out
 2495.29   2242.33
 2785.03   2584.96
 2818.38   2437.10
 2464.97   2310.89
 2451.49   2380.43
 2442.89   2419.17
 2503.55   2547.26
 2634.76   2468.62
 2921.21   2533.40
 2570.67   2655.54
 2414.59   2362.83
 2511.91   2301.01
 2810.23   2469.80
 2575.86   2260.88
 2387.36   2296.59
 2648.51   2579.31
 2666.29   2456.40
 2644.31   2510.33
 2579.14   2261.28
 2531.78   2392.35
 2655.77   2374.33
 2705.39   2448.54
       p2p2       
 KB/s in  KB/s out
 2747.66   2411.06
 2485.46   2127.05
 2714.77   2600.03
 2419.87   2156.44
 2598.18   2340.22
 2899.82   2515.79
 2292.73   2223.13
 2641.20   2482.30
 2493.29   2383.98
 2581.94   2481.40
 2825.04   2496.97
 2551.74   2191.09
 2578.21   2398.48
 2531.58   2368.28
 2395.16   2631.04
 2566.37   2128.77
 2763.12   2161.96
 2597.12   2326.71
 2572.67   2282.13
 2826.38   2622.07
 2640.24   2363.30
 2393.86   2276.82
       p2p2       
 KB/s in  KB/s out
 2336.42   2241.86
 2676.16   2402.02
 2715.08   2370.92
 2273.87   2230.40
 2465.01   2199.82
 2535.14   2427.66
 2475.40   2240.53
 2474.42   2364.80
 2912.51   2517.34
 2570.05   2328.18
 2652.17   2348.57
 2359.47   2297.00
 2347.88   2153.03
 2862.21   2227.87
 2446.83   2286.89
 2644.32   2533.74
 2371.42   2229.80
 2569.75   2380.21
 2625.60   2221.82
 2563.43   2325.94
 2472.86   2498.48
 2510.95   2520.34
       p2p2       
 KB/s in  KB/s out
 2697.08   2723.96
 2709.49   2182.20
 2705.11   2255.24
 2349.78   2386.16
 2535.77   2183.23
 2523.86   2369.00
 2537.68   2257.27
 2463.70   2362.29
 2201.92   2069.00
 2590.75   2457.42
 2807.32   2482.98
 2606.44   2305.04
 2346.26   2335.31
 2432.20   2545.04
 2554.54   2240.44
 2555.21   2283.55
 2833.72   2423.87
 2661.57   2470.63
 2463.51   2178.54
 2541.78   2486.82
 2324.11   2192.05
 2704.51   2125.09
       p2p2       
 KB/s in  KB/s out
 2933.15   2445.35
 2436.11   2439.76
 2472.63   2161.84
 2611.02   2276.66
 2787.15   2432.14
 2390.34   2167.22
 2419.18   2242.74
 2424.72   2348.10
 2570.85   2375.45
 2692.47   2350.03
 2429.20   2224.29
 2369.46   2386.90
 2588.64   2430.94
 2781.11   2491.93
 2818.90   2186.01
 2609.07   2403.56
 2273.19   2237.96
 2674.49   2430.14
 2593.74   2252.81
 2804.65   2396.50
 2690.80   2341.71
 2502.23   2452.91
       p2p2       
 KB/s in  KB/s out
 2348.25   2465.25
 2507.53   2344.49
 2831.68   2322.36
 2677.22   2284.00
 1846.67   1741.76
  646.57    486.85
  775.44    569.31
  834.85    557.59
  650.59    504.78
  521.12    460.67
  450.28    422.40
  623.83    615.38
  962.54    990.25
 2446.02   2354.63
 2487.52   2466.40
 2350.73   2280.10
 2445.44   2219.95
 2740.84   2222.73
 2696.97   2504.97
 2457.65   2198.64
 2764.23   2641.55
 2523.83   2409.70
       p2p2       
 KB/s in  KB/s out
 2778.81   2470.07
 2787.49   2262.47
 2591.97   2379.47
 2652.61   2348.22
 2866.25   2689.41
 2925.26   2480.29
 2760.71   2554.16
 2317.99   2150.64
 2521.00   2573.34
 2511.21   2358.80
 2369.97   2322.65
 2814.72   2254.30
 2380.37   2128.52
 2529.85   2386.56
 2702.10   2410.87
 2832.38   2388.05
 2470.88   2262.12
 2495.37   2368.26
 2406.19   2377.55
 2398.86   2155.17
 2577.07   2144.39
 2548.16   2243.44
       p2p2       
 KB/s in  KB/s out
 2272.03   2159.86
 2423.71   2282.90
 2728.92   2449.17
 2395.72   2172.11
 2550.45   2335.06
 2446.21   2264.47
 2293.15   1983.14
 2544.97   2311.60
 2625.99   2151.06
 2765.74   2621.16
 2119.27   2074.66
 2542.40   2441.17
 2434.85   2243.81
 2956.55   2379.40
 2592.94   2177.40
 2367.75   2297.88
 2568.12   2305.40
 2567.61   2201.38
 2808.56   2160.91
 2488.46   2339.83
 2717.20   2528.96
 2694.21   2353.36
       p2p2       
 KB/s in  KB/s out
 3060.62   2639.46
 2704.51   2477.17
 2869.24   2519.76
 2699.11   2671.07
 2505.01   2148.51
 3041.34   2767.47
 2949.54   2497.96
 2762.02   2550.59
 2409.30   2495.99
 2689.35   2459.52
 2748.58   2483.42
 2824.13   2290.55
 2737.70   2510.29
 2682.83   2419.86
 2797.69   2405.47
 2751.91   2561.32
 2952.36   2353.49
 2588.80   2324.75
 2844.50   2697.26
 2599.95   2368.33
 2886.48   2441.93
 2562.84   2180.25
       p2p2       
 KB/s in  KB/s out
 2602.09   2394.75
 2539.99   2288.76
 2863.07   2721.09
 2577.15   2372.03
 2612.03   2004.70
 2723.98   2465.05
 2591.03   2182.72
 2703.50   2734.30
 2706.92   2306.50
 2479.81   2099.52
 2668.23   2365.20
 2339.31   2231.79
 2664.36   2314.21
 2656.40   2373.22
 2554.11   2200.98
 2465.21   2304.75
 2592.31   2430.30
 2725.66   2536.58
 2455.77   2257.35
 2629.19   2398.77
 2396.23   2298.52
 2378.52   2204.40
       p2p2       
 KB/s in  KB/s out
 2470.13   2203.82
 2525.82   2426.31
 2723.12   2250.73
 2453.55   2123.84
 2430.70   2387.65
 2534.97   2287.91
 2807.09   2539.07
 2933.71   2343.34
 2629.43   2397.77
 2329.13   2484.47
 2611.90   2437.33
 2463.03   2347.65
 2962.14   2539.95
 2225.58   2015.77
 2471.50   2281.25
 2365.13   2412.95
 2571.38   2279.56
 2783.63   2212.97
 2440.58   2394.54
 2191.47   2094.52
 2500.12   2322.39
 2478.68   2397.46
       p2p2       
 KB/s in  KB/s out
 3101.07   2602.08
 2080.75   1874.63
  664.62    567.11
  572.27    425.36
  526.09    316.96
  914.01    664.13
  453.54    368.91
  441.82    426.11
  529.75    514.28
  856.00    835.13
 2419.03   2334.12
 2294.25   2013.04
 2628.00   2661.63
 2808.94   2682.18
 2473.67   2233.60
 2795.31   2271.81
 2494.00   2070.70
 2908.99   2683.61
 2730.13   2596.31
 2582.30   2337.27
 2472.24   2069.97
 2690.99   2662.01
       p2p2       
 KB/s in  KB/s out
 2768.65   2580.80
 2521.07   2269.59
 2434.59   2154.62
 2655.93   2228.24
 2435.58   2232.75
 2073.10   1983.09
 2417.85   2317.82
 2596.88   2296.99
 2686.19   2259.63
 2411.47   2278.01
 2773.16   2701.29
 2620.99   2615.38
 2607.27   2316.11
 2646.94   2238.48
 2580.08   2213.15
 2557.56   2375.48
 2637.58   2423.14
 2798.51   2424.70
 2827.80   2337.63
 2447.18   2205.06
 2410.90   2183.52
 2405.23   2390.70
       p2p2       
 KB/s in  KB/s out
 2617.33   2472.79
 2783.99   2321.61
 2406.59   2178.92
 2545.08   2327.72
 2516.17   2284.38
 2471.31   2271.01
 2541.70   2210.32
 2532.32   2544.38
 2547.87   2357.33
 2319.24   2289.65
 2273.47   2281.09
 2928.96   2489.00
 2752.57   2218.23
 2475.25   2502.59
 2360.69   2278.32
 2615.08   2449.56
 2865.05   2315.61
 2619.09   2407.95
 2624.95   2373.25
 2626.05   2553.57
 2666.82   2343.86
 2729.01   2265.42
       p2p2       
 KB/s in  KB/s out
 2397.27   2212.10
 2618.86   2528.84
 2716.33   2522.00
 2688.71   2409.95
 2597.13   2106.79
 2683.65   2256.98
 2411.34   2180.59
 2964.07   2800.36
 2896.41   2452.56
 2782.93   2407.60
 2839.23   2790.45
 2510.02   2392.11
 2806.52   2630.74
 3072.71   2729.82
 2822.93   2439.06
 2706.14   2588.36
 2726.80   2526.09
 2789.26   2616.85
 2737.43   2316.82
 2671.58   2211.75
 2495.42   2337.12
 2611.80   2228.62
       p2p2       
 KB/s in  KB/s out
 2636.26   2375.46
 2755.43   2354.54
 2866.28   2509.42
 2354.95   2198.43
 2190.22   1972.46
 2729.01   2580.37
 2557.65   2255.93
 2765.79   2156.64
 2475.79   2370.14
 2715.33   2583.26
 2416.80   2232.35
 2951.41   2545.82
 2627.70   2257.15
 2467.37   2438.53
 2258.87   2101.10
 2412.44   2168.58
 2801.13   2585.83
 2921.78   2335.63
 2610.29   2457.45
 2469.91   2381.02
 2326.03   1973.09
 2894.46   2498.53
       p2p2       
 KB/s in  KB/s out
 2849.08   2340.06
 2234.01   2050.47
 2353.36   2495.84
 2897.09   2762.70
 2485.38   2212.82
 2966.68   2397.35
 2616.22   2373.65
 2501.72   2387.81
 2587.40   2165.33
 2808.29   2308.54
 2940.26   2493.50
 2426.08   2262.80
 2417.56   2365.21
 2443.53   2315.52
 2493.13   2438.11
 2849.25   2416.21
 2779.31   2520.05
 2614.50   2439.59
 2623.15   2381.66
 2736.42   2535.47
 2701.40   2147.74
 2500.42   2424.74
       p2p2       
 KB/s in  KB/s out
 1076.56    856.37
  662.36    507.83
  749.00    510.27
  543.37    454.62
  797.33    715.41
  593.37    533.57
  301.25    267.57
  846.81    768.57
