Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

03:31:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:31:16 PM  all    1.88    0.00    2.62    0.41    0.00    0.28    0.00    0.00    0.00   94.81
03:31:17 PM  all    2.17    0.00    3.16    0.59    0.00    0.27    0.00    0.00    0.00   93.82
03:31:18 PM  all    2.40    0.00    2.53    0.77    0.05    0.32    0.00    0.00    0.00   93.94
03:31:19 PM  all    1.85    0.00    1.49    0.50    0.00    0.36    0.00    0.00    0.00   95.81
03:31:20 PM  all    1.94    0.00    2.03    0.40    0.00    0.53    0.00    0.00    0.00   95.11
03:31:21 PM  all    2.78    0.00    3.33    0.42    0.00    0.46    0.00    0.00    0.00   93.01
03:31:22 PM  all    2.16    0.00    2.52    0.50    0.00    0.36    0.00    0.00    0.00   94.46
03:31:23 PM  all    1.70    0.00    1.34    0.81    0.00    0.09    0.00    0.00    0.00   96.06
03:31:24 PM  all    2.36    0.00    2.90    0.36    0.05    0.50    0.00    0.00    0.00   93.83
03:31:25 PM  all    1.96    0.00    2.37    0.18    0.00    0.18    0.00    0.00    0.00   95.31
03:31:26 PM  all    1.75    0.00    1.34    0.40    0.00    0.22    0.00    0.00    0.00   96.28
03:31:27 PM  all    2.22    0.00    2.67    0.41    0.00    0.45    0.00    0.00    0.00   94.25
03:31:28 PM  all    2.16    0.00    3.10    0.54    0.00    0.49    0.00    0.00    0.00   93.70
03:31:29 PM  all    1.41    0.00    2.08    0.35    0.00    0.66    0.00    0.00    0.00   95.49
03:31:30 PM  all    1.54    0.00    2.44    0.23    0.00    0.95    0.00    0.00    0.00   94.85
03:31:31 PM  all    1.65    0.00    2.05    0.36    0.00    0.27    0.00    0.00    0.00   95.68
03:31:32 PM  all   12.35    0.00    3.86    0.94    0.00    0.54    0.00    0.00    0.00   82.30
03:31:33 PM  all   46.78    0.00    9.16    0.91    0.00    1.04    0.00    0.00    0.00   42.11
03:31:34 PM  all   40.11    0.00    6.11    1.05    0.00    0.50    0.00    0.00    0.00   52.23
03:31:35 PM  all   39.94    0.00    6.62    1.10    0.00    0.60    0.00    0.00    0.00   51.75
03:31:36 PM  all   53.68    0.00    8.03    0.49    0.00    0.94    0.00    0.00    0.00   36.86
