Linux 3.19.0-25-generic (dss-storage-1) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          10.07    0.00    3.56    2.08    0.00   84.29

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     3.16    7.28   13.28   511.72  2540.42   296.92     0.30   14.65   13.66   15.20   3.93   8.08
sdb               0.00     2.92    7.32   12.44   533.09  2359.93   292.79     0.28   14.33   13.66   14.72   3.99   7.88
sdc               0.00     3.09    7.54   12.84   546.94  2479.14   296.99     0.29   14.34   12.69   15.30   3.94   8.04
sdd               0.00     2.73    6.33   11.86   449.17  2129.94   283.52     0.25   13.72   11.96   14.65   3.77   6.86
sde               0.00     3.05    7.40   12.32   537.97  2413.27   299.33     0.29   14.59   12.80   15.66   4.00   7.89
sdf               0.00     2.85    7.36   12.79   542.53  2268.16   278.93     0.26   13.08   12.00   13.71   3.81   7.69
sdg               0.00     3.00    7.22   12.41   523.26  2396.99   297.53     0.27   13.71   11.19   15.17   3.82   7.49
sdh               0.00     3.16    8.89   12.50   669.71  2540.24   300.19     0.32   14.96   12.56   16.66   4.13   8.82
sdi               0.00     2.91    7.49   11.59   550.04  2306.83   299.43     0.28   14.51   12.00   16.13   4.02   7.68
sdl               0.00     2.76    6.18   11.20   437.27  2143.02   296.79     0.24   13.86   12.94   14.37   3.96   6.89
sdj               0.00     3.05    6.99   12.55   491.09  2408.60   296.92     0.28   14.30   13.07   14.98   3.92   7.65
sdk               0.00     3.14    6.43   13.80   433.07  2461.30   286.20     0.28   13.70   14.36   13.40   3.75   7.58
sdm               0.00     2.80    6.43   13.30   462.09  2195.01   269.35     0.25   12.47   13.22   12.11   3.66   7.21
sdo               0.00     2.76    6.06   11.03   430.41  2097.03   295.83     0.22   13.09   11.32   14.07   3.83   6.54
sdn               0.00     2.74    7.03   11.15   519.56  2184.73   297.49     0.25   13.97   12.56   14.86   4.03   7.33
sdp               0.00     3.08    8.18   12.83   600.15  2482.21   293.50     0.29   14.00   12.68   14.84   4.00   8.40
sdr               0.00     2.82    6.87   12.70   485.03  2272.22   281.71     0.26   13.41   12.50   13.90   3.82   7.47
sds               0.00     2.92    7.18   12.55   532.96  2255.24   282.69     0.25   12.88   11.95   13.41   3.78   7.45
sdt               0.00     3.01    7.91   13.14   584.02  2464.67   289.65     0.29   13.80   12.88   14.36   3.91   8.22
sdq               0.00     2.64    5.75   10.92   408.29  2018.14   291.06     0.22   12.94   11.52   13.69   3.79   6.31
sdv               0.00     3.27    7.40   14.38   518.16  2592.56   285.63     0.31   14.07   13.98   14.12   3.80   8.27
sdw               0.00     2.78    6.13   11.61   431.83  2149.35   291.06     0.23   12.96   11.97   13.49   3.81   6.75
sdu               0.00     2.78    5.57   10.55   390.43  2117.35   311.14     0.23   14.14   12.22   15.15   3.94   6.35
sdy               0.00     2.38    5.48    9.72   400.91  1788.85   288.06     0.20   13.04   10.03   14.73   3.71   5.64
sdx               0.00     3.08    6.68   12.53   463.93  2447.55   303.11     0.29   14.85   14.13   15.24   3.99   7.66
sdz               0.14    11.76    1.30    8.08    94.25   542.25   135.73     0.22   23.41    4.16   26.51   7.57   7.10
dm-0              0.00     0.00    1.25   19.38    93.42   540.41    61.47     0.38   18.36    4.10   19.27   3.40   7.02
dm-1              0.00     0.00    0.20    0.46     0.82     1.84     8.00     0.03   50.99    9.78   69.32   1.83   0.12
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     8.00     0.00    0.65    0.65    0.00   0.65   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          57.02    0.00   35.23    1.40    0.00    6.34

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     2.00    0.00   36.00     0.00 16660.00   925.56     1.00   19.89    0.00   19.89  13.56  48.80
sdb               0.00     4.00    0.00   38.00     0.00 19260.00  1013.68     1.37   25.37    0.00   25.37  12.21  46.40
sdc               0.00     9.00    1.00   40.00     8.00 26472.00  1291.71     1.12   26.93   16.00   27.20  12.68  52.00
sdd               0.00    15.00    0.00   54.00     0.00 32208.00  1192.89     2.06   35.70    0.00   35.70  10.67  57.60
sde               0.00    13.00    0.00   49.00     0.00 33952.00  1385.80     2.24   25.39    0.00   25.39  12.41  60.80
sdf               0.00    12.00    0.00   59.00     0.00 41608.00  1410.44     2.82   30.64    0.00   30.64  12.34  72.80
sdg               0.00    26.00    0.00   87.00     0.00 69956.00  1608.18     3.18   33.56    0.00   33.56  10.57  92.00
sdh               0.00    23.00    0.00   88.00     0.00 63844.00  1451.00     3.63   37.73    0.00   37.73   9.27  81.60
sdi               0.00    20.00    0.00   69.00     0.00 47676.00  1381.91     3.12   31.48    0.00   31.48  10.20  70.40
sdl               0.00    47.00    2.00  204.00    16.00 48349.00   469.56     6.35   29.55   52.00   29.33   3.48  71.60
sdj               0.00    12.00    0.00   56.00     0.00 39336.00  1404.86     1.50   21.29    0.00   21.29  11.29  63.20
sdk               0.00    19.00    0.00   76.00     0.00 55156.00  1451.47     3.33   37.32    0.00   37.32  10.16  77.20
sdm               0.00    28.00    2.00  166.00    16.00 19601.50   233.54     1.85    6.12    4.00    6.14   3.17  53.20
sdo               0.00     5.00    0.00   44.00     0.00 24968.00  1134.91     1.66   24.45    0.00   24.45  12.82  56.40
sdn               0.00     6.00    0.00   48.00     0.00 22908.00   954.50     2.16   30.67    0.00   30.67  10.50  50.40
sdp               0.00     3.00    0.00   35.00     0.00 18216.00  1040.91     1.82   31.31    0.00   31.31  14.17  49.60
sdr               0.00    14.00    0.00   41.00     0.00 32120.00  1566.83     1.48   26.44    0.00   26.44  14.34  58.80
sds               0.00    15.00    0.00   75.00     0.00 50988.00  1359.68     3.68   37.23    0.00   37.23  10.61  79.60
sdt               0.00    17.00    0.00   62.00     0.00 45276.00  1460.52     2.64   27.81    0.00   27.81  10.32  64.00
sdq               0.00    14.00    0.00   82.00     0.00 55464.00  1352.78     2.28   27.02    0.00   27.02   9.22  75.60
sdv               0.00     3.00    0.00   26.00     0.00 13024.00  1001.85     1.36   28.77    0.00   28.77  15.85  41.20
sdw               0.00     5.00    0.00   46.00     0.00 23432.00  1018.78     1.78   21.74    0.00   21.74  10.87  50.00
sdu               0.00    13.00    0.00   72.00     0.00 51164.00  1421.22     3.12   33.39    0.00   33.39   9.67  69.60
sdy               0.00     4.00    0.00   43.00     0.00 22380.00  1040.93     1.09   20.19    0.00   20.19  10.79  46.40
sdx               0.00    53.00    0.00  226.00     0.00 60817.50   538.21     2.48    9.56    0.00    9.56   3.45  78.00
sdz               0.00    23.00    0.00   12.00     0.00   240.00    40.00     0.11    9.00    0.00    9.00   9.00  10.80
dm-0              0.00     0.00    0.00   35.00     0.00   240.00    13.71     0.35   10.06    0.00   10.06   3.20  11.20
dm-1              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          53.24    0.00   26.34    8.38    0.00   12.05

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00    13.00    0.00   59.00     0.00 48560.00  1646.10     6.12  100.07    0.00  100.07  16.95 100.00
sdb               0.00    15.00    0.00   58.00     0.00 46492.00  1603.17     5.28   94.07    0.00   94.07  17.31 100.40
sdc               0.00    14.00    0.00   60.00     0.00 44224.00  1474.13     6.63   98.80    0.00   98.80  16.73 100.40
sdd               0.00    20.00    0.00   62.00     0.00 58712.00  1893.94     6.25   96.65    0.00   96.65  16.13 100.00
sde               0.00    26.00    0.00   65.00     0.00 60796.00  1870.65     6.39  108.80    0.00  108.80  15.38 100.00
sdf               0.00    23.00    0.00   75.00     0.00 57500.00  1533.33     7.80  104.96    0.00  104.96  13.33 100.00
sdg               0.00    21.00    0.00   64.00     0.00 46764.00  1461.38     5.55   84.00    0.00   84.00  15.62 100.00
sdh               0.00    16.00    0.00   66.00     0.00 52012.00  1576.12     6.96  100.36    0.00  100.36  15.15 100.00
sdi               0.00    30.00    0.00   82.00     0.00 73308.00  1788.00     8.46  108.68    0.00  108.68  12.20 100.00
sdl               0.00    19.00    0.00   43.00     0.00 42080.00  1957.21     5.13  104.74    0.00  104.74  23.26 100.00
sdj               0.00    17.00    0.00   50.00     0.00 37444.00  1497.76     5.04   94.64    0.00   94.64  19.76  98.80
sdk               0.00    29.00    0.00   78.00     0.00 63660.00  1632.31     8.00   96.87    0.00   96.87  12.82 100.00
sdm               0.00    31.00    0.00   58.00     0.00 61628.00  2125.10     7.79  133.38    0.00  133.38  17.24 100.00
sdo               0.00    14.00    0.00   43.00     0.00 31792.00  1478.70     4.35  101.21    0.00  101.21  19.81  85.20
sdn               0.00    13.00    0.00   61.00     0.00 50464.00  1654.56     6.65  110.43    0.00  110.43  16.26  99.20
