       p2p2       
 KB/s in  KB/s out
  439.09    444.99
  518.74    512.57
  423.33    426.93
  580.68    551.46
  482.03    452.67
  552.02    534.25
  494.84    455.49
  596.34    575.06
  523.63    478.50
  383.66    354.00
  441.59    428.41
  701.93    704.10
  448.63    430.59
  554.88    503.86
  605.95    576.76
  507.06    480.90
  627.11    632.53
  430.94    407.55
  578.64    544.87
  648.00    631.75
  703.28    691.34
  397.22    393.31
       p2p2       
 KB/s in  KB/s out
  505.45    472.70
  541.94    507.76
  461.66    423.23
  499.14    470.30
  503.44    506.10
  572.62    569.31
  472.34    420.64
  556.76    552.14
  507.47    503.95
  483.77    458.60
  433.29    398.47
  559.70    537.79
  547.00    511.81
  579.15    556.00
  440.59    420.45
  413.81    408.31
  612.65    596.45
  422.12    398.25
  483.18    490.97
  519.96    502.54
  517.04    494.57
  526.55    487.53
       p2p2       
 KB/s in  KB/s out
  531.71    503.72
  607.50    589.60
  582.68    554.31
  344.61    354.87
  581.61    551.83
  638.64    595.33
  526.77    512.72
  395.10    397.67
  416.87    404.03
  607.66    576.61
  554.97    546.32
  663.32    639.44
  475.35    452.03
  556.46    536.53
  540.36    545.96
  657.27    620.41
  386.96    365.20
  435.14    432.20
  485.18    450.94
  586.61    538.99
  458.71    444.55
  683.28    691.69
       p2p2       
 KB/s in  KB/s out
  472.70    500.66
  655.56    626.69
  628.05    683.22
  433.89    424.45
  572.21    579.33
  494.59    493.59
  582.41    593.81
  661.88    658.64
  461.64    502.07
  355.19    370.58
  548.39    553.64
  701.49    719.40
  546.90    588.68
  568.11    582.43
  438.50    446.31
  703.38    716.79
  598.41    608.24
  687.85    666.28
  475.71    474.96
  516.55    531.46
  435.61    472.50
  521.57    564.56
       p2p2       
 KB/s in  KB/s out
  638.19    628.50
  505.10    521.60
  759.09    770.61
  492.68    504.41
  709.60    715.49
  558.87    572.89
  609.64    614.85
  796.24    809.28
  388.70    442.35
  546.86    550.69
  505.43    505.34
  601.77    628.34
  680.67    702.43
  575.03    580.49
  556.34    566.19
  547.30    551.13
  447.21    457.12
  588.48    632.94
  672.02    676.10
  603.08    606.33
  629.61    684.45
  402.54    399.46
       p2p2       
 KB/s in  KB/s out
  503.49    526.93
  695.81    730.77
  385.66    404.07
  610.23    606.59
  474.70    478.48
  534.26    550.97
  569.95    607.03
  522.39    554.80
  594.14    573.95
  409.28    444.40
  589.74    618.68
  709.38    735.87
  581.90    596.70
  665.84    687.64
  466.62    441.84
  563.99    516.99
  423.20    407.13
  692.06    836.91
  610.22    727.49
  814.71    950.58
  519.17    698.24
  657.90    801.91
       p2p2       
 KB/s in  KB/s out
  648.73    792.72
  760.85    884.13
  618.99    786.22
  737.19    946.57
  514.08    648.22
  846.88   1014.83
  897.94   1013.48
  622.77    768.26
  741.58    881.83
  743.12    901.93
  675.73    856.98
  739.27    880.68
  749.45    880.61
  602.59    754.26
  668.07    847.09
  692.46    839.60
  729.08    865.70
  754.29    905.73
  554.14    746.61
  632.61    781.02
  597.54    735.92
  744.98    916.10
       p2p2       
 KB/s in  KB/s out
  800.97    961.29
  698.43    879.79
  592.77    749.64
  590.80    735.50
  518.55    646.28
  754.70    865.79
  616.09    792.98
  622.95    775.32
  787.30    919.84
  704.61    861.85
  605.21    745.35
  593.37    760.26
  731.48    890.79
  710.27    862.55
  700.76    827.72
  808.30    940.90
  527.59    689.37
  756.73    853.46
  637.78    797.31
  855.89   1042.70
  659.03    815.71
  561.70    727.87
       p2p2       
 KB/s in  KB/s out
  802.30    960.55
  650.61    803.86
  764.95    900.56
  778.47    916.86
  683.73    858.15
  548.91    723.85
  693.89    859.57
  677.91    822.78
  752.33    925.40
  663.37    820.11
  829.83   1014.84
  529.11    516.13
  381.13    341.57
  586.55    541.94
  605.02    807.05
  995.59   1232.18
  849.55   1105.56
  808.84   1075.66
  700.26    962.85
