       p2p2       
 KB/s in  KB/s out
 1045.96   1070.47
  758.46    732.23
  824.13    820.06
  999.34    949.45
  842.22    808.28
  907.55    816.42
  865.79    821.30
  759.93    702.24
  901.08    946.46
 1001.46    958.31
  899.91    815.45
  800.78    700.50
  796.60    810.33
  931.00    904.96
  883.78    833.13
  776.95    666.75
  963.31    928.54
  810.58    815.40
  818.60    832.90
  935.84    935.65
  809.47    724.13
  929.05    793.82
       p2p2       
 KB/s in  KB/s out
  782.81    744.43
  909.41    986.41
  706.40    646.77
  761.84    800.07
  857.24    892.96
  713.32    901.23
  897.20    842.44
  881.92    942.71
  986.13   1014.30
  694.83    747.91
  686.61    819.86
  764.67    787.44
  958.41    918.85
  961.72    951.31
  766.60    933.29
  677.19    693.97
  806.73    897.29
  700.56    829.61
  885.92    841.20
 1028.38    969.15
  752.67    891.47
  825.33    964.88
       p2p2       
 KB/s in  KB/s out
  959.22    962.10
 1088.20   1039.68
  886.16    832.71
  960.32    873.35
  673.99    604.05
  903.16    935.33
  909.28    801.33
 1055.88    947.86
  837.89    785.56
  765.10    662.52
  967.61    847.22
  895.17    716.30
 1043.75    871.41
  704.76    691.00
  917.85    798.94
  842.55    649.03
 1039.00    893.10
  917.12    809.04
  759.21    751.61
  883.94    852.95
  895.64    902.61
 1047.39    932.39
       p2p2       
 KB/s in  KB/s out
 1106.18   1086.65
  793.48    778.58
  795.53    700.97
  624.90    680.08
 1282.22   1204.07
  913.27    825.07
  822.15    876.55
  797.27    751.78
 1028.55    953.84
  990.03    830.45
  875.34    821.82
  973.92    909.32
  763.54    772.01
  913.07    921.28
  878.89    773.38
  937.46    827.25
  896.32    830.75
  997.58    932.97
  799.27    687.32
  963.10    821.18
  801.94    719.09
  838.65    817.97
       p2p2       
 KB/s in  KB/s out
  836.77    738.74
  659.31    709.19
  986.40    939.37
  982.07    859.57
 1026.25    989.33
  696.19    599.83
  927.28    892.81
  861.75    725.41
  844.95    814.67
  868.34    791.30
  763.20    814.07
 1037.11    965.69
  942.72    862.13
  756.58    716.63
  916.84    883.14
  930.67    837.81
  923.55    823.66
  896.04    763.91
  841.90    764.93
  965.75    873.61
  814.51    820.01
 1012.80    999.89
       p2p2       
 KB/s in  KB/s out
  786.09    678.76
  820.97    726.87
  946.95    897.87
  646.47    572.14
 1103.54   1004.87
  995.40    851.32
  659.96    606.92
  895.07    829.97
  786.64    765.71
  803.17    845.32
  901.86    803.00
  808.52    688.12
  918.05    855.65
  722.92    636.56
  866.66    859.77
 1110.66   1059.87
  763.74    839.26
  900.39    961.66
  985.22   1017.46
  954.30    953.47
  904.94    833.47
  952.17    950.03
       p2p2       
 KB/s in  KB/s out
 1196.19   1197.73
 1066.59   1068.92
 1140.38   1149.07
 1165.23   1177.86
  851.76    875.50
 1094.04   1113.04
 1009.32   1022.48
 1004.24    968.88
 1064.11    991.16
  914.55    882.13
  901.17    866.82
 1011.42   1072.00
  982.33   1056.05
 1219.53   1191.28
  902.88    834.61
  970.11   1011.47
  859.12    896.75
  886.83    878.19
  922.93    919.09
  979.22   1000.45
  971.56    930.77
  846.07    841.29
       p2p2       
 KB/s in  KB/s out
  859.66    957.59
 1089.48   1107.58
 1142.76   1126.41
  941.23    955.09
  883.52    914.95
  991.06    941.80
 1345.95   1278.41
 1078.76   1045.39
  914.68    946.68
  847.00    938.59
 1109.16   1063.24
  933.16    883.88
 1111.80   1094.22
 1062.73   1089.15
 1104.56   1064.27
 1124.48   1089.64
 1013.78    920.57
  962.87    925.61
  920.62    940.96
  977.77   1071.51
  828.95    842.48
 1009.78    948.50
       p2p2       
 KB/s in  KB/s out
  972.73    914.81
  789.57    837.35
 1052.60   1089.31
  899.90    883.76
  869.69    871.33
 1117.90   1119.83
  893.10    935.16
  862.81    870.53
  849.71    762.84
  977.98    779.65
  933.74    775.62
  840.49    839.31
  999.88   1144.19
  917.58   1025.29
  926.23    953.54
 1120.09   1158.04
 1161.66   1207.26
  858.08    950.84
  970.32   1055.01
 1390.11   1363.81
 1014.79   1081.53
  900.47    966.41
       p2p2       
 KB/s in  KB/s out
 1116.87   1254.82
 1020.16   1078.23
 1120.76   1134.99
 1241.80   1212.16
 1061.78   1138.89
 1126.29   1144.02
 1155.95   1214.77
 1054.42   1047.15
  993.26   1039.32
  765.44    913.52
  889.55   1021.69
 1029.08   1101.61
 1033.87   1104.17
 1138.16   1233.27
 1184.25   1208.50
 1084.10   1111.76
 1006.54   1128.04
  823.78    829.73
  978.80   1020.51
 1100.11   1167.19
