       p2p2       
 KB/s in  KB/s out
 1041.62   1490.15
 1041.91   1478.87
  837.10   1279.13
  908.49   1364.70
 1069.53   1512.08
 1094.95   1535.40
  983.57   1377.09
  976.51   1353.57
  881.77   1278.03
 1024.09   1454.68
  829.34   1249.15
  699.12   1153.48
  932.91   1310.42
  749.06   1127.60
  980.78   1342.69
  820.00   1274.89
  907.00   1336.01
  854.36   1319.61
 1004.91   1428.54
  853.23   1219.10
 1186.34   1641.10
  849.69   1256.78
       p2p2       
 KB/s in  KB/s out
  801.14   1247.08
  817.03   1252.48
  793.88   1233.50
  931.43   1432.86
 1016.36   1443.52
  692.79   1176.09
  570.07   1019.20
  873.44   1295.33
  913.27   1286.37
  921.67   1326.78
  834.59   1256.00
  706.95   1103.81
 1009.30   1427.95
  757.40   1195.21
  929.04   1353.45
  867.20   1244.05
  759.70   1173.90
  912.80   1335.36
  988.70   1412.06
  969.56   1440.93
  757.71   1239.25
  993.73   1390.55
       p2p2       
 KB/s in  KB/s out
  848.92   1220.33
  977.46   1356.14
  747.16   1204.21
  887.73   1325.88
  980.58   1399.92
  872.30   1284.60
  854.66   1234.09
  792.14   1222.54
  733.72   1129.81
  669.90   1077.46
  861.50   1280.83
  880.37   1290.37
  958.41   1381.40
  816.10   1302.91
  831.39   1270.06
  782.68   1127.61
  709.91   1084.50
  615.09   1030.30
 1040.54   1443.60
  891.25   1319.69
  694.14   1166.53
  819.39   1169.50
       p2p2       
 KB/s in  KB/s out
  805.82   1212.63
  774.90   1125.24
  759.18   1097.56
  824.38   1261.89
  859.37   1259.66
  853.32   1238.51
  795.91   1220.48
 1004.34   1296.82
  983.07   1378.08
  906.13   1264.09
  698.21   1069.04
  783.15   1159.55
  897.57   1290.73
  841.41   1335.34
  930.84   1344.99
  822.52   1250.30
  792.84   1195.02
  940.73   1368.91
  889.59   1249.07
  688.32   1088.60
  934.07   1409.31
 1006.40   1419.75
       p2p2       
 KB/s in  KB/s out
  775.51   1203.99
  824.59   1230.68
  938.07   1311.32
  832.76   1257.64
  615.76   1028.68
  919.32   1391.18
 1042.72   1438.28
  869.83   1297.36
  787.96   1217.22
  826.63   1200.49
  764.10   1146.48
  828.13   1273.48
  823.68   1192.61
  731.07   1161.87
 1028.21   1370.34
  869.51   1289.83
  654.10   1087.79
  907.79   1318.23
  834.56   1204.90
  958.87   1363.16
  925.96   1343.36
  690.82   1104.04
       p2p2       
 KB/s in  KB/s out
  893.39   1336.22
  747.24   1142.64
  854.06   1252.58
  736.75   1176.96
 1068.63   1480.73
  803.14   1238.57
  930.79   1356.89
  883.10   1264.87
  932.60   1349.74
  866.70   1317.67
  781.51   1157.89
  930.13   1305.49
  841.97   1214.22
  741.53   1179.46
  735.90   1134.30
  879.16   1251.81
  959.26   1330.98
  837.42   1217.75
  968.69   1379.91
 1020.10   1384.31
 1085.67   1516.03
  687.67   1137.45
       p2p2       
 KB/s in  KB/s out
  787.10   1199.90
 1003.50   1352.57
  894.51   1306.46
  911.40   1351.22
  762.38   1139.21
  769.38   1167.36
  852.33   1297.58
  905.18   1339.33
  856.47   1272.86
 1043.26   1438.30
 1074.44   1459.05
  751.31   1126.01
  901.22   1273.57
  860.65   1324.93
 1025.42   1339.36
  874.38   1291.63
  827.84   1290.25
 1002.53   1397.43
  833.54   1193.59
  841.68   1240.67
  968.83   1464.69
  894.80   1361.54
       p2p2       
 KB/s in  KB/s out
 1003.41   1474.43
  894.60   1327.89
  937.85   1335.04
  840.97   1189.01
 1074.02   1444.60
