Linux 3.19.0-25-generic (dss-storage-2) 	10/27/2015 	_x86_64_	(24 CPU)

08:21:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:21:02 PM  all    8.52    0.00    3.53    0.41    0.00    0.92    0.00    0.00    0.00   86.62
08:21:03 PM  all    9.63    0.00    3.90    0.37    0.00    0.73    0.00    0.00    0.00   85.37
08:21:04 PM  all    9.24    0.00    3.70    0.69    0.05    0.74    0.00    0.00    0.00   85.58
08:21:05 PM  all    8.27    0.00    3.23    0.59    0.00    0.77    0.00    0.00    0.00   87.14
08:21:06 PM  all    9.02    0.00    3.92    2.30    0.00    0.77    0.00    0.00    0.00   83.99
08:21:07 PM  all    8.21    0.00    4.66    0.37    0.05    0.55    0.00    0.00    0.00   86.17
08:21:08 PM  all    7.96    0.00    4.12    0.41    0.00    0.68    0.00    0.00    0.00   86.83
08:21:09 PM  all    9.38    0.00    4.51    0.69    0.00    0.87    0.00    0.00    0.00   84.55
08:21:10 PM  all    8.59    0.00    4.57    0.51    0.09    1.11    0.00    0.00    0.00   85.13
08:21:11 PM  all    9.50    0.00    5.23    2.16    0.00    1.10    0.00    0.00    0.00   82.02
08:21:12 PM  all    9.48    0.00    4.63    0.23    0.00    0.74    0.00    0.00    0.00   84.92
08:21:13 PM  all    9.02    0.00    4.14    0.32    0.00    0.51    0.00    0.00    0.00   86.02
08:21:14 PM  all    8.25    0.00    2.75    0.64    0.05    0.69    0.00    0.00    0.00   87.62
08:21:15 PM  all    7.59    0.00    2.59    0.60    0.00    0.74    0.00    0.00    0.00   88.47
08:21:16 PM  all    7.87    0.00    4.12    1.97    0.00    0.91    0.00    0.00    0.00   85.13
08:21:17 PM  all    8.76    0.00    3.78    0.00    0.00    0.97    0.00    0.00    0.00   86.50
08:21:18 PM  all    7.88    0.00    3.87    0.32    0.05    0.69    0.00    0.00    0.00   87.19
08:21:19 PM  all    8.02    0.00    4.08    2.43    0.00    0.55    0.00    0.00    0.00   84.92
08:21:20 PM  all    9.83    0.00    5.35    4.48    0.00    0.82    0.00    0.00    0.00   79.52
08:21:21 PM  all    9.76    0.00    5.27    4.39    0.05    0.88    0.00    0.00    0.00   79.65
08:21:22 PM  all    9.46    0.00    4.98    3.04    0.00    0.97    0.00    0.00    0.00   81.55
08:21:23 PM  all    8.45    0.00    4.02    0.64    0.00    0.55    0.00    0.00    0.00   86.35
08:21:24 PM  all    8.37    0.00    3.91    0.18    0.00    0.83    0.00    0.00    0.00   86.71
