       p2p2       
 KB/s in  KB/s out
 1194.61  139847.4
 1334.24  147293.7
 1495.56  121518.4
 1314.11  136478.5
 1265.90  145512.3
 1189.99  126158.2
 1186.74  136323.2
 1463.94  123752.9
 1373.37  130958.8
 1476.80  131327.5
 1229.65  126311.2
 1214.87  150617.5
 1291.55  147375.5
 1257.13  110527.9
 1389.91  120589.5
 1236.98  124085.6
 1190.31  118016.3
 1233.81  134491.3
 1510.10  140055.8
 1590.69  135943.7
 1334.73  131005.2
 1281.88  131016.5
       p2p2       
 KB/s in  KB/s out
 1449.11  147473.3
 1193.59  125813.7
 1336.84  123704.9
 1437.76  122761.9
 1392.29  131846.2
 1529.34  127763.9
 1604.02  132348.5
 1300.14  134463.0
 1325.68  149542.9
 1306.94  131758.4
 1482.81  124489.4
 1330.82  132396.6
 1460.79  119767.7
 1266.92  136894.1
 1528.29  123368.8
 1206.05  116652.2
 1475.05  135211.8
 1316.84  139902.3
 1256.55  155561.8
 1400.88  112058.7
 1416.92  137644.3
 1526.06  125109.4
       p2p2       
 KB/s in  KB/s out
 1550.60  130762.7
 1580.06  138203.3
 1450.14  140852.7
 1532.41  132741.5
 1413.54  122637.0
 1281.75  117176.6
 1162.52  127559.3
 1410.75  146661.4
 1684.74  151763.1
 1403.19  134536.5
 1337.61  135609.0
 1274.53  134683.1
 1301.27  121380.1
 1365.08  128064.3
 1615.55  134080.1
 1332.54  139446.4
 1333.03  128594.7
 1575.51  118166.2
 1360.76  136444.0
 1348.43  121500.0
 1365.64  137309.4
 1294.90  128451.4
       p2p2       
 KB/s in  KB/s out
 1297.79  134776.3
 1501.27  131478.4
 1680.84  142504.1
 1437.79  139629.2
 1351.16  129427.3
 1441.99  130116.4
 1430.58  151555.5
 1504.84  148383.2
 1458.50  124945.6
 1622.72  138184.5
 1617.17  131511.9
 1496.98  142016.8
 1422.51  146737.6
 1414.08  118736.1
 1270.63  136762.6
 1594.48  127154.4
 1362.03  131240.9
 1483.23  130514.5
 1370.33  135681.4
 1324.48  127950.4
 1395.62  151047.0
 1642.25  145459.9
       p2p2       
 KB/s in  KB/s out
 1403.88  125278.6
 1332.06  142816.6
 1222.75  124315.6
 1441.89  155950.2
 1463.81  139836.2
 1626.59  119020.8
 1405.51  123488.0
 1365.53  142597.0
 1264.83  120590.0
 1329.22  125854.2
 1567.91  127041.9
 1368.86  130154.5
 1156.72  142276.6
 1305.72  125655.6
 1364.28  150649.3
 1626.64  142614.8
 1365.03  135258.8
 1459.63  141298.3
 1301.95  136307.6
 1520.87  137010.4
 1550.68  134600.8
 1425.85  148427.3
       p2p2       
 KB/s in  KB/s out
 1158.75  135800.8
 1393.49  123726.1
 1766.45  127790.3
 1583.10  127840.9
 1258.75  135952.8
 1258.03  122432.1
 1283.63  134856.8
 1626.52  141231.9
 1405.44  137503.3
 1343.55  152207.9
 1070.65  141629.2
 1281.46  146818.8
 1575.53  119434.9
 1708.38  123668.7
 1504.03  140391.8
 1160.35  127720.0
 1394.89  145092.1
 1190.73  143416.8
 1821.63  140489.7
 1315.45  136225.8
 1434.61  144230.1
 1201.16  133128.2
       p2p2       
 KB/s in  KB/s out
 1656.12  126918.2
 1588.73  123865.2
 1161.88  129700.3
 1279.15  136450.7
 1275.94  125180.8
 1695.80  132764.4
 1372.55  161879.4
 1681.94  146623.5
 1530.03  142436.1
 1431.87  141022.0
 1565.87  132828.2
 1501.61  157774.5
 1225.67  130964.8
 1249.90  128962.5
 1632.41  148963.8
 1523.70  122359.0
 1541.09  138134.3
 1274.49  146155.8
 1258.61  128478.1
 1312.60  153470.7
 1602.72  135607.5
 1583.22  130214.1
       p2p2       
 KB/s in  KB/s out
 1363.48  123314.6
 1189.81  135812.2
 1297.47  130121.3
 1673.23  122393.5
 1292.48  147568.3
 1184.96  119244.3
 1343.41  134762.1
 1498.88  140697.0
 1388.63  134732.0
 1443.69  152015.2
 1402.85  134765.0
 1359.34  147539.1
 1475.34  135426.8
 1379.52  137893.7
 1419.24  131142.6
 1367.48  146815.8
 1317.85  133436.1
 1145.44  109968.9
 1345.02  134942.9
 1308.02  118486.1
 1459.02  133178.1
 1267.36  131364.9
       p2p2       
 KB/s in  KB/s out
 1271.59  134898.0
 1269.73  130113.7
 1234.67  149091.9
 1443.53  139905.4
 1241.03  141195.3
 1267.93  144610.4
 1391.70  122654.1
 1289.86  135690.0
 1482.33  132618.8
 1583.00  148804.8
 1315.53  143880.1
 1115.30  126804.2
 1304.85  125774.1
 1377.62  167455.4
 1265.96  139883.8
 1221.04  135500.9
 1478.62  125711.3
 1214.51  125239.5
 1462.01  142205.3
 1237.06  132376.5
 1435.34  142503.7
 1302.45  161908.1
       p2p2       
 KB/s in  KB/s out
 1226.65  152996.4
 1371.10  148313.0
 1428.18  155889.8
 1312.65  128133.5
 1266.52  146455.6
 1650.23  133978.9
 1337.38  154064.0
 1300.52  130614.8
 1280.39  134547.6
 1180.58  119180.8
 1487.51  160608.5
 1206.25  121472.2
 1326.30  141302.2
 1190.65  137917.9
 1467.79  161645.6
 1212.07  132566.0
 1467.28  158163.6
 1382.18  134952.0
 1208.19  123460.8
 1459.22  134126.7
 1293.72  137767.7
 1367.08  160238.0
       p2p2       
 KB/s in  KB/s out
 1634.70  127404.4
 1103.09  138769.8
 1465.81  127946.7
 1286.47  157753.4
 1237.24  133429.8
 1727.79  141454.0
 1295.97  138706.3
 1287.10  155158.7
 1390.96  138923.2
 1247.50  141854.2
 1403.92  139497.7
 1369.63  143625.0
 1289.93  146501.5
 1304.95  145141.0
 1471.05  147956.3
 1619.24  145070.8
 1529.92  141881.8
 1654.89  110469.6
 1215.25  155294.6
 1393.31  133244.1
 1322.83  157146.4
 1497.57  130219.4
       p2p2       
 KB/s in  KB/s out
 1450.13  128674.7
 1165.68  137662.4
 1463.19  149425.7
 1219.78  128213.5
 1436.95  139764.1
 1627.17  142785.2
 1303.34  127036.0
 1388.20  135637.9
 1317.30  138134.2
 1196.04  139484.1
 1431.35  132732.0
 1365.80  128020.9
 1246.34  146317.9
 1533.71  143609.1
 1448.75  155594.1
 1486.31  123960.2
 1360.99  152629.4
 1197.61  140862.0
 1275.03  136281.1
 1235.21  154815.8
 1513.81  120018.3
 1499.64  156023.2
       p2p2       
 KB/s in  KB/s out
 1569.05  136579.6
 1238.06  145497.0
 1330.12  155739.0
 1429.31  130479.0
 1467.02  141389.8
 1260.60  141043.2
 1421.71  140134.8
 1042.62  118185.4
 1142.23  130888.9
 1471.92  132505.3
 1569.71  154196.1
 1337.71  156537.3
 1447.20  147720.6
 1276.92  129323.0
 1348.10  139140.0
 1451.44  149930.8
 1362.86  143815.3
 1316.07  125514.9
 1355.14  136066.4
 1378.11  127301.4
 1383.47  147456.9
 1386.27  145882.2
       p2p2       
 KB/s in  KB/s out
 1321.81  137489.9
 1379.88  137395.5
 1353.32  149745.8
 1264.51  152260.1
  776.45  36196.36
  717.18    667.46
  895.71    882.02
  855.20  17455.30
 1186.91  139254.3
 1505.68  150758.3
 1267.37  149894.8
 1538.99  129056.5
 1497.89  146561.3
 1199.02  138854.2
 1208.57  138410.6
 1097.96  136833.0
 1464.57  142547.4
 1379.70  128628.8
 1306.12  128113.9
 1238.52  143064.8
 1136.68  113345.4
 1271.30  164563.4
       p2p2       
 KB/s in  KB/s out
 1601.02  144186.2
 1357.50  127423.2
 1326.55  143209.9
 1334.89  154940.5
 1314.12  124867.0
 1479.09  163125.8
 1381.87  133329.5
 1208.03  135571.4
 1336.77  142544.1
 1393.73  170286.6
 1433.90  147576.3
 1383.82  135172.5
 1205.40  124754.9
 1157.85  151139.1
 1466.68  149837.9
 1253.44  132686.9
 1465.60  163017.6
 1422.37  153171.8
 1312.11  152685.9
 1443.31  150831.5
 1301.53  146359.7
 1473.78  131779.9
       p2p2       
 KB/s in  KB/s out
 1315.60  137813.3
 1187.76  142323.9
 1136.18  97979.29
 1429.21  147939.3
 1273.71  153956.4
 1134.69  132407.7
 1447.48  137735.5
 1397.10  129735.8
 1249.37  130531.4
 1512.79  164639.4
 1250.63  156858.7
 1310.54  160546.1
 1648.13  155023.5
 1278.13  137098.1
 1354.68  131969.5
 1280.77  128433.2
 1330.52  145437.5
 1336.59  126323.5
 1374.96  136469.1
 1251.77  134357.5
 1162.98  146217.9
 1407.91  130268.6
       p2p2       
 KB/s in  KB/s out
 1379.30  150299.7
 1304.84  125236.8
 1272.19  147617.4
 1183.62  121284.2
 1423.63  154824.7
 1776.50  175696.4
 1220.35  142506.9
 1270.12  124542.5
 1389.48  145545.6
 1375.25  155148.1
 1557.57  125174.6
 1371.29  140209.0
 1330.17  147520.4
 1027.13  129140.8
 1288.59  136733.6
 1258.45  154563.7
 1599.51  131932.0
 1317.32  144671.5
 1349.73  143145.4
 1311.67  146471.0
 1253.36  177488.3
 1169.16  152451.4
       p2p2       
 KB/s in  KB/s out
 1426.11  135494.5
 1361.93  144590.6
 1498.12  168619.2
 1457.90  138099.5
 1168.77  157780.6
 1262.19  149151.9
 1301.92  142023.2
 1273.73  135690.7
 1282.85  160790.2
 1275.11  145871.8
 1273.98  161372.8
 1290.97  116640.9
 1340.31  140564.9
 1305.89  139539.6
 1339.94  146686.8
 1493.83  178341.4
 1387.78  141628.7
 1436.52  133141.7
 1296.35  129859.6
 1229.20  142465.3
 1381.43  146032.7
 1368.25  140999.3
       p2p2       
 KB/s in  KB/s out
 1356.91  148081.1
 1415.86  169606.5
 1315.67  160704.0
 1377.45  142269.6
 1214.59  139081.4
 1428.39  148451.7
 1354.08  130412.0
 1398.54  130884.3
 1229.51  152661.0
 1387.42  150467.0
 1325.40  156199.1
 1319.93  134162.1
 1226.61  157138.9
 1336.65  152152.6
 1277.01  128964.2
 1283.51  143964.1
 1483.50  150820.2
 1328.85  146036.0
 1363.28  139304.3
 1514.29  165027.3
 1375.75  117899.7
 1349.80  140079.3
       p2p2       
 KB/s in  KB/s out
 1333.04  150174.2
 1253.02  134788.7
 1230.05  136955.6
 1354.63  156613.9
 1406.76  130910.3
 1385.01  135891.5
 1187.75  142751.8
 1302.79  135583.5
 1321.51  133316.2
 1203.01  143789.7
 1141.20  131319.3
 1324.08  144378.8
 1321.95  153986.1
 1479.23  138121.5
 1270.09  116339.2
 1261.33  133984.2
 1223.43  141488.2
 1233.09  152165.8
 1341.46  135836.9
 1588.21  152585.1
 1405.44  143197.6
 1077.88  146045.5
       p2p2       
 KB/s in  KB/s out
 1359.73  153754.0
 1317.31  155449.7
 1409.07  156673.7
 1367.80  142971.0
 1327.58  153819.0
 1213.61  132697.4
 1392.19  126140.2
 1341.18  159533.2
 1456.91  148968.2
 1302.50  136684.8
 1177.93  127062.6
 1465.48  135449.3
 1433.12  151521.6
 1224.69  155810.5
 1226.78  152188.6
 1340.42  136427.0
 1280.21  146901.7
 1525.15  148101.0
 1219.67  158584.0
 1264.07  137558.4
 1132.54  142509.4
 1464.74  143072.2
       p2p2       
 KB/s in  KB/s out
 1596.64  170553.4
 1299.55  133580.2
 1371.28  150004.5
 1232.54  150771.1
 1326.23  133799.8
 1503.12  181074.1
 1582.70  124934.5
 1307.93  131123.4
 1113.13  121544.0
 1279.88  113624.3
 1497.83  133194.2
 1306.86  130930.9
 1302.48  147464.7
 1205.08  130637.7
 1585.38  149565.8
 1316.17  144414.9
 1508.58  133545.1
 1481.36  136347.1
 1433.27  142993.1
 1315.70  137434.8
 1523.10  163748.0
 1323.45  121393.4
       p2p2       
