       p2p2       
 KB/s in  KB/s out
152212.3  360212.0
170457.2  185821.8
259785.7  92683.58
263421.9  251089.2
292369.9  221225.5
297316.3  159667.0
334477.7  204606.6
182589.4  144651.0
208540.7  230530.7
234072.4  299860.6
115200.7  226247.4
318312.7  218115.2
256141.2  304355.5
276581.4  234479.2
253119.5  208106.5
83253.31  113993.8
175704.9  233129.5
143846.6  430695.4
132514.7  225776.4
246933.3  109867.6
161652.7  282541.2
226439.5  318595.3
       p2p2       
 KB/s in  KB/s out
216871.7  288055.5
234763.5  256079.3
176570.6  224172.7
192843.6  254968.0
157250.7  414808.6
132173.8  325361.7
192702.7  357704.4
281603.2  148817.5
277375.5  198667.0
249713.4  109214.0
304988.9  275478.7
93487.66  333759.8
207973.4  195536.4
259408.6  393345.4
178328.1  139442.0
216237.2  288450.2
273130.6  204177.8
237733.4  304338.0
199932.9  362110.3
278820.8  328413.5
270005.0  354097.4
257204.7  379202.6
       p2p2       
 KB/s in  KB/s out
182216.6  359057.4
208610.7  246147.7
219353.4  254292.7
208006.7  266613.1
190280.8  311865.3
245518.0  282508.2
245210.2  382419.8
163505.8  270359.0
143457.1  280892.4
216881.1  111261.2
180682.2  190938.0
311485.1  327549.6
218424.2  192334.4
186961.5  150944.2
243300.5  330297.5
164263.5  306375.8
376393.9  138350.8
187503.6  225653.0
182601.0  234468.4
259953.1  325179.7
336320.9  238428.5
201292.8  164799.3
       p2p2       
 KB/s in  KB/s out
218718.1  212227.4
365126.9  156517.3
233230.9  294909.2
195271.6  186991.7
257664.4  188135.4
333309.0  277501.6
209742.2  234137.7
240901.3  281756.2
201261.3  258124.0
349015.0  201166.5
254881.9  210068.0
267924.1  171887.2
232151.6  280275.1
285490.3  199359.3
225746.8  190900.0
170507.8  305637.6
247593.6  218066.9
211388.4  183422.7
214308.5  163122.1
188660.1  383188.5
290409.0  217116.9
205818.9  143303.3
       p2p2       
 KB/s in  KB/s out
246994.8  270756.4
152900.4  184295.9
203376.2  342522.3
258841.2  127847.5
343970.8  188402.3
