       p2p2       
 KB/s in  KB/s out
  667.90    625.49
  683.64    623.33
  727.11    689.79
  573.65    573.22
  802.28    740.12
  739.26    674.55
  771.54    714.83
  779.02    722.91
  717.59    689.73
  656.39    594.94
  716.94    637.79
  692.83    628.17
  649.02    601.43
  725.28    704.19
  530.04    490.08
  694.38    701.15
 1985.84   1645.46
 2275.60   1915.49
 2192.96   1762.27
 2660.15   2049.98
 2679.67   2071.98
 2394.07   1616.95
       p2p2       
 KB/s in  KB/s out
 2342.74   1807.82
 2375.04   1791.45
 2250.06   1951.36
 2692.00   2180.23
 2520.77   1923.13
 2392.04   1808.71
 2260.21   1813.18
 2534.36   1879.09
 2448.37   1932.87
 2564.13   1941.81
 2185.36   1880.53
 2312.50   2010.47
 2645.82   1994.26
 2514.64   1904.89
 2455.23   2072.86
 2527.81   1936.69
 2378.90   1834.10
 2424.91   1893.91
 2317.71   1783.08
 2388.81   2039.23
 2627.40   1813.57
 2648.62   2087.53
       p2p2       
 KB/s in  KB/s out
 2468.45   1904.35
 2266.73   1772.60
 2317.81   1775.46
 2357.33   1632.67
 2324.43   1863.12
 2670.19   2201.97
 2233.72   1680.38
 2636.64   2027.64
 2073.13   1541.48
 2597.01   1943.97
 2499.33   2093.79
 2312.84   2050.10
 2379.98   1871.94
 2341.11   1737.18
 2349.97   1752.53
 2222.12   1709.53
 2331.03   1834.70
 2604.64   2046.32
 2311.76   1948.20
 2322.55   1802.89
 2281.17   1659.69
 2322.78   1944.50
       p2p2       
 KB/s in  KB/s out
 2194.45   1719.28
 2504.29   1801.43
 2341.30   2067.69
 2407.21   1944.97
 2587.92   1996.15
 2349.90   1845.19
 2242.65   1788.90
 2241.47   1904.64
 2587.04   2098.39
 2240.49   1874.93
 2395.75   1789.20
 2609.07   2140.78
 2279.64   1861.54
 2586.96   2087.05
 2379.06   1690.84
 2279.17   1661.01
 2158.57   1873.64
 2269.99   1600.33
 2716.65   2077.35
 2302.48   1796.07
 2302.11   2056.07
 2323.62   1634.14
       p2p2       
 KB/s in  KB/s out
 2500.63   2146.79
 2280.43   1625.03
 2127.09   1598.16
 2401.99   1902.53
 2700.50   2130.98
 2414.70   1875.69
 2436.19   1774.23
 2409.78   2042.22
 2542.70   1844.84
 2341.42   2076.76
 2378.28   1861.23
 2537.17   1913.45
 2272.38   1837.66
 2249.65   1617.89
 2548.40   1932.93
 2111.56   1705.07
 2210.17   1699.34
 2258.17   1740.12
 2349.42   1717.81
 2416.06   2232.48
 2318.47   1878.66
 2232.76   1702.64
       p2p2       
 KB/s in  KB/s out
 2235.69   1609.66
 2178.94   1748.20
 2479.58   2047.81
