Linux 3.19.0-25-generic (dss-storage-2) 	10/24/2015 	_x86_64_	(24 CPU)

06:04:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:04:36 PM  all    1.00    0.00    0.78    0.43    0.00    0.22    0.00    0.00    0.00   97.57
06:04:37 PM  all    1.42    0.00    1.82    0.49    0.00    0.13    0.00    0.00    0.00   96.13
06:04:38 PM  all    0.91    0.00    1.30    0.26    0.00    0.26    0.00    0.00    0.00   97.26
06:04:39 PM  all    1.72    0.00    2.03    0.00    0.00    0.31    0.00    0.00    0.00   95.93
06:04:40 PM  all    0.48    0.00    1.05    0.00    0.00    0.09    0.00    0.00    0.00   98.39
06:04:41 PM  all    1.24    0.00    1.72    0.04    0.00    0.13    0.00    0.00    0.00   96.87
06:04:42 PM  all    1.52    0.00    1.30    1.78    0.00    0.22    0.00    0.00    0.00   95.17
06:04:43 PM  all    1.61    0.00    1.09    0.83    0.00    0.26    0.00    0.00    0.00   96.21
06:04:44 PM  all    1.72    0.00    1.89    0.75    0.00    0.26    0.00    0.00    0.00   95.37
06:04:45 PM  all    1.88    0.00    1.62    0.57    0.00    0.26    0.00    0.00    0.00   95.66
06:04:46 PM  all    1.10    0.00    1.23    0.57    0.00    0.18    0.00    0.00    0.00   96.92
06:04:47 PM  all    1.48    0.00    1.44    0.44    0.00    0.22    0.00    0.00    0.00   96.42
06:04:48 PM  all    1.54    0.00    1.27    0.57    0.00    0.40    0.00    0.00    0.00   96.22
06:04:49 PM  all    1.35    0.00    0.87    0.61    0.04    0.17    0.00    0.00    0.00   96.94
06:04:50 PM  all    1.62    0.00    1.57    0.48    0.00    0.35    0.00    0.00    0.00   95.98
06:04:51 PM  all    1.97    0.00    1.48    0.27    0.00    0.36    0.00    0.00    0.00   95.93
06:04:52 PM  all    1.87    0.00    1.56    0.62    0.00    0.22    0.00    0.00    0.00   95.73
06:04:53 PM  all    1.23    0.00    1.10    0.48    0.00    0.26    0.00    0.00    0.00   96.92
06:04:54 PM  all    1.41    0.00    1.50    0.26    0.00    0.40    0.00    0.00    0.00   96.43
06:04:55 PM  all    1.14    0.00    0.88    0.31    0.00    0.13    0.00    0.00    0.00   97.54
06:04:56 PM  all    1.40    0.00    1.35    0.13    0.00    0.22    0.00    0.00    0.00   96.90
06:04:57 PM  all    1.50    0.00    1.32    0.75    0.00    0.26    0.00    0.00    0.00   96.17
06:04:58 PM  all    1.67    0.00    1.85    0.59    0.00    0.45    0.00    0.00    0.00   95.45
06:04:59 PM  all    1.54    0.00    1.27    0.57    0.00    0.18    0.00    0.00    0.00   96.45
06:05:00 PM  all    1.52    0.00    1.70    0.54    0.04    0.18    0.00    0.00    0.00   96.02
06:05:01 PM  all    1.79    0.00    1.88    0.58    0.04    0.31    0.00    0.00    0.00   95.39
06:05:02 PM  all    1.31    0.00    1.00    0.52    0.00    0.13    0.00    0.00    0.00   97.04
06:05:03 PM  all    1.59    0.00    1.20    0.62    0.00    0.35    0.00    0.00    0.00   96.24
06:05:04 PM  all    1.36    0.00    1.23    0.18    0.00    0.09    0.00    0.00    0.00   97.15
06:05:05 PM  all    1.73    0.00    2.36    0.36    0.00    0.13    0.00    0.00    0.00   95.42
06:05:06 PM  all    1.75    0.00    1.88    0.52    0.00    0.31    0.00    0.00    0.00   95.54
06:05:07 PM  all    1.14    0.00    1.23    0.70    0.00    0.18    0.00    0.00    0.00   96.76
