       p2p2       
 KB/s in  KB/s out
  574.89    542.15
  607.52    592.06
  479.60    445.78
  463.73    465.66
  395.29    394.31
  586.68    596.60
  447.02    441.27
  493.11    470.80
  568.42    521.06
  659.49    614.14
  510.83    485.10
  481.03    454.22
  595.23    522.33
  625.24    560.72
  561.39    499.89
  660.07    641.02
  783.11    717.72
  606.16    543.95
  562.87    517.97
  580.45    520.27
  488.89    461.58
  542.08    544.98
       p2p2       
 KB/s in  KB/s out
  672.71    610.67
  669.66    581.41
  684.90    615.43
  743.05    677.99
  374.86    342.27
  761.40    677.15
  652.22    577.77
  671.59    653.31
  496.72    472.43
  488.51    442.00
  502.48    426.14
  639.69    546.60
  571.60    506.24
  582.07    540.53
  403.85    383.12
  409.69    380.29
  763.93    444.23
 1163.23   1431.02
 1456.82   1219.30
 1463.85   1117.89
 1185.51    870.65
 1475.18    961.29
       p2p2       
 KB/s in  KB/s out
 1574.93    977.17
 1335.97   1197.45
 1372.51   1280.39
 1016.13   1224.14
 1423.11   1249.04
 1459.17    999.70
 1366.81   1433.30
 1339.43    873.95
 1258.94    894.37
 1513.85    785.10
 1350.06   1190.55
  827.94   1191.99
 1364.76   1566.83
 1183.89   1176.38
 1337.25   1247.52
 1436.53   1120.37
 1199.61   1125.50
 1228.22   1198.69
 1429.95   1281.40
 1093.13    778.44
 1454.67   1319.89
 1166.11   1123.26
       p2p2       
 KB/s in  KB/s out
 1662.42   1141.13
 1281.73   1102.07
 1336.41    663.44
 1605.41   1247.93
 1479.70   1020.00
 1440.65   1018.48
 1707.54   1247.87
 1669.99    715.13
 1396.75   1002.25
  940.59    768.21
 1213.07   1062.75
 1552.35   1178.46
 1379.28    948.00
 1544.16   1088.56
 1032.68    968.54
 1506.65   1519.02
 1632.87    978.40
 1435.78   1092.17
 1396.36   1170.22
 1439.11   1134.69
 1490.55   1477.04
 1591.16   1369.93
       p2p2       
 KB/s in  KB/s out
 1376.36   1395.82
 1502.30   1324.34
 1581.96    992.45
 1460.24   1109.08
 1220.82   1267.83
 1253.39   1093.11
 1688.08   1255.43
 1437.83    940.52
 1447.40   1536.70
 1701.89    934.18
 1313.40    719.65
 1444.79   1369.11
  807.33    700.76
 1744.07    841.74
 1289.34    857.43
 1482.13   1471.98
 1267.18    959.64
 1819.27    935.25
 1071.66   1091.77
 1472.79   1573.36
 1122.99   1011.53
 1296.99   1192.60
       p2p2       
 KB/s in  KB/s out
 1635.31   1361.65
 1436.06   1518.57
  870.91    690.18
 1394.84    989.78
 1294.27    844.47
 1428.77   1338.83
 1457.75   1316.48
 1515.28   1044.15
 1294.45   1228.18
 1520.31   1141.76
 1406.62   1000.51
 1684.67   1292.48
 1557.02    939.61
 1406.71    954.68
