Linux 3.19.0-25-generic (dss-storage-2) 	10/26/2015 	_x86_64_	(24 CPU)

08:24:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:24:36 PM  all    1.71    0.00    2.39    0.32    0.00    0.54    0.00    0.00    0.00   95.04
08:24:37 PM  all    1.42    0.00    1.15    0.58    0.04    0.22    0.00    0.00    0.00   96.59
08:24:38 PM  all    2.22    0.00    2.22    0.63    0.00    0.41    0.00    0.00    0.00   94.53
08:24:39 PM  all    1.72    0.00    1.64    0.44    0.00    0.18    0.00    0.00    0.00   96.02
08:24:40 PM  all    2.52    0.00    2.66    0.60    0.00    0.46    0.00    0.00    0.00   93.77
08:24:41 PM  all    1.30    0.00    1.61    0.27    0.00    0.27    0.00    0.00    0.00   96.55
08:24:42 PM  all    2.25    0.00    2.47    0.27    0.00    0.36    0.00    0.00    0.00   94.65
08:24:43 PM  all    2.70    0.00    3.15    0.37    0.05    0.50    0.00    0.00    0.00   93.24
08:24:44 PM  all    1.86    0.00    1.99    0.54    0.00    0.27    0.00    0.00    0.00   95.34
08:24:45 PM  all    2.14    0.00    2.14    0.22    0.00    0.22    0.00    0.00    0.00   95.27
08:24:46 PM  all    2.16    0.00    1.50    0.44    0.00    0.22    0.00    0.00    0.00   95.68
08:24:47 PM  all    1.64    0.00    2.00    0.55    0.00    0.23    0.00    0.00    0.00   95.59
08:24:48 PM  all    2.56    0.00    3.39    0.55    0.05    0.73    0.00    0.00    0.00   92.73
08:24:49 PM  all    1.75    0.00    2.16    0.54    0.00    0.45    0.00    0.00    0.00   95.10
08:24:50 PM  all    2.42    0.00    2.68    0.27    0.00    0.40    0.00    0.00    0.00   94.23
08:24:51 PM  all    1.72    0.00    2.25    2.79    0.00    0.13    0.00    0.00    0.00   93.10
08:24:52 PM  all    1.71    0.00    1.85    1.49    0.00    0.45    0.00    0.00    0.00   94.51
08:24:53 PM  all    2.03    0.00    2.70    0.50    0.00    0.59    0.00    0.00    0.00   94.19
08:24:54 PM  all    2.12    0.00    2.71    0.50    0.00    0.32    0.00    0.00    0.00   94.35
08:24:55 PM  all    1.85    0.00    2.67    0.27    0.00    0.32    0.00    0.00    0.00   94.89
08:24:56 PM  all    2.16    0.00    2.93    0.63    0.00    0.41    0.00    0.00    0.00   93.87
08:24:57 PM  all    0.89    0.00    1.16    0.62    0.04    0.18    0.00    0.00    0.00   97.11
08:24:58 PM  all    2.06    0.00    2.51    0.63    0.00    0.18    0.00    0.00    0.00   94.62
08:24:59 PM  all    2.15    0.00    1.97    0.72    0.00    0.31    0.00    0.00    0.00   94.86
08:25:00 PM  all    4.14    0.00    3.91    0.64    0.00    0.60    0.00    0.00    0.00   90.70
08:25:01 PM  all    4.46    0.00    1.78    0.32    0.00    0.46    0.00    0.00    0.00   92.98
08:25:02 PM  all    4.50    0.00    2.02    0.31    0.00    0.36    0.00    0.00    0.00   92.81
08:25:03 PM  all    4.97    0.00    2.17    0.72    0.00    0.50    0.00    0.00    0.00   91.64
08:25:04 PM  all    3.59    0.00    1.69    0.62    0.00    0.22    0.00    0.00    0.00   93.88
08:25:05 PM  all    5.63    0.00    2.81    0.55    0.00    0.28    0.00    0.00    0.00   90.72
08:25:06 PM  all    5.86    0.00    3.30    0.55    0.00    0.50    0.00    0.00    0.00   89.78
08:25:07 PM  all    4.85    0.00    3.60    0.51    0.05    0.65    0.00    0.00    0.00   90.35
08:25:08 PM  all    5.00    0.00    1.61    0.49    0.00    0.36    0.00    0.00    0.00   92.54
08:25:09 PM  all    4.70    0.00    2.30    0.45    0.00    0.54    0.00    0.00    0.00   92.01
08:25:10 PM  all    5.19    0.00    2.37    0.22    0.00    0.27    0.00    0.00    0.00   91.95
08:25:11 PM  all    7.41    0.00    3.23    0.13    0.00    0.27    0.00    0.00    0.00   88.95
08:25:12 PM  all    6.28    0.00    4.22    0.37    0.05    0.64    0.00    0.00    0.00   88.44
08:25:13 PM  all    6.12    0.00    2.25    0.54    0.00    0.36    0.00    0.00    0.00   90.73
08:25:14 PM  all    3.97    0.00    2.30    0.54    0.00    0.99    0.00    0.00    0.00   92.20
08:25:15 PM  all    4.95    0.00    3.25    0.60    0.00    0.69    0.00    0.00    0.00   90.51
08:25:16 PM  all    5.14    0.00    2.79    0.45    0.00    0.50    0.00    0.00    0.00   91.12
08:25:17 PM  all    5.79    0.00    3.01    0.32    0.00    0.56    0.00    0.00    0.00   90.32
08:25:18 PM  all    5.20    0.00    3.51    0.46    0.05    0.50    0.00    0.00    0.00   90.29
08:25:19 PM  all    5.34    0.00    2.69    0.46    0.00    0.37    0.00    0.00    0.00   91.15
08:25:20 PM  all    4.14    0.00    2.49    0.56    0.00    0.66    0.00    0.00    0.00   92.14
08:25:21 PM  all    3.14    0.00    2.77    0.32    0.00    0.36    0.00    0.00    0.00   93.41
08:25:22 PM  all    4.58    0.00    2.31    0.37    0.00    0.37    0.00    0.00    0.00   92.37
08:25:23 PM  all    5.13    0.00    3.25    0.18    0.00    0.64    0.00    0.00    0.00   90.79
08:25:24 PM  all    5.17    0.00    2.09    0.64    0.00    0.14    0.00    0.00    0.00   91.97
08:25:25 PM  all    4.37    0.00    1.95    0.65    0.00    0.23    0.00    0.00    0.00   92.80
08:25:26 PM  all    5.83    0.00    2.45    0.55    0.00    0.37    0.00    0.00    0.00   90.80
08:25:27 PM  all    4.80    0.00    1.97    0.49    0.00    0.45    0.00    0.00    0.00   92.29
08:25:28 PM  all    4.36    0.00    2.92    0.51    0.00    0.46    0.00    0.00    0.00   91.75
08:25:29 PM  all    3.42    0.00    1.44    0.50    0.00    0.27    0.00    0.00    0.00   94.37
08:25:30 PM  all    4.71    0.00    1.99    0.45    0.00    0.27    0.00    0.00    0.00   92.57
08:25:31 PM  all    5.34    0.00    2.83    0.23    0.00    0.59    0.00    0.00    0.00   91.00
08:25:32 PM  all    5.42    0.00    2.10    0.23    0.00    0.41    0.00    0.00    0.00   91.84
08:25:33 PM  all    4.72    0.00    2.84    0.60    0.00    0.41    0.00    0.00    0.00   91.43
08:25:34 PM  all    4.33    0.00    2.46    0.59    0.00    0.27    0.00    0.00    0.00   92.34
08:25:35 PM  all    4.63    0.00    1.86    0.54    0.05    0.27    0.00    0.00    0.00   92.65
08:25:36 PM  all    5.83    0.00    3.28    0.51    0.00    0.32    0.00    0.00    0.00   90.06
08:25:37 PM  all    6.36    0.00    2.90    0.51    0.05    0.80    0.00    0.00    0.00   89.38
08:25:38 PM  all    5.19    0.00    2.48    0.46    0.00    0.32    0.00    0.00    0.00   91.54
08:25:39 PM  all    4.77    0.00    2.25    0.28    0.00    0.28    0.00    0.00    0.00   92.43
08:25:40 PM  all    6.12    0.00    2.88    0.64    0.00    0.37    0.00    0.00    0.00   90.00
08:25:41 PM  all    4.32    0.00    2.13    0.56    0.00    0.37    0.00    0.00    0.00   92.62
08:25:42 PM  all    6.16    0.00    4.42    0.19    0.00    0.80    0.00    0.00    0.00   88.43
08:25:43 PM  all    5.01    0.00    2.64    0.19    0.00    0.56    0.00    0.00    0.00   91.61
08:25:44 PM  all    6.17    0.00    2.91    0.27    0.00    0.36    0.00    0.00    0.00   90.29
08:25:45 PM  all    5.29    0.00    1.98    0.64    0.00    0.37    0.00    0.00    0.00   91.72
08:25:46 PM  all    7.99    0.00    2.77    0.60    0.00    0.46    0.00    0.00    0.00   88.18
08:25:47 PM  all    4.63    0.00    1.63    0.50    0.05    0.14    0.00    0.00    0.00   93.05
08:25:48 PM  all    6.10    0.00    2.84    0.55    0.00    0.50    0.00    0.00    0.00   90.01
08:25:49 PM  all    5.36    0.00    2.54    0.55    0.05    0.42    0.00    0.00    0.00   91.08
08:25:50 PM  all    4.75    0.00    3.37    0.60    0.00    0.65    0.00    0.00    0.00   90.63
08:25:51 PM  all    4.77    0.00    2.77    0.50    0.00    0.27    0.00    0.00    0.00   91.69
08:25:52 PM  all    5.99    0.00    2.24    0.09    0.00    0.18    0.00    0.00    0.00   91.49
08:25:53 PM  all    6.07    0.00    3.89    0.19    0.00    0.65    0.00    0.00    0.00   89.20
08:25:54 PM  all    4.23    0.00    1.82    0.50    0.00    0.36    0.00    0.00    0.00   93.09
08:25:55 PM  all    4.24    0.00    3.17    0.51    0.00    0.28    0.00    0.00    0.00   91.80
08:25:56 PM  all    3.81    0.00    2.38    0.46    0.00    0.28    0.00    0.00    0.00   93.08
08:25:57 PM  all    3.66    0.00    2.76    0.54    0.00    0.36    0.00    0.00    0.00   92.67
08:25:58 PM  all    5.11    0.00    3.19    0.66    0.00    0.47    0.00    0.00    0.00   90.58
08:25:59 PM  all    5.67    0.00    2.74    0.28    0.00    0.56    0.00    0.00    0.00   90.76
08:26:00 PM  all    4.69    0.00    2.43    0.60    0.00    0.41    0.00    0.00    0.00   91.87
08:26:01 PM  all    7.52    0.00    3.09    0.55    0.00    0.60    0.00    0.00    0.00   88.24
08:26:02 PM  all    6.14    0.00    3.00    0.23    0.00    0.51    0.00    0.00    0.00   90.12
08:26:03 PM  all    5.82    0.00    3.56    0.32    0.00    0.69    0.00    0.00    0.00   89.61
08:26:04 PM  all    4.21    0.00    2.44    0.50    0.05    0.41    0.00    0.00    0.00   92.40
08:26:05 PM  all    3.71    0.00    2.45    0.42    0.00    0.37    0.00    0.00    0.00   93.05
08:26:06 PM  all    6.01    0.00    3.03    0.51    0.00    0.42    0.00    0.00    0.00   90.04
08:26:07 PM  all    5.67    0.00    3.81    0.52    0.00    0.48    0.00    0.00    0.00   89.51
08:26:08 PM  all    5.23    0.00    2.31    0.46    0.00    0.19    0.00    0.00    0.00   91.81
08:26:09 PM  all    6.11    0.00    3.01    0.46    0.00    0.37    0.00    0.00    0.00   90.05
08:26:10 PM  all    5.40    0.00    3.57    0.41    0.00    0.69    0.00    0.00    0.00   89.94
08:26:11 PM  all    4.69    0.00    2.69    0.14    0.00    0.32    0.00    0.00    0.00   92.16
08:26:12 PM  all    5.96    0.00    2.73    0.46    0.00    0.60    0.00    0.00    0.00   90.25
08:26:13 PM  all    8.10    0.00    3.59    0.56    0.00    0.84    0.00    0.00    0.00   86.91
08:26:14 PM  all    4.82    0.00    2.41    0.28    0.00    0.42    0.00    0.00    0.00   92.07
08:26:15 PM  all    5.90    0.00    2.56    0.51    0.05    0.28    0.00    0.00    0.00   90.71
08:26:16 PM  all    5.43    0.00    2.40    0.63    0.00    0.41    0.00    0.00    0.00   91.14
08:26:17 PM  all    4.83    0.00    2.44    0.28    0.00    0.51    0.00    0.00    0.00   91.95
08:26:18 PM  all    5.47    0.00    2.76    0.55    0.00    0.51    0.00    0.00    0.00   90.72
08:26:19 PM  all    3.75    0.00    2.08    0.63    0.00    0.41    0.00    0.00    0.00   93.13
08:26:20 PM  all    4.50    0.00    1.85    0.32    0.00    0.36    0.00    0.00    0.00   92.97
08:26:21 PM  all    5.52    0.00    2.62    0.64    0.00    0.51    0.00    0.00    0.00   90.71
08:26:22 PM  all    4.05    0.00    2.98    0.61    0.00    0.33    0.00    0.00    0.00   92.04
08:26:23 PM  all    4.68    0.00    2.57    0.56    0.00    0.51    0.00    0.00    0.00   91.67
08:26:24 PM  all    3.93    0.00    2.15    0.46    0.00    0.41    0.00    0.00    0.00   93.05
08:26:25 PM  all    4.42    0.00    2.60    0.23    0.00    0.23    0.00    0.00    0.00   92.53
08:26:26 PM  all    5.87    0.00    2.80    0.32    0.00    0.23    0.00    0.00    0.00   90.79
08:26:27 PM  all    4.43    0.00    2.31    0.55    0.00    0.46    0.00    0.00    0.00   92.25
