       p2p2       
 KB/s in  KB/s out
  769.26    740.35
  532.17    470.56
  707.75    632.45
  584.99    529.92
  855.24    782.30
  591.90    553.02
  811.88    803.82
  982.95    900.02
  658.41    605.74
  624.17    609.46
  740.59    682.03
  755.85    673.65
  842.14    779.02
  640.15    575.53
  822.95    812.09
  561.20    463.85
  663.37    655.16
  766.71    701.70
  757.15    681.84
  627.46    613.35
  798.40    733.94
  602.82    537.35
       p2p2       
 KB/s in  KB/s out
  725.65    668.98
  723.24    693.50
 1336.58   1192.20
 1458.11   1419.33
 1507.53   1107.28
 1681.71   1326.52
 1589.74   1141.92
 1964.93   1796.58
 1877.81   1683.88
 1905.13   1372.52
 1562.27   1589.18
 1355.03   1074.70
 1397.42   1197.21
 1810.24   2368.36
 1930.58   1750.01
 1521.48   1057.92
 1596.45   1857.55
 1684.99   1135.22
 1830.83   1383.68
 1512.90   1783.58
 1622.16    612.10
 1691.78   1084.59
       p2p2       
 KB/s in  KB/s out
 1647.58   1197.81
 1453.46   1313.16
 1723.53   1281.86
 1852.64   1105.08
 1407.51   1224.66
 1687.96   1258.43
 1752.32   1318.64
 1591.32   1353.21
 1554.27   1008.04
 1392.99    988.72
 1605.82   1389.55
 1560.67   1356.69
 1285.86   1302.30
 1794.62   1584.58
 1416.77   1444.72
 1532.30   1195.19
 1664.15   1785.15
 1754.18   1623.97
 1553.15   1026.65
 1854.23   1594.44
 1503.57   1005.11
 1432.17   1170.06
       p2p2       
 KB/s in  KB/s out
 1690.82   1025.86
 1887.54   1368.10
 1579.75   1364.71
 1208.76    892.66
 1859.40   1823.67
 1560.39   1270.02
 1791.56   1394.45
 1990.20   2076.70
 1440.33   1210.74
 1523.04   1190.63
 1569.60   1637.45
 1932.82   1638.50
 1332.11   1152.55
 1602.86   1177.84
 1671.84    859.12
 1272.26    971.39
 1753.96   1193.54
 1762.26   1761.47
 1752.14   1739.44
 1554.61   1461.35
 1787.26   1634.10
 1589.59   1229.41
       p2p2       
 KB/s in  KB/s out
 1522.21   1304.10
 1361.15   1189.66
 1703.57   1586.20
 1814.85   1428.44
 1630.63   1498.51
 1606.59   1216.60
 1682.96   1076.48
 1353.48    984.73
 1731.38   1565.00
 1760.91   2184.07
 1414.11   1431.19
 1657.56   1105.89
 1656.74   1172.47
 1653.26   1201.09
 1685.93   1226.00
 1252.18    892.29
 1328.40   1471.84
 1665.14   1398.33
 1598.35   1350.76
 1858.89   1710.24
 1429.46   1035.54
 1324.46    870.84
       p2p2       
 KB/s in  KB/s out
 1647.57   1478.03
 1674.86   1550.28
 1728.63   1605.80
 1816.65   1323.00
 1749.47   1459.08
 1660.77   1208.33
 1440.84   1161.11
 1516.50   1547.44
 1806.20   1135.56
 1701.60   1333.31
 1527.27   1459.50
 1680.09   1411.71
 1871.71   1901.60
 1641.08   1735.59
 1648.53   1438.67
 1623.14   1095.55
 1727.32   1225.86
 1853.35   1588.21
 1412.02    900.82
 1394.49   1286.55
 1401.10   1401.21
 1558.58   1466.29
       p2p2       
 KB/s in  KB/s out
 1476.68   1225.68
 1576.57   1072.10
 1555.78   1708.99
 1716.59   1434.47
 1638.54   1228.71
 1441.05    809.80
 1701.57   1335.84
 1825.57   1272.11
 1481.12   1032.48
 1761.89   1510.60
 1583.64   1360.14
 1729.17   1500.06
 1694.62   1537.35
 1637.58   1535.59
 1967.68   1580.12
 1969.55   1562.32
 1570.61   1692.13
 1542.84   1251.26
 1671.94    946.30
 1852.40   1565.98
 1693.92   1463.71
 1924.71   1317.96
       p2p2       
 KB/s in  KB/s out
 1735.86   1580.29
 1642.59   1637.76
 1579.26   1736.60
 1675.06   1224.05
 1892.80   1751.47
 1594.07   1402.04
 1716.52   1296.28
 1357.67   1427.31
 1798.20   1405.43
 1239.30   1153.98
 1702.23   1627.13
 1478.80   1293.93
 1492.33   1609.13
 1562.62   1200.52
 1415.26   1155.79
 1707.14   1963.17
 1621.19   1317.38
 1566.63   1225.38
 1546.95    984.80
 1930.76   1769.73
 1833.11   1567.24
 1602.14   1438.99
       p2p2       
 KB/s in  KB/s out
 1612.73   1379.59
 1684.07   1585.01
 1217.48    987.49
 1394.82    994.31
 1495.95   1048.63
 1962.83   1783.23
 1780.62   1624.17
 1603.75   1283.18
 1569.06   1126.74
 1505.09    655.56
 1579.52   1090.82
 1821.84   1481.81
 1650.24   1243.42
 1547.33   1240.21
 1627.53   1150.95
 1557.08   1539.66
 1629.95   1317.03
 1381.21    803.95
 1642.74   1677.64
 1824.99   1639.37
 1915.66   1355.52
 1604.10    694.06
       p2p2       
 KB/s in  KB/s out
 1359.96    756.89
 1801.87   1477.51
 1649.13   1446.57
 1697.29   1164.42
 1321.80   1093.07
 1833.05   1421.65
 1391.67   1041.75
 1018.38    833.01
  670.57    650.16
  810.16    743.55
  874.08    821.28
  518.88    469.84
  730.70    696.86
  718.52    677.84
  724.27    719.72
  896.57    870.51
  714.27    680.36
  886.20    823.46
  751.61    645.84
  734.73    595.80
  946.79    883.73
 1046.52    911.16
       p2p2       
 KB/s in  KB/s out
  625.17    513.42
  765.42    699.14
  804.27    775.11
  777.22    732.19
  746.28    713.55
  799.36    752.78
  648.83    594.34
  795.79    644.22
 1140.19   1028.41
  673.67    524.64
  851.41    772.91
  968.29    848.63
  884.35    750.07
  841.56    862.76
  766.61    659.62
 1019.84    893.99
  907.78    826.65
  909.30    804.33
  761.87    742.82
 1034.94    913.50
  875.31    799.97
  822.17    692.45
       p2p2       
 KB/s in  KB/s out
  738.70    661.17
  690.54    673.62
  737.94    729.64
 1031.32    914.17
  791.11    672.23
  800.99    716.47
  869.37    751.38
  758.63    664.67
  716.14    586.11
  917.68    822.99
 1044.66    994.61
  838.88    795.65
  723.79    668.80
  581.14    511.15
  853.79    760.19
 1015.18    825.58
  918.13    838.18
  961.12    870.45
  673.59    590.49
  889.32    734.24
  830.00    750.74
  884.80    818.03
       p2p2       
 KB/s in  KB/s out
  678.34    631.35
  883.88    781.20
  948.38    866.16
 1065.23    963.10
  572.27    552.90
  999.70    881.85
  911.37    831.59
  876.07    717.95
  777.38    712.05
  813.94    758.74
  908.83    810.91
  881.94    866.73
  969.13    912.44
  946.72    857.30
  734.89    622.83
  911.51    789.56
  814.24    787.03
 1044.28    893.84
  854.42    733.13
  585.73    580.47
  693.81    625.89
 1024.01    921.49
       p2p2       
 KB/s in  KB/s out
  887.05    805.08
  771.41    675.56
  818.00    818.54
  914.53    829.33
  872.30    844.98
  818.05    687.52
 1032.71    981.80
  715.99    647.08
  918.40    835.58
  850.93    718.10
  944.24    848.12
  747.61    720.72
  615.55    603.69
  916.60    838.99
  864.98    805.67
  750.01    677.54
  973.06    860.40
  775.10    698.25
  841.02    729.95
  977.12    932.21
  868.28    769.23
  886.46    777.84
       p2p2       
 KB/s in  KB/s out
  744.11    658.78
  788.76    675.46
  810.75    749.67
  945.55    896.35
  757.99    599.44
  724.34    685.86
