Linux 3.19.0-25-generic (dss-storage-2) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           8.45    0.00    3.58    1.57    0.00   86.40

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     2.54    3.67    8.77   256.41  1754.53   323.40     0.19   15.18   12.92   16.13   3.88   4.82
sdb               0.00     2.88    3.57   10.54   233.29  1947.07   309.17     0.21   15.05   14.16   15.36   3.63   5.12
sdc               0.00     2.98    4.27   10.27   294.07  2060.87   324.04     0.24   16.67   14.71   17.48   3.98   5.78
sdd               0.00     2.66    3.49    9.05   228.29  1839.36   329.91     0.20   16.03   13.27   17.10   3.88   4.86
sdf               0.00     2.80    4.42    9.92   320.13  1958.76   317.99     0.24   16.47   13.19   17.93   3.90   5.58
sde               0.00     2.73    3.95   11.10   266.08  1928.47   291.54     0.21   13.73   13.38   13.85   3.49   5.25
sdg               0.00     2.70    4.00    9.50   282.41  1858.43   317.11     0.20   15.15   13.42   15.87   3.85   5.20
sdh               0.00     2.73    3.22   10.98   202.30  1852.45   289.37     0.19   13.71   14.04   13.61   3.39   4.82
sdi               0.00     2.79    3.77   10.00   250.63  1956.71   320.50     0.22   15.75   14.68   16.16   3.85   5.30
sdj               0.00     2.46    3.13    8.77   207.06  1701.73   320.84     0.18   15.19   13.24   15.89   3.76   4.48
sdk               0.00     2.90    4.05   10.04   273.16  2016.34   325.05     0.23   16.09   14.98   16.54   3.94   5.55
sdl               0.00     2.62    3.62    9.50   248.63  1785.68   310.14     0.20   15.02   13.81   15.48   3.72   4.89
sdm               0.00     3.11    4.58   10.98   320.43  2184.50   322.07     0.25   16.01   14.55   16.62   3.86   6.01
sdo               0.00     2.50    3.31   10.16   218.89  1734.43   290.01     0.19   14.39   13.67   14.62   3.48   4.68
sdn               0.00     2.89    3.63    9.92   234.08  2012.89   331.76     0.22   15.93   14.92   16.30   3.86   5.23
sdp               0.00     2.68    3.39    9.39   224.54  1860.08   326.36     0.20   15.36   13.75   15.95   3.81   4.86
sdr               0.00     2.69    3.84    9.42   260.15  1847.67   318.01     0.21   16.02   14.91   16.47   3.95   5.24
sdt               0.00     2.84    3.74    9.59   250.45  1955.65   331.16     0.23   16.90   14.34   17.89   3.93   5.23
sdu               0.00     2.62    3.68    8.96   244.24  1827.63   327.70     0.20   15.78   14.22   16.42   4.03   5.09
sdv               0.00     2.57    3.70    8.71   256.58  1759.72   325.03     0.20   16.00   13.54   17.04   3.99   4.95
sdw               0.00     2.70    3.65    9.41   242.05  1872.17   323.87     0.21   16.18   14.60   16.79   3.95   5.16
sdx               0.00     2.59    3.96    9.37   287.47  1805.16   314.08     0.21   15.45   12.63   16.64   3.75   5.00
sdy               0.00     2.92    4.11    9.68   281.41  2010.91   332.41     0.23   17.00   14.52   18.05   4.03   5.56
sds               0.00     2.77    3.66    9.50   238.01  1927.47   329.16     0.21   16.31   14.88   16.86   3.96   5.21
sdq               0.00     2.89    4.16   11.34   278.81  2034.40   298.45     0.23   14.82   14.85   14.81   3.65   5.67
sdz               0.52    10.77    1.00    6.83    46.80   440.76   124.57     0.24   30.71    6.05   34.32   9.24   7.23
dm-0              0.00     0.00    0.73   15.69    43.64   433.04    58.08     0.41   24.74    5.44   25.64   4.33   7.10
dm-1              0.00     0.00    0.79    1.93     3.15     7.72     8.00     0.28  102.42    7.87  141.03   0.79   0.21
sdaa              0.00     0.00    0.00    0.00     0.00     0.00     5.66     0.00    2.09    2.07    6.40   0.37   0.00

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
          50.89    0.00   23.59   10.07    0.00   15.44

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sda               0.00     9.00    0.00   34.00     0.00 23016.00  1353.88     8.99  176.00    0.00  176.00  28.24  96.00
sdb               0.00    17.00    0.00   47.00     0.00 35800.00  1523.40     9.51  156.09    0.00  156.09  21.28 100.00
sdc               0.00     4.00    0.00   29.00     0.00 18748.00  1292.97     7.62  183.45    0.00  183.45  33.52  97.20
sdd               0.00    25.00    0.00   45.00     0.00 47700.00  2120.00     8.93  141.42    0.00  141.42  22.22 100.00
sdf               0.00    18.00    1.00   35.00     8.00 38864.00  2159.56     8.83  206.67   60.00  210.86  27.78 100.00
sde               0.00    18.00    0.00   49.00     0.00 43524.00  1776.49     9.78  159.43    0.00  159.43  20.33  99.60
sdg               0.00    18.00    1.00   37.00     4.00 32284.00  1699.37     8.82  155.26  332.00  150.49  26.21  99.60
sdh               0.00     3.00    0.00   15.00     0.00  6768.00   902.40     3.14  161.33    0.00  161.33  55.47  83.20
sdi               0.00    12.00    1.00   38.00     8.00 27968.00  1434.67     8.24  164.82  312.00  160.95  25.54  99.60
sdj               0.00     7.00    0.00   36.00     0.00 24804.00  1378.00     7.05  161.33    0.00  161.33  27.67  99.60
sdk               0.00    19.00    0.00   39.00     0.00 37528.00  1924.51     7.96  142.15    0.00  142.15  25.54  99.60
sdl               0.00    39.00    0.00   37.00     0.00 27268.00  1473.95    29.88  164.43    0.00  164.43  26.70  98.80
sdm               0.00    22.00    0.00   47.00     0.00 43796.00  1863.66     9.20  146.21    0.00  146.21  21.19  99.60
sdo               0.00    13.00    0.00   34.00     0.00 26568.00  1562.82     7.57  166.47    0.00  166.47  29.29  99.60
sdn               0.00    12.00    1.00   35.00     4.00 22520.00  1251.33     7.80  171.67  104.00  173.60  27.56  99.20
sdp               0.00    19.00    0.00   41.00     0.00 36304.00  1770.93     8.85  166.83    0.00  166.83  24.20  99.20
sdr               0.00    18.00    0.00   27.00     0.00 29848.00  2210.96     9.46  228.30    0.00  228.30  36.74  99.20
