       p2p2       
 KB/s in  KB/s out
840500.2  526815.4
750864.1  530154.1
840180.0  545837.0
530946.6  459523.2
514377.7  391960.4
480030.7  457717.0
609738.4  414864.1
597150.1  425146.6
424206.0  355676.4
238815.9  198184.3
110061.7  99660.44
256602.8  172633.4
290116.9  192783.2
552899.4  350448.3
590757.5  377259.0
545065.7  380788.3
512774.5  523112.0
626395.4  509035.4
445505.9  286628.4
724887.1  558891.3
558357.8  260998.4
473502.1  237680.9
       p2p2       
 KB/s in  KB/s out
547441.4  419115.8
464557.2  406560.5
525578.9  445707.9
238596.1  162587.0
80733.63  51650.19
87340.23  70099.56
71600.97  54313.70
173894.0  117360.2
28382.15  14608.37
103837.4  103187.9
350989.1  251868.0
469478.0  302169.7
699082.1  497672.0
728718.2  465829.9
758591.9  503619.1
629576.0  457223.1
244989.6  157594.8
176440.3  132205.6
374801.6  289288.4
527466.4  368558.1
661056.5  428637.6
462024.1  373650.4
       p2p2       
 KB/s in  KB/s out
252475.2  145851.8
