       p2p2       
 KB/s in  KB/s out
 3463.56   2546.10
 3232.72   2794.84
 3084.50   2578.75
 2978.10   2542.79
 3415.86   2720.33
 3633.31   2498.90
 2894.89   2605.17
 2674.69   2228.52
 2990.43   2504.30
 3604.72   2600.60
 2687.91   2104.43
 2441.81   2104.94
 2633.80   2156.45
 2507.36   2233.31
 3067.06   2526.83
 3289.01   2276.35
 2667.12   2154.58
 2639.50   2218.82
 2732.49   2336.52
 3641.27   2461.42
 2834.13   2408.35
 2746.66   2280.16
       p2p2       
 KB/s in  KB/s out
 2623.50   2170.27
 2934.68   2300.35
 2914.89   2216.97
 3015.39   2190.22
 2594.43   2188.38
 2616.70   2244.22
 2934.77   2511.20
 3501.50   2543.17
 2550.52   2158.38
 2617.32   2217.26
 2652.32   2250.83
 2675.80   2146.44
 3009.72   2262.10
 2924.83   2233.11
 2539.71   2195.12
 2361.00   2084.96
 2372.12   2004.52
 3284.05   2174.51
 2310.44   1907.29
 2635.22   2525.73
 2341.04   1998.20
 2427.31   1884.03
       p2p2       
 KB/s in  KB/s out
 3024.99   2270.77
 2786.00   2179.97
 2498.22   2213.89
 2633.26   2157.19
 3067.31   2501.71
 3559.74   2653.62
 2586.40   2371.56
 2480.80   2138.49
 2432.09   2081.06
 2591.71   2051.03
 3135.79   2192.83
 2655.62   2041.70
 2479.20   2138.75
 2787.61   2403.99
 2988.70   2292.37
 3134.52   2246.77
 2440.10   2094.61
 2620.02   2204.01
 2462.46   2034.42
 2750.76   2284.54
 3260.45   2365.17
 2864.43   2135.08
       p2p2       
 KB/s in  KB/s out
 2319.58   1997.24
 2336.94   2077.66
 2700.30   2265.37
 2638.12   2346.05
 2944.49   2082.05
 2650.29   2290.67
 2501.97   2193.64
 2582.03   2319.82
 3238.42   2327.61
 2583.17   2045.05
 2745.28   2245.13
 2638.54   2115.02
 2545.09   2150.19
 2903.33   2257.67
 3117.40   2257.59
 2558.89   2232.87
 2582.93   2372.91
 2849.87   2435.05
 3407.88   2434.43
 2533.26   2035.71
 2385.95   2048.17
 2590.25   2149.17
       p2p2       
 KB/s in  KB/s out
 2709.85   2158.42
 2847.42   2626.05
 2933.34   2065.14
 2595.63   2325.56
 2379.63   2090.58
 2807.49   2447.23
 3082.31   2149.33
 2784.98   2217.92
 2386.65   2054.37
 2559.39   2105.48
 2770.27   2145.69
 3048.30   2556.69
 2861.36   2260.28
 2577.87   2197.32
 2436.83   2081.69
 2440.45   1999.03
 3319.52   2353.56
 2648.69   2187.94
 2455.37   2088.03
 2959.44   2429.75
 2808.79   2233.22
 2923.97   2429.71
       p2p2       
 KB/s in  KB/s out
 3060.59   2059.36
 2502.06   2097.03
 2482.82   2138.72
 2815.75   2400.38
 3548.58   2582.03
 2482.38   1963.04
 2456.03   2157.93
 2475.17   2015.87
 2485.70   2238.01
 3116.43   2211.36
 2911.54   2209.84
 2509.89   2243.97
 2621.35   2029.93
 2760.62   2271.46
 3126.23   2136.98
 2689.03   2278.11
 2318.38   2001.24
 2299.08   1879.53
 2519.94   2170.19
 2965.74   2105.77
 2757.86   2252.86
 2402.40   2014.56
       p2p2       
 KB/s in  KB/s out
 2520.30   2009.16
 2911.27   2204.05
 2912.18   2042.37
 2330.76   2123.00
 2252.73   1912.25
 2877.30   2383.87
 2544.07   2257.49
 3151.38   2366.02
 2737.84   2138.52
 2484.35   2131.84
 2717.13   2312.36
 2932.93   2320.93
 2801.43   2356.87
 2863.57   2174.81
 2529.78   2056.95
 2238.95   1883.84
 2611.05   2184.93
 3214.65   2232.41
 2843.94   2408.18
 2421.31   2188.25
 2521.91   2266.00
 2605.11   2071.80
       p2p2       
 KB/s in  KB/s out
 3007.98   2241.97
 2352.00   1877.26
 2380.76   2027.06
 2402.29   2169.06
 2490.45   2067.24
 3122.33   2277.38
 2646.39   2140.75
 2650.13   2221.15
 2655.03   2160.26
 2736.82   2082.18
 2617.58   2398.43
 2909.26   1990.81
 2706.22   2261.77
 2249.22   1930.18
 2818.21   2253.39
 3218.22   2215.12
 2473.73   2100.53
 2528.86   2151.10
 2573.04   2281.84
 2513.98   2230.48
 3116.72   2230.07
 2545.23   1817.30
       p2p2       
 KB/s in  KB/s out
 2427.71   2033.50
 2345.34   2000.39
 2350.28   1979.75
 2841.92   1972.80
 2399.79   1899.90
 2508.22   2084.12
 2197.50   2004.70
 2577.51   2169.96
 3005.70   2117.59
 2546.57   2087.52
 2241.25   1842.71
 2393.44   1973.97
 2419.14   1899.90
 2977.47   2229.45
 2164.77   1841.84
 2231.44   1881.34
 2272.40   1833.40
 2696.29   2319.12
 3094.81   2159.12
 2645.45   2282.68
 2324.83   2003.78
 2457.41   2092.37
       p2p2       
 KB/s in  KB/s out
 2857.34   2187.41
 2730.61   1935.85
 2323.95   2024.45
 2285.32   2037.79
 2225.59   2058.87
 2358.12   1802.95
 3091.16   2169.75
 2525.42   2223.52
 2164.53   1853.87
 2375.76   1866.29
 2403.41   2115.84
 2818.83   2080.55
 2554.04   2004.61
 2184.46   1892.16
 2484.13   2025.85
 2315.40   1945.34
 2993.16   2221.28
 2065.21   1777.28
 2376.87   1897.96
 2171.34   1954.44
 2474.86   2064.07
 2960.86   2076.31
       p2p2       
 KB/s in  KB/s out
 2466.96   2064.52
 2309.36   1919.87
 2351.60   2013.75
 2927.80   2338.97
 2472.69   2055.32
 2496.91   1866.65
 2035.95   1575.56
 2105.21   1956.52
 2401.98   1943.79
 2793.66   2035.55
 2338.20   1919.97
 2119.30   1843.58
 2304.79   2011.38
 2776.25   2111.88
 2502.13   2244.85
 2094.45   1680.09
 2186.29   1958.26
 2012.33   1897.01
 2445.86   2065.99
 2878.39   2080.72
 2174.22   1783.44
 2061.57   1822.31
       p2p2       
 KB/s in  KB/s out
 2297.11   1856.63
 2133.36   1643.66
 2806.42   2081.53
 2134.05   1766.06
 2054.70   1882.07
 2203.24   1998.86
 2205.61   1759.83
 2621.80   1776.77
 2165.30   1680.51
 2085.82   1770.33
 2271.52   2032.26
 2337.39   1841.38
 2184.75   1832.43
 2141.91   1603.57
 2048.79   1905.80
 2127.99   1758.99
 2189.40   1873.84
 2968.02   1963.61
 1847.38   1550.99
 1967.15   1573.02
 2285.24   1974.09
 2452.35   1929.32
       p2p2       
 KB/s in  KB/s out
 2236.00   1824.98
 2544.65   1991.38
 2040.47   1726.01
 1967.59   1664.06
 2426.91   1677.83
 2679.16   2287.93
 2130.93   1551.16
 1997.24   1791.55
 2214.30   1919.06
 2563.83   2088.13
 3033.23   2111.67
 1985.67   1634.47
 1889.07   1585.93
 1960.58   1657.77
 2403.89   1742.50
 1934.11   1679.55
 2309.27   1618.39
 2063.49   1864.78
 2082.51   1677.09
 2379.63   2006.64
 2513.63   1638.65
 1823.04   1660.99
       p2p2       
 KB/s in  KB/s out
 1943.91   1697.53
 2072.29   1681.65
 2108.52   2135.99
 2011.89   1458.41
 1095.77    816.50
  832.31    768.47
  675.08    564.50
 1029.00    850.16
  989.53    804.23
  638.41    607.19
  461.49    473.55
  839.31    826.58
 2343.03   2148.92
 2667.50   2064.09
 2573.36   2189.46
 2427.98   2084.36
 2429.27   2041.81
 3047.18   2458.40
 2894.07   2095.21
 2242.83   1833.75
 2231.05   1831.44
 2235.38   1819.17
       p2p2       
 KB/s in  KB/s out
 2703.94   2248.25
 2952.50   2153.83
 2163.28   1932.66
 2054.47   1700.03
 2422.92   2097.37
 2434.46   2088.02
 2696.19   1950.52
 2422.65   1937.16
 2037.79   1769.77
 2590.27   2039.66
 2276.38   1817.36
 2665.55   1896.70
 1925.13   1604.24
 1969.45   1705.38
 2082.76   1887.37
 2178.35   1845.85
 2333.29   1689.69
 1959.71   1678.77
 2177.15   1931.99
 2319.55   2070.39
 2468.81   2036.94
 2381.32   1736.06
       p2p2       
 KB/s in  KB/s out
 1809.93   1646.50
 2296.75   1966.85
 2177.29   1836.89
 2012.32   1880.27
 2604.63   1695.74
 2151.77   1766.04
 2129.89   1798.25
 2091.30   1854.25
 2353.46   2026.83
 2753.32   2121.51
 2099.03   1893.45
 2226.99   1878.42
 2240.30   1870.35
 2195.53   1958.44
 3000.03   2121.92
 2107.05   1753.26
 1662.86   1504.10
 2121.08   1730.96
 2583.33   2139.18
 2589.60   1953.08
 2111.98   1852.48
 1568.68   1481.99
       p2p2       
 KB/s in  KB/s out
 1715.21   1603.19
 2006.08   1784.18
 2479.13   1777.43
 1967.20   1618.16
 2259.35   1967.45
 2151.72   1873.36
 2426.80   1974.20
 1867.25   1362.26
 1906.75   1675.93
 2289.67   1996.59
 2005.68   1683.12
 1974.76   1784.58
 2345.01   1650.64
 2243.83   1885.71
 1780.46   1600.06
 1995.40   1593.32
 2243.24   1780.52
 2306.78   1636.05
 1995.70   1735.13
 2021.73   1792.90
 2282.64   2063.37
 2124.54   1966.24
       p2p2       
 KB/s in  KB/s out
 2397.53   1571.49
 2020.28   1612.13
 2131.58   1834.40
 2428.03   2035.02
 2333.20   1785.33
 2490.31   1640.82
 2111.56   1687.49
 1785.65   1451.13
 2035.13   1757.49
 2260.86   1860.95
 2490.78   1684.81
 1914.54   1516.72
 1934.46   1699.61
 2104.74   1611.26
 2798.55   2264.24
 2347.08   1733.10
 1706.87   1436.81
 2055.26   1783.66
 2343.28   2054.25
 2292.95   1946.04
 2780.41   2064.73
 1790.58   1522.02
       p2p2       
 KB/s in  KB/s out
 1836.96   1586.15
 1812.08   1526.41
 2160.86   1663.62
 2160.15   1649.88
 2147.52   1717.63
 2081.39   1940.54
 2289.11   1888.10
 2313.56   1764.38
 2482.41   1808.06
 1911.09   1783.50
 2228.26   1861.48
 1983.56   1635.86
 1834.33   1773.35
 2533.97   1893.44
 2202.21   1780.67
 1718.57   1591.02
 2256.16   1848.50
 2461.93   2151.72
 2232.29   1519.84
 2007.35   1712.25
 2086.54   1814.40
 1981.66   1815.78
       p2p2       
 KB/s in  KB/s out
 2290.01   1987.65
 2933.91   1941.76
 1922.41   1602.58
 1956.02   1693.75
 2148.26   1843.64
 2528.14   1842.17
 2305.07   1951.24
 1915.86   1493.84
 1930.04   1588.39
 1979.32   1517.58
 2279.07   1888.83
 2447.42   1764.65
 2155.43   1825.82
 1988.68   1746.22
 1765.06   1469.25
 1925.04   1715.89
 2751.31   1929.26
 2080.28   1803.05
 1862.19   1702.17
 1909.64   1583.99
 2676.41   1876.30
 2038.94   1653.81
       p2p2       
 KB/s in  KB/s out
 2095.57   1881.77
 1963.12   1630.34
 2111.40   1860.70
 2091.17   1691.53
 2552.99   1808.72
 2097.03   1707.92
 1994.76   1752.33
 2171.47   1909.30
 2645.69   1836.63
 1803.69   1715.15
 2181.33   1725.38
 2111.71   1872.49
 1714.20   1529.34
 2207.79   1673.88
 2312.28   1686.62
 1484.24   1217.72
 2120.36   1786.36
 2174.78   1869.19
 2321.08   1911.68
 1781.61   1448.21
 2192.20   1807.56
 1974.98   1670.19
       p2p2       
 KB/s in  KB/s out
 1794.41   1580.14
 1966.45   1620.71
 2168.78   1662.07
 2052.40   1866.91
 1787.01   1637.38
 2196.77   1853.82
 2178.44   1638.29
 2286.98   1684.92
 1708.68   1455.89
 2131.27   1898.23
 2099.19   1835.54
 2504.54   2005.35
 2322.05   1752.47
 2027.41   1631.76
 1893.07   1733.24
 2073.95   1813.07
 2461.51   2099.47
 2361.75   1575.54
 1753.29   1449.50
 1929.34   1747.55
 1832.60   1590.79
 2307.59   1715.45
       p2p2       
 KB/s in  KB/s out
 1981.12   1658.12
 2025.85   1750.09
 2064.72   1859.20
 2022.89   1640.20
 2316.34   1917.39
 2469.49   1895.70
 2047.38   1705.90
 1825.53   1541.08
 2081.94   1697.05
 1741.61   1625.63
 2370.26   1537.52
 2252.71   1800.02
 1925.60   1557.69
 1870.95   1595.41
 2270.26   1691.59
 2129.82   1545.33
 1892.96   1683.54
 1937.94   1748.83
 2068.11   1779.00
 2031.56   1787.91
 2294.89   1668.04
 2231.69   1924.55
       p2p2       
 KB/s in  KB/s out
 2042.41   1718.92
 2210.21   1808.76
 2490.18   1954.48
