       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    689.29    669.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    824.99    840.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    699.34    677.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    809.98    786.63
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    603.87    580.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    845.13    819.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    623.38    656.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    810.58    815.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    731.11    728.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    606.77    618.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    841.84    810.10
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    778.47    760.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    842.52    846.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    650.06    622.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    733.43    715.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    890.32    881.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    698.08    716.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    782.87    723.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    649.38    606.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    742.53    739.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    766.00    760.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    844.63    841.13
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1027.61    961.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    647.18    628.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    733.34    690.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    597.68    563.44
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    799.59    746.44
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    943.66    933.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    749.29    698.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    889.66    820.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    689.77    620.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    844.13    795.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    546.88    462.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.78      0.00      0.00      0.00    762.35    761.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    912.55    867.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    687.98    612.99
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    638.21    602.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    796.63    729.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    787.26    709.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    850.76    845.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    825.41    774.52
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    709.04    626.44
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    743.81    653.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    739.49    713.09
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    883.16    861.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    741.87    722.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    735.52    729.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    660.18    668.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    913.17    897.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    757.18    755.63
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    699.19    693.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    876.13    881.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    629.62    624.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    820.00    820.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    565.78    570.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    837.12    846.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    684.05    662.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    706.94    738.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    597.11    578.84
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    777.11    779.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    744.40    739.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    711.03    756.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    746.63    764.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    821.05    859.99
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    839.75    869.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    780.40    817.54
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    682.96    722.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    642.25    680.76
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    699.92    733.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    945.10   1014.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    687.38    730.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    711.70    722.13
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    772.46    789.06
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    871.48    882.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    696.86    733.35
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    929.01    962.96
