Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

01:49:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:49:32 PM  all    5.23    0.00    3.19    0.00    0.00    0.47    0.00    0.00    0.00   91.11
01:49:33 PM  all    4.70    0.00    2.78    0.00    0.00    0.34    0.00    0.00    0.00   92.18
01:49:34 PM  all    6.05    0.00    3.22    0.00    0.00    0.64    0.00    0.00    0.00   90.09
01:49:35 PM  all    5.84    0.00    3.05    0.00    0.00    0.47    0.00    0.00    0.00   90.64
01:49:36 PM  all    5.82    0.00    3.01    0.00    0.00    0.42    0.00    0.00    0.00   90.74
01:49:37 PM  all    5.84    0.00    3.56    0.00    0.00    0.52    0.00    0.00    0.00   90.09
01:49:38 PM  all    5.36    0.00    2.49    0.00    0.00    0.73    0.00    0.00    0.00   91.42
01:49:39 PM  all    6.45    0.00    5.03    0.00    0.00    1.21    0.00    0.00    0.00   87.31
01:49:40 PM  all    6.78    0.00    3.62    0.00    0.00    0.38    0.00    0.00    0.00   89.22
01:49:41 PM  all    7.07    0.00    3.26    0.00    0.00    0.25    0.00    0.00    0.00   89.42
01:49:42 PM  all    6.95    0.00    3.03    0.00    0.00    0.21    0.00    0.00    0.00   89.82
01:49:43 PM  all    6.44    0.00    3.11    0.00    0.00    0.52    0.00    0.00    0.00   89.94
01:49:44 PM  all    6.64    0.00    2.70    0.00    0.00    0.47    0.00    0.00    0.00   90.18
01:49:45 PM  all    5.97    0.00    2.60    0.00    0.00    0.30    0.00    0.00    0.00   91.13
01:49:46 PM  all    7.98    0.00    3.44    0.00    0.00    0.42    0.00    0.00    0.00   88.16
01:49:47 PM  all    6.35    0.00    2.75    0.00    0.00    0.39    0.00    0.00    0.00   90.52
01:49:48 PM  all    7.02    0.00    2.88    0.00    0.00    0.39    0.00    0.00    0.00   89.71
01:49:49 PM  all    6.80    0.00    3.00    0.00    0.04    0.39    0.00    0.00    0.00   89.77
01:49:50 PM  all    7.51    0.00    3.39    0.00    0.00    0.55    0.00    0.00    0.00   88.55
01:49:51 PM  all    7.62    0.00    3.28    0.00    0.00    0.46    0.00    0.00    0.00   88.63
01:49:52 PM  all    6.74    0.00    2.97    0.00    0.00    0.47    0.00    0.00    0.00   89.83
01:49:53 PM  all    7.71    0.00    2.81    0.00    0.00    0.26    0.00    0.00    0.00   89.22
01:49:54 PM  all    6.81    0.00    3.09    0.00    0.00    0.47    0.00    0.00    0.00   89.64
01:49:55 PM  all    7.25    0.00    2.76    0.00    0.00    0.34    0.00    0.00    0.00   89.65
