       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1137.71   1692.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1071.93   1557.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1362.59   1964.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1259.81   1719.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1163.61   1639.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1312.32   1793.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1086.29   1624.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1329.73   1825.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1105.79   1516.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1191.47   1769.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1173.30   1723.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1288.85   1754.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1036.91   1528.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1055.81   1492.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1230.55   1793.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1130.71   1629.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1300.45   1769.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1248.58   1692.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1190.93   1715.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1065.15   1528.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1041.73   1555.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1077.03   1587.05
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1121.37   1625.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    975.71   1492.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1507.43   2138.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1287.45   1780.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    920.81   1443.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1182.94   1683.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    992.65   1450.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1180.15   1713.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1264.09   1781.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1097.63   1624.99
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    986.48   1469.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1320.54   1802.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1082.08   1568.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1026.76   1563.37
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1229.96   1691.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1091.36   1564.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    947.17   1418.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1080.62   1589.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1189.76   1660.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1010.85   1478.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1332.37   1785.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    942.14   1382.52
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1225.98   1675.14
