       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  38563.83   2251.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  159268.3  11030.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  193656.6  23770.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  44324.44  21630.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  106653.2  10809.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  59649.93  15865.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00  45545.17  27098.62
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  127049.9  28002.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  26413.25  25776.36
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  13042.07   8591.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  78298.62  13462.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.78      0.00      0.00      0.00  100913.7   9943.99
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  258937.7  10257.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  401825.7  16256.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  423741.8  18316.60
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00  176902.3  15326.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  97128.39  17712.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  26213.56    347.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  60291.13   4510.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  39729.58  11027.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  29355.30    366.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  27100.83  11200.75
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  44192.04   9035.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  63868.93   2659.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  231818.9  18424.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  98826.34   4481.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  73194.75  17255.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  189478.6  39539.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  51783.19    331.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  46074.20    398.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  35858.14    333.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  44712.10    359.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  96006.24    461.16
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00  84689.71    504.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  135630.5  36851.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  54832.15  197468.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  76777.12  122932.4
