       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00      0.56      0.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.24      0.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.28      0.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      1.14      0.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      1.43      0.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      2.22      1.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      1.26      0.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      3.09      1.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.52      0.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.06      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.61      0.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      0.90      0.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.57      0.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.78      0.00      0.00      0.00      0.85      0.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.18      0.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      0.52      0.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.18      0.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.18      0.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.35      0.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.06      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.18      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      0.45      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      0.45      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      0.45      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00      0.06      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.39      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00      0.24      0.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.41      0.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.18      0.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.41      0.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      0.45      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00      0.45      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00      0.12      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.66      0.40
