Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

11:18:40 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:18:41 AM  all    1.55    0.00    2.14    0.00    0.00    0.46    0.00    0.00    0.00   95.84
11:18:42 AM  all    1.92    0.00    2.16    0.00    0.00    0.25    0.00    0.00    0.00   95.67
11:18:43 AM  all    1.89    0.00    2.31    0.00    0.00    0.21    0.00    0.00    0.00   95.59
11:18:44 AM  all    1.60    0.00    1.86    0.00    0.00    0.25    0.00    0.00    0.00   96.28
11:18:45 AM  all    1.53    0.00    1.83    0.00    0.00    0.25    0.00    0.00    0.00   96.39
11:18:46 AM  all    1.59    0.00    2.31    0.00    0.00    0.42    0.00    0.00    0.00   95.68
11:18:47 AM  all    1.55    0.00    2.35    0.00    0.00    0.34    0.00    0.00    0.00   95.77
11:18:48 AM  all    1.76    0.00    2.63    0.00    0.00    0.67    0.00    0.00    0.00   94.94
11:18:49 AM  all    1.10    0.00    1.94    0.00    0.00    0.38    0.00    0.00    0.00   96.58
11:18:50 AM  all    1.32    0.00    1.96    0.00    0.00    0.34    0.00    0.00    0.00   96.38
11:18:51 AM  all    1.13    0.00    2.10    0.00    0.00    0.25    0.00    0.00    0.00   96.51
11:18:52 AM  all    1.68    0.00    2.44    0.00    0.00    0.34    0.00    0.00    0.00   95.54
11:18:53 AM  all   20.16    0.00    6.18    0.00    0.00    1.69    0.00    0.00    0.00   71.96
11:18:54 AM  all   70.29    0.00   15.17    0.04    0.00    2.97    0.00    0.00    0.00   11.52
11:18:55 AM  all   69.87    0.00   16.39    0.56    0.00    3.05    0.00    0.00    0.00   10.13
11:18:56 AM  all   32.29    0.00    8.37    5.15    0.00    2.03    0.00    0.00    0.00   52.16
11:18:57 AM  all   77.08    0.00   14.76    1.47    0.00    3.32    0.00    0.00    0.00    3.36
11:18:58 AM  all   58.66    0.00   15.50    3.32    0.00    3.27    0.00    0.00    0.00   19.25
11:18:59 AM  all   77.71    0.00   14.93    1.09    0.00    4.06    0.00    0.00    0.00    2.22
11:19:00 AM  all   78.57    0.00   14.10    1.13    0.00    4.00    0.00    0.00    0.00    2.21
11:19:01 AM  all   78.55    0.00   14.46    1.00    0.00    4.43    0.00    0.00    0.00    1.55
11:19:02 AM  all   77.53    0.00   15.40    1.21    0.00    3.14    0.00    0.00    0.00    2.72
11:19:03 AM  all   70.18    0.00   16.41    3.17    0.00    3.30    0.00    0.00    0.00    6.94
11:19:04 AM  all   77.71    0.00   14.52    0.79    0.00    5.34    0.00    0.00    0.00    1.63
11:19:05 AM  all   79.67    0.00   14.86    0.54    0.00    4.22    0.00    0.00    0.00    0.71
11:19:06 AM  all   79.70    0.00   13.59    1.04    0.00    4.75    0.00    0.00    0.00    0.92
11:19:07 AM  all   78.78    0.00   14.49    1.21    0.00    4.26    0.00    0.00    0.00    1.25
11:19:08 AM  all   78.40    0.00   14.83    1.88    0.00    3.55    0.00    0.00    0.00    1.34
11:19:09 AM  all   80.34    0.00   13.93    0.92    0.00    3.76    0.00    0.00    0.00    1.05
11:19:10 AM  all   79.69    0.00   14.80    0.75    0.00    3.88    0.00    0.00    0.00    0.88
11:19:11 AM  all   79.82    0.00   14.49    0.79    0.00    3.97    0.00    0.00    0.00    0.92
11:19:12 AM  all   78.27    0.00   14.64    1.63    0.00    4.30    0.00    0.00    0.00    1.17
11:19:13 AM  all   79.65    0.00   14.00    1.00    0.00    4.55    0.00    0.00    0.00    0.79
11:19:14 AM  all   79.66    0.00   14.15    1.21    0.00    3.98    0.00    0.00    0.00    1.00
11:19:15 AM  all   80.03    0.00   14.04    1.38    0.00    2.92    0.00    0.00    0.00    1.63
11:19:16 AM  all   78.48    0.00   14.60    1.88    0.00    3.46    0.00    0.00    0.00    1.58
11:19:17 AM  all   76.63    0.00   15.01    2.76    0.00    3.68    0.00    0.00    0.00    1.92
11:19:18 AM  all   76.31    0.00   15.38    2.76    0.00    3.64    0.00    0.00    0.00    1.92
11:19:19 AM  all   79.21    0.00   14.21    1.34    0.04    3.69    0.00    0.00    0.00    1.51
11:19:20 AM  all   64.60    0.00   14.18    8.19    0.00    3.40    0.00    0.00    0.00    9.63
11:19:21 AM  all   79.88    0.00   14.41    1.04    0.00    3.54    0.00    0.00    0.00    1.12
11:19:22 AM  all   79.03    0.00   14.72    1.72    0.00    2.68    0.00    0.00    0.00    1.85
11:19:23 AM  all   77.79    0.00   15.66    1.51    0.00    3.44    0.00    0.00    0.00    1.60
11:19:24 AM  all   79.69    0.00   14.65    1.12    0.00    3.70    0.00    0.00    0.00    0.83
11:19:25 AM  all   78.66    0.00   14.66    1.63    0.00    3.80    0.00    0.00    0.00    1.25
11:19:26 AM  all   78.78    0.00   14.48    1.47    0.00    3.77    0.00    0.00    0.00    1.51
11:19:27 AM  all   78.19    0.00   14.46    2.13    0.00    3.72    0.00    0.00    0.00    1.50
11:19:28 AM  all   77.83    0.00   14.71    2.47    0.00    3.35    0.00    0.00    0.00    1.63
11:19:29 AM  all   78.78    0.00   14.70    1.84    0.00    3.38    0.00    0.00    0.00    1.29
11:19:30 AM  all   77.47    0.00   15.67    1.62    0.00    3.66    0.00    0.00    0.00    1.58
11:19:31 AM  all   76.75    0.00   17.67    1.08    0.00    3.58    0.00    0.00    0.00    0.92
11:19:32 AM  all   75.20    0.00   18.35    1.84    0.00    3.31    0.00    0.00    0.00    1.30
11:19:33 AM  all   75.14    0.00   19.07    1.34    0.00    3.50    0.00    0.00    0.00    0.96
11:19:34 AM  all   73.67    0.00   17.24    3.13    0.00    3.42    0.00    0.00    0.00    2.54
11:19:35 AM  all   69.91    0.00   14.83    6.65    0.00    3.32    0.00    0.00    0.00    5.29
11:19:36 AM  all   77.73    0.00   14.68    1.47    0.00    3.61    0.00    0.00    0.00    2.52
11:19:37 AM  all   74.63    0.00   15.89    2.91    0.00    3.54    0.00    0.00    0.00    3.03
11:19:38 AM  all   76.66    0.00   15.64    1.46    0.00    4.56    0.00    0.00    0.00    1.67
11:19:39 AM  all   75.60    0.00   15.77    3.06    0.00    3.35    0.00    0.00    0.00    2.22
11:19:40 AM  all   76.43    0.00   15.63    2.26    0.00    3.80    0.00    0.00    0.00    1.88
11:19:41 AM  all   74.97    0.00   16.51    2.59    0.00    3.89    0.00    0.00    0.00    2.05
11:19:42 AM  all   76.42    0.00   15.30    2.17    0.00    3.93    0.00    0.00    0.00    2.17
11:19:43 AM  all   58.69    0.00   13.89    9.87    0.00    1.94    0.00    0.00    0.00   15.61
11:19:44 AM  all   78.25    0.00   14.57    1.63    0.00    3.63    0.00    0.00    0.00    1.92
11:19:45 AM  all   78.98    0.00   14.68    1.04    0.00    4.59    0.00    0.00    0.00    0.71
11:19:46 AM  all   79.52    0.00   14.99    0.96    0.00    3.96    0.00    0.00    0.00    0.58
11:19:47 AM  all   77.81    0.00   15.69    1.25    0.00    4.13    0.00    0.00    0.00    1.13
11:19:48 AM  all   71.71    0.00   17.50    4.13    0.00    3.58    0.00    0.00    0.00    3.08
11:19:49 AM  all   63.66    0.00   14.70    8.20    0.00    3.23    0.00    0.00    0.00   10.20
11:19:50 AM  all   46.83    0.00   11.42   13.05    0.00    3.08    0.00    0.00    0.00   25.62
11:19:51 AM  all   75.94    0.00   15.82    1.72    0.00    3.79    0.00    0.00    0.00    2.73
11:19:52 AM  all   76.22    0.00   16.05    1.38    0.00    4.14    0.00    0.00    0.00    2.21
11:19:53 AM  all   78.81    0.00   15.19    0.71    0.00    3.84    0.00    0.00    0.00    1.46
11:19:54 AM  all   77.73    0.00   15.29    1.25    0.00    3.55    0.00    0.00    0.00    2.17
11:19:55 AM  all   77.23    0.00   14.73    1.88    0.00    4.10    0.00    0.00    0.00    2.05
11:19:56 AM  all   75.80    0.00   16.77    1.54    0.00    3.63    0.00    0.00    0.00    2.25
11:19:57 AM  all   75.18    0.00   15.67    2.52    0.00    3.57    0.00    0.00    0.00    3.07
11:19:58 AM  all   78.80    0.00   14.39    1.38    0.00    3.76    0.00    0.00    0.00    1.67
11:19:59 AM  all   76.24    0.00   14.95    2.40    0.00    3.50    0.00    0.00    0.00    2.91
11:20:00 AM  all   73.43    0.00   15.23    2.75    0.00    6.22    0.00    0.00    0.00    2.38
11:20:01 AM  all   75.59    0.00   15.81    2.22    0.00    4.32    0.00    0.00    0.00    2.06
11:20:02 AM  all   78.53    0.00   15.42    0.79    0.00    4.00    0.00    0.00    0.00    1.25
11:20:03 AM  all   78.10    0.00   15.02    1.08    0.00    4.34    0.00    0.00    0.00    1.46
11:20:04 AM  all   78.05    0.00   15.74    1.21    0.00    3.50    0.00    0.00    0.00    1.50
11:20:05 AM  all   79.30    0.00   14.65    1.00    0.00    3.84    0.00    0.00    0.00    1.21
11:20:06 AM  all   79.38    0.00   14.25    1.30    0.00    3.23    0.00    0.00    0.00    1.84
11:20:07 AM  all   77.79    0.00   15.93    0.96    0.00    3.51    0.00    0.00    0.00    1.80
11:20:08 AM  all   71.43    0.00   16.72    3.14    0.00    5.24    0.00    0.00    0.00    3.48
11:20:09 AM  all   70.30    0.00   16.14    4.15    0.00    3.64    0.00    0.00    0.00    5.76
11:20:10 AM  all   64.89    0.00   15.34    6.09    0.00    3.32    0.00    0.00    0.00   10.35
11:20:11 AM  all   77.75    0.00   15.53    1.13    0.00    4.47    0.00    0.00    0.00    1.13
11:20:12 AM  all   78.96    0.00   14.89    1.05    0.00    3.64    0.00    0.00    0.00    1.46
11:20:13 AM  all   77.75    0.00   15.25    1.71    0.00    3.08    0.00    0.00    0.00    2.21
