Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           9.63    0.00    3.55    2.01    0.00   84.80

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb              21.25     7.03    4.94   30.31   294.25  8734.85   512.23     1.49   42.26    8.00   47.85   3.16  11.14
sdc              19.52     6.35    3.21   26.47   146.77  7691.95   528.28     2.34   78.74   13.18   86.69   4.48  13.30
sdd              10.06     6.36    4.67   26.72   299.80  7680.89   508.51     2.30   73.14    9.60   84.25   4.29  13.45
sde              20.89     4.99    3.23   20.93   139.86  6066.62   513.70     1.85   76.74    8.89   87.22   4.34  10.48
sda               0.00     0.66    0.27    0.75     4.47    18.37    44.89     0.00    1.17    2.36    0.75   0.48   0.05
sdf               1.88     6.35    3.91   25.78   213.45  7405.30   513.23     1.46   49.16    7.45   55.48   3.29   9.76
sdg              18.31     6.66    4.08   26.97   224.90  7858.95   520.68     2.28   73.46   11.46   82.83   4.41  13.71
sdi              24.25     5.85    3.54   23.92   202.65  6912.91   518.19     1.44   52.56    8.90   59.02   3.31   9.10
sdj               9.13     6.79    3.86   27.49   222.10  7955.50   521.61     2.47   78.69   12.61   87.97   4.48  14.05
sdk               1.50     6.04    3.31   24.68   172.11  7028.64   514.48     1.28   45.81   11.86   50.36   3.33   9.33
sdl               1.20     6.57    2.93   26.75   148.04  7656.27   525.95     1.40   47.28   10.20   51.34   3.41  10.12
sdm               6.88     5.92    2.61   24.25   117.23  7060.91   534.51     2.06   76.85   12.51   83.77   4.62  12.40
sdh               3.58     6.63    3.72   26.78   200.83  7630.54   513.48     1.42   46.43    9.40   51.57   3.32  10.12
sdn              16.01     6.39    3.72   25.91   245.89  7550.49   526.28     2.24   75.58   10.36   84.95   4.47  13.25
sdp               3.19     6.07    2.93   24.51   165.55  6947.18   518.51     1.04   37.98    7.87   41.58   3.34   9.16
sdq              21.21     4.22    2.66   18.34   157.79  5046.02   495.41     1.19   56.42    7.04   63.58   4.15   8.72
sdr               7.96     4.85    2.38   20.37   136.26  5771.72   519.40     0.78   34.23    6.91   37.43   3.16   7.18
sds              18.67     4.53    3.88   19.17   299.69  5386.01   493.23     1.27   55.16    5.79   65.16   4.27   9.85
sdt              10.12     4.63    1.79   19.44    78.44  5551.46   530.43     1.45   68.40   11.33   73.64   4.66   9.89
sdu               9.21     5.21    2.87   22.36   194.93  6545.75   534.45     1.64   64.90    8.32   72.15   4.50  11.36
sdw               3.25     5.34    2.43   22.50   152.33  6609.31   542.54     1.41   56.75    9.16   61.89   4.33  10.78
sdv              17.37     6.16    3.40   26.56   249.03  7636.51   526.40     1.94   64.73    9.45   71.81   4.29  12.85
sdx               0.44     5.88    2.52   24.92   164.42  7105.06   529.68     0.75   27.41    7.45   29.43   3.07   8.43
sdy               0.43     4.64    1.93   19.70   111.67  5586.76   526.88     1.15   53.31    9.01   57.65   4.33   9.36
sdo               2.92     5.11    2.63   21.48   145.63  6003.79   510.18     1.80   74.84    9.91   82.79   4.54  10.93
sdz               0.01     0.00    0.54    0.00     2.22     0.00     8.14     0.00    0.16    0.16    0.00   0.16   0.01
sdaa              0.01     0.00    0.54    0.00     2.21     0.00     8.14     0.00    0.16    0.16    0.00   0.15   0.01

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.55    0.00    2.68    0.00    0.00   95.76

Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util
sdb               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdc               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdd               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sde               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdf               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdg               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdi               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdj               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdk               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdl               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdm               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdh               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdn               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdp               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
sdq               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00
