       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    567.74    563.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    532.85    545.04
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    549.47    562.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    627.61    628.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    627.97    637.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    581.03    592.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    610.77    605.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    670.62    679.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    589.54    578.64
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    716.79    718.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    563.00    573.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    543.31    527.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  43595.55  13976.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  358698.1  243927.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  419218.3  296728.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  269024.9  217850.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  420462.9  312460.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  318609.3  216468.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  481637.0  332958.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  432108.9  310388.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  497431.6  347481.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  409992.3  311096.4
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  394143.3  292216.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  564518.6  397954.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  533942.3  361663.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  534526.9  365122.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  534190.5  361529.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  482596.2  384018.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  505455.4  345996.6
