       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    689.98    708.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    490.52    494.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    634.83    642.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    679.74    698.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    692.81    697.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    937.40    954.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    703.19    704.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    573.17    567.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    438.58    446.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.33      0.00      0.00    656.19    659.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    593.98    609.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    620.08    624.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    556.68    559.99
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    671.09    684.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    582.33    596.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    669.56    688.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    729.79    725.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    641.71    645.51
