Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

03:53:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
03:54:00 PM  all   47.45    0.00   22.75   12.78    0.00    7.72    0.00    0.00    0.00    9.30
03:54:01 PM  all   53.87    0.00   23.27    8.92    0.00    7.66    0.00    0.00    0.00    6.27
03:54:02 PM  all   26.54    0.00   13.23   25.88    0.00    4.89    0.00    0.00    0.00   29.46
03:54:03 PM  all   24.08    0.00   13.45   25.55    0.00    4.34    0.00    0.00    0.00   32.58
03:54:04 PM  all   33.67    0.00   18.09   16.02    0.00    5.71    0.00    0.00    0.00   26.51
03:54:05 PM  all   46.15    0.00   21.79   11.50    0.00    6.20    0.00    0.00    0.00   14.36
03:54:06 PM  all   33.51    0.00   16.97   19.61    0.00    4.96    0.00    0.00    0.00   24.96
03:54:07 PM  all   13.86    0.00    8.16   24.58    0.00    2.03    0.00    0.00    0.00   51.37
03:54:08 PM  all    6.17    0.00    3.67   22.40    0.00    0.86    0.00    0.00    0.00   66.90
03:54:09 PM  all    6.23    0.00    4.25   22.81    0.00    0.82    0.00    0.00    0.00   65.89
03:54:10 PM  all   14.30    0.00    8.56   16.11    0.00    2.07    0.00    0.00    0.00   58.96
03:54:11 PM  all   17.44    0.00    9.45   11.47    0.00    2.79    0.00    0.00    0.00   58.85
03:54:12 PM  all   36.20    0.00   17.97   12.27    0.00    5.39    0.00    0.00    0.00   28.18
03:54:13 PM  all   45.64    0.00   21.88    9.94    0.00    5.71    0.00    0.00    0.00   16.83
03:54:14 PM  all   35.17    0.00   18.96   16.65    0.00    4.65    0.00    0.00    0.00   24.57
03:54:15 PM  all   34.43    0.00   17.34   14.36    0.00    6.19    0.00    0.00    0.00   27.68
03:54:16 PM  all   25.94    0.00   12.99   24.72    0.00    4.01    0.00    0.00    0.00   32.35
03:54:17 PM  all   33.89    0.00   16.70   21.50    0.00    4.71    0.00    0.00    0.00   23.20
03:54:18 PM  all   47.41    0.00   22.00   11.37    0.00    6.31    0.00    0.00    0.00   12.92
03:54:19 PM  all   23.61    0.00   12.20   27.02    0.00    3.10    0.00    0.00    0.00   34.06
03:54:20 PM  all   23.63    0.00   12.75   28.27    0.00    3.79    0.00    0.00    0.00   31.56
03:54:21 PM  all   27.46    0.00   13.78   25.98    0.00    4.32    0.00    0.00    0.00   28.47
03:54:22 PM  all   31.56    0.00   15.56   22.83    0.00    5.33    0.00    0.00    0.00   24.72
03:54:23 PM  all   21.24    0.00   11.70   30.00    0.00    2.60    0.00    0.00    0.00   34.46
03:54:24 PM  all    9.48    0.00    5.54   26.91    0.00    1.42    0.00    0.00    0.00   56.65
03:54:25 PM  all    3.91    0.00    3.36   18.62    0.00    0.55    0.00    0.00    0.00   73.55
03:54:26 PM  all    4.84    0.00    3.68   21.96    0.00    0.86    0.00    0.00    0.00   68.66
03:54:27 PM  all    9.55    0.00    5.71    6.82    0.00    1.62    0.00    0.00    0.00   76.29
03:54:28 PM  all    6.56    0.00    4.71    4.80    0.00    1.33    0.00    0.00    0.00   82.60
03:54:29 PM  all    3.75    0.00    3.46    0.29    0.00    0.88    0.00    0.00    0.00   91.61
03:54:30 PM  all   13.30    0.00    7.32    0.13    0.00    1.73    0.00    0.00    0.00   77.51
03:54:31 PM  all   30.48    0.00   14.89    6.96    0.00    4.58    0.00    0.00    0.00   43.08
03:54:32 PM  all   36.14    0.00   16.10    9.48    0.00    4.57    0.00    0.00    0.00   33.70
03:54:33 PM  all   49.35    0.00   22.88    8.49    0.00    7.58    0.00    0.00    0.00   11.70
03:54:34 PM  all   52.43    0.00   24.50    6.97    0.00    7.35    0.00    0.00    0.00    8.75
03:54:35 PM  all   47.24    0.00   23.15   12.69    0.00    6.69    0.00    0.00    0.00   10.24
03:54:36 PM  all   31.35    0.00   15.67   25.60    0.00    4.14    0.00    0.00    0.00   23.25
03:54:37 PM  all    9.62    0.00    6.66   26.32    0.00    1.25    0.00    0.00    0.00   56.16
03:54:38 PM  all    6.45    0.00    5.32   20.29    0.00    1.08    0.00    0.00    0.00   66.85
03:54:39 PM  all   25.48    0.00   13.42   18.93    0.00    4.49    0.00    0.00    0.00   37.68
03:54:40 PM  all   33.28    0.00   20.15   16.96    0.00    4.67    0.00    0.00    0.00   24.95
03:54:41 PM  all   36.46    0.00   19.34   17.17    0.00    4.87    0.00    0.00    0.00   22.16
03:54:42 PM  all   28.03    0.00   14.72   17.98    0.00    3.79    0.00    0.00    0.00   35.48
03:54:43 PM  all   15.46    0.00    9.08   15.46    0.00    2.10    0.00    0.00    0.00   57.90
03:54:44 PM  all   29.22    0.00   15.81   15.90    0.00    4.00    0.00    0.00    0.00   35.08
03:54:45 PM  all   30.48    0.00   15.48   12.82    0.00    3.88    0.00    0.00    0.00   37.33
03:54:46 PM  all    6.83    0.00    4.15   15.25    0.00    0.91    0.00    0.00    0.00   72.86
