       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00  846041.9  548282.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  837800.1  635682.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  544929.9  375233.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  541960.2  294985.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.78      0.00      0.00      0.00  646988.6  338258.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  633760.0  475949.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  550125.5  385023.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  382555.7  201536.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  152814.2  70128.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  138774.5  75001.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  324844.3  168201.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  237623.0  155388.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  548306.8  432440.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  678599.0  446407.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  579084.9  483571.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  574407.7  257860.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  557249.5  417157.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  481117.4  330806.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  743003.4  491231.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  578733.8  385184.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  512183.5  319799.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  603456.3  325153.2
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  603708.9  384132.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  371659.5  271850.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  207922.0  162012.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  53589.88  54589.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  111401.6  63294.37
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  113140.2  69081.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  115118.5  73401.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  20621.26  19118.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  169325.8  102639.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  434564.3  226589.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  462694.3  353949.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  723945.0  466754.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.73      0.00      0.00      0.00  749515.1  528259.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  721629.4  525810.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  561884.8  317569.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  176472.1  171485.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  184045.2  120576.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  461994.5  277645.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  538746.2  310369.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  627233.7  433766.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  499084.4  331056.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  277637.5  175667.8
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  450525.9  339727.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  498336.7  388505.4
