Linux 3.13.0-63-generic (dss-storage-3) 	10/27/2015 	_x86_64_	(24 CPU)

02:18:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:18:06 PM  all   30.02    0.00    9.14    0.00    0.00    0.85    0.00    0.00    0.00   59.99
02:18:07 PM  all   29.79    0.00    9.38    0.00    0.00    1.12    0.00    0.00    0.00   59.71
02:18:08 PM  all   27.00    0.00    8.72    0.00    0.00    0.67    0.00    0.00    0.00   63.61
02:18:09 PM  all   30.22    0.00    8.76    0.00    0.00    0.36    0.00    0.00    0.00   60.67
02:18:10 PM  all   28.84    0.00    8.17    0.00    0.00    0.90    0.00    0.00    0.00   62.09
02:18:11 PM  all   25.96    0.00    8.37    0.00    0.00    0.63    0.00    0.00    0.00   65.05
02:18:12 PM  all   25.62    0.00    9.15    0.00    0.00    0.53    0.00    0.00    0.00   64.70
02:18:13 PM  all   25.99    0.00    8.52    0.00    0.00    0.62    0.00    0.00    0.00   64.87
02:18:14 PM  all   27.38    0.00    8.04    0.00    0.00    0.67    0.00    0.00    0.00   63.91
02:18:15 PM  all   25.03    0.00    8.02    0.00    0.00    0.71    0.00    0.00    0.00   66.24
02:18:16 PM  all   22.97    0.00    6.64    0.00    0.00    0.53    0.00    0.00    0.00   69.86
02:18:17 PM  all   25.81    0.00    7.67    0.00    0.00    0.71    0.00    0.00    0.00   65.80
02:18:18 PM  all   24.31    0.00    7.09    0.00    0.00    0.66    0.00    0.00    0.00   67.94
02:18:19 PM  all   25.25    0.00    7.86    0.00    0.04    0.76    0.00    0.00    0.00   66.09
02:18:20 PM  all   24.87    0.00    7.25    0.00    0.00    0.48    0.00    0.00    0.00   67.40
02:18:21 PM  all   26.30    0.00    7.47    0.00    0.00    0.63    0.00    0.00    0.00   65.61
02:18:22 PM  all   24.08    0.00    6.50    0.00    0.00    1.70    0.00    0.00    0.00   67.71
02:18:23 PM  all   28.65    0.00    8.71    0.04    0.00    0.76    0.00    0.00    0.00   61.84
02:18:24 PM  all   29.53    0.00    7.58    0.00    0.00    0.62    0.00    0.00    0.00   62.27
02:18:25 PM  all   26.13    0.00    7.52    0.00    0.00    0.62    0.00    0.00    0.00   65.74
02:18:26 PM  all   28.40    0.00    8.42    0.00    0.00    0.62    0.00    0.00    0.00   62.56
02:18:27 PM  all   29.20    0.00    8.09    0.00    0.00    1.52    0.00    0.00    0.00   61.18
02:18:28 PM  all   25.21    0.00    7.97    0.00    0.00    0.99    0.00    0.00    0.00   65.83
02:18:29 PM  all   23.49    0.00    6.67    0.00    0.00    0.76    0.00    0.00    0.00   69.08
02:18:30 PM  all   24.94    0.00    7.43    0.00    0.00    0.62    0.00    0.00    0.00   67.01
02:18:31 PM  all   26.47    0.00    7.53    0.00    0.00    0.53    0.00    0.00    0.00   65.46
02:18:32 PM  all   29.11    0.00    8.21    0.00    0.00    0.71    0.00    0.00    0.00   61.96
02:18:33 PM  all   26.62    0.00    7.48    0.00    0.00    0.81    0.00    0.00    0.00   65.09
02:18:34 PM  all   24.42    0.00    7.01    0.00    0.00    0.54    0.00    0.00    0.00   68.04
02:18:35 PM  all   24.48    0.00    6.41    0.00    0.00    0.49    0.00    0.00    0.00   68.62
02:18:36 PM  all   27.42    0.00    6.82    0.00    0.00    0.59    0.00    0.00    0.00   65.18
02:18:37 PM  all   27.57    0.00    6.67    0.00    0.00    0.36    0.00    0.00    0.00   65.41
02:18:38 PM  all   25.30    0.00    6.27    0.00    0.00    0.45    0.00    0.00    0.00   67.98
02:18:39 PM  all   25.52    0.00    7.39    0.00    0.00    0.54    0.00    0.00    0.00   66.55
02:18:40 PM  all   26.07    0.00    6.65    0.00    0.00    0.58    0.00    0.00    0.00   66.70
02:18:41 PM  all   28.07    0.00    7.24    0.00    0.00    0.49    0.00    0.00    0.00   64.19
02:18:42 PM  all   21.09    0.00    6.20    0.00    0.00    0.45    0.00    0.00    0.00   72.27
02:18:43 PM  all   29.54    0.00   18.35    0.04    0.00    4.82    0.00    0.00    0.00   47.24
02:18:44 PM  all   25.65    0.00    6.92    0.00    0.00    0.49    0.00    0.00    0.00   66.93
02:18:45 PM  all   21.67    0.00    5.66    0.00    0.00    0.62    0.00    0.00    0.00   72.05
02:18:46 PM  all   26.49    0.00    7.50    0.00    0.00    0.72    0.00    0.00    0.00   65.29
02:18:47 PM  all   24.51    0.00    5.60    0.00    0.00    0.71    0.00    0.00    0.00   69.17
02:18:48 PM  all   23.29    0.00    5.57    0.00    0.00    0.40    0.00    0.00    0.00   70.75
02:18:49 PM  all   24.82    0.00    6.76    0.00    0.00    0.57    0.00    0.00    0.00   67.84
02:18:50 PM  all   23.97    0.00    6.51    0.00    0.00    0.58    0.00    0.00    0.00   68.94
02:18:51 PM  all   25.83    0.00    7.02    0.00    0.00    0.54    0.00    0.00    0.00   66.61
02:18:52 PM  all   29.24    0.00    7.52    0.00    0.00    0.93    0.00    0.00    0.00   62.31
02:18:53 PM  all   32.45    0.00    9.12    0.00    0.00    0.77    0.00    0.00    0.00   57.67
02:18:54 PM  all   28.55    0.00    7.80    0.00    0.00    0.67    0.00    0.00    0.00   62.98
02:18:55 PM  all   26.81    0.00    7.09    0.00    0.00    0.45    0.00    0.00    0.00   65.65
02:18:56 PM  all   24.40    0.00    7.15    0.00    0.00    0.40    0.00    0.00    0.00   68.05
02:18:57 PM  all   23.87    0.00    6.41    0.00    0.00    0.62    0.00    0.00    0.00   69.10
02:18:58 PM  all   25.11    0.00    7.84    0.00    0.00    0.88    0.00    0.00    0.00   66.17
02:18:59 PM  all   24.88    0.00    7.75    0.00    0.00    0.80    0.00    0.00    0.00   66.58
02:19:00 PM  all   24.93    0.00    6.83    0.00    0.00    1.50    0.00    0.00    0.00   66.74
