       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   3041.96   2881.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2996.37   2903.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2834.70   2789.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2873.97   2856.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2974.50   2875.36
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2652.90   2515.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.33      0.00      0.00   2750.60   2416.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   3296.61   3236.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2785.94   2637.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2631.82   2375.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2315.94   2137.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2600.45   2522.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2420.02   2465.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2482.33   2446.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2470.71   2355.84
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2665.09   2352.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2417.05   2213.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2652.03   2727.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2707.26   2739.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2513.48   2307.60
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.33      0.00      0.00   2709.83   2551.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2550.45   2511.78
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2553.41   2682.44
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2371.71   2461.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2379.31   2288.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2548.21   2513.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2637.68   2389.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2713.34   2602.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2563.29   2551.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2405.03   2282.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.78      0.00      0.00      0.00   2611.82   2409.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2487.27   2288.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2518.47   2494.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2579.88   2401.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2438.11   2356.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   3128.07   3081.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2181.11   2158.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1985.26   1921.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2437.72   2277.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2222.71   2236.62
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2614.97   2465.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2212.77   2220.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2122.58   2161.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2458.68   2516.55
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2352.62   2178.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2472.06   2322.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2617.28   2461.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2737.10   2692.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2654.64   2583.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2537.37   2394.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   2432.62   2277.58
