Linux 3.13.0-63-generic (storage-node1) 	10/24/2015 	_x86_64_	(24 CPU)

06:54:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:54:49 PM  all    0.93    0.00    1.09    0.04    0.00    0.17    0.00    0.00    0.00   97.77
06:54:50 PM  all    1.42    0.00    2.10    0.00    0.00    0.29    0.00    0.00    0.00   96.19
06:54:51 PM  all    1.55    0.00    1.68    0.00    0.00    0.34    0.00    0.00    0.00   96.44
06:54:52 PM  all    1.47    0.00    1.38    0.00    0.00    0.17    0.00    0.00    0.00   96.98
06:54:53 PM  all    1.43    0.00    1.56    0.00    0.04    0.25    0.00    0.00    0.00   96.71
06:54:54 PM  all    1.79    0.00    1.71    0.00    0.00    0.29    0.00    0.00    0.00   96.20
06:54:55 PM  all    1.64    0.00    1.51    0.00    0.00    0.17    0.00    0.00    0.00   96.68
06:54:56 PM  all    1.46    0.00    1.63    0.00    0.00    0.42    0.00    0.00    0.00   96.49
06:54:57 PM  all    2.37    0.00    2.49    0.00    0.00    0.46    0.00    0.00    0.00   94.68
06:54:58 PM  all    0.97    0.00    0.80    0.00    0.00    0.08    0.00    0.00    0.00   98.14
06:54:59 PM  all    1.75    0.00    1.92    0.00    0.00    0.25    0.00    0.00    0.00   96.08
06:55:00 PM  all    1.35    0.00    1.43    0.00    0.00    0.29    0.00    0.00    0.00   96.93
06:55:01 PM  all    1.86    0.00    1.69    0.00    0.00    0.25    0.00    0.00    0.00   96.20
06:55:02 PM  all    1.96    0.00    2.08    0.12    0.00    0.37    0.00    0.00    0.00   95.46
06:55:03 PM  all    1.84    0.00    1.84    0.00    0.00    0.33    0.00    0.00    0.00   95.99
06:55:04 PM  all    2.21    0.00    1.79    0.00    0.00    0.33    0.00    0.00    0.00   95.67
06:55:05 PM  all    2.02    0.00    1.93    0.00    0.00    0.29    0.00    0.00    0.00   95.76
06:55:06 PM  all    1.72    0.00    1.55    0.00    0.00    0.29    0.00    0.00    0.00   96.43
06:55:07 PM  all    1.72    0.00    1.59    0.00    0.00    0.25    0.00    0.00    0.00   96.44
06:55:08 PM  all    1.72    0.00    1.76    0.00    0.00    0.25    0.00    0.00    0.00   96.26
06:55:09 PM  all    1.77    0.00    1.90    0.00    0.00    0.30    0.00    0.00    0.00   96.03
06:55:10 PM  all    1.49    0.00    1.44    0.00    0.00    0.21    0.00    0.00    0.00   96.86
06:55:11 PM  all    1.34    0.00    1.34    0.00    0.00    0.17    0.00    0.00    0.00   97.15
06:55:12 PM  all    1.31    0.00    1.22    0.00    0.00    0.13    0.00    0.00    0.00   97.34
06:55:13 PM  all    1.88    0.00    1.67    0.04    0.00    0.25    0.00    0.00    0.00   96.16
06:55:14 PM  all    1.68    0.00    1.60    0.00    0.00    0.38    0.00    0.00    0.00   96.35
06:55:15 PM  all    1.60    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   96.38
06:55:16 PM  all    1.48    0.00    1.52    0.00    0.00    0.17    0.00    0.00    0.00   96.83
06:55:17 PM  all    1.60    0.00    1.43    0.00    0.00    0.17    0.00    0.00    0.00   96.80
06:55:18 PM  all    1.67    0.00    1.59    0.00    0.00    0.21    0.00    0.00    0.00   96.53
06:55:19 PM  all    1.51    0.00    1.18    0.00    0.00    0.34    0.00    0.00    0.00   96.97
06:55:20 PM  all    2.38    0.00    2.29    0.00    0.00    0.33    0.00    0.00    0.00   95.00
06:55:21 PM  all    1.26    0.00    1.26    0.00    0.00    0.17    0.00    0.00    0.00   97.31
06:55:22 PM  all    1.76    0.00    1.72    0.00    0.00    0.29    0.00    0.00    0.00   96.23
06:55:23 PM  all    1.92    0.00    1.59    0.00    0.00    0.29    0.00    0.00    0.00   96.20
06:55:24 PM  all    1.73    0.00    1.60    0.00    0.00    0.25    0.00    0.00    0.00   96.42
06:55:25 PM  all    2.25    0.00    1.88    0.00    0.04    0.33    0.00    0.00    0.00   95.49
06:55:26 PM  all    1.83    0.00    1.67    0.00    0.00    0.29    0.00    0.00    0.00   96.21
06:55:27 PM  all    1.63    0.00    1.38    0.00    0.00    0.25    0.00    0.00    0.00   96.74
06:55:28 PM  all    2.06    0.00    1.94    0.00    0.00    0.29    0.00    0.00    0.00   95.71
06:55:29 PM  all    1.79    0.00    1.37    0.00    0.04    0.29    0.00    0.00    0.00   96.50
06:55:30 PM  all    2.17    0.00    1.63    0.00    0.00    0.21    0.00    0.00    0.00   95.99
06:55:31 PM  all    2.14    0.00    1.97    0.00    0.00    0.29    0.00    0.00    0.00   95.59
06:55:32 PM  all    1.50    0.00    1.79    0.00    0.00    0.17    0.00    0.00    0.00   96.55
06:55:33 PM  all    1.76    0.00    1.68    0.00    0.00    0.25    0.00    0.00    0.00   96.31
06:55:34 PM  all    1.81    0.00    1.27    0.00    0.00    0.17    0.00    0.00    0.00   96.75
06:55:35 PM  all    1.80    0.00    1.89    0.00    0.00    0.34    0.00    0.00    0.00   95.97
06:55:36 PM  all    1.31    0.00    1.31    0.00    0.00    0.13    0.00    0.00    0.00   97.26
06:55:37 PM  all    1.60    0.00    1.34    0.00    0.00    0.42    0.00    0.00    0.00   96.64
06:55:38 PM  all    1.82    0.00    1.44    0.00    0.00    0.17    0.00    0.00    0.00   96.58
06:55:39 PM  all    2.29    0.00    1.83    0.00    0.00    0.58    0.00    0.00    0.00   95.31
06:55:40 PM  all    1.64    0.00    1.18    0.00    0.00    0.21    0.00    0.00    0.00   96.96
06:55:41 PM  all    1.76    0.00    1.34    0.00    0.00    0.21    0.00    0.00    0.00   96.69
06:55:42 PM  all    1.51    0.00    1.34    0.00    0.00    0.13    0.00    0.00    0.00   97.03
06:55:43 PM  all    1.80    0.00    1.93    0.00    0.00    0.50    0.00    0.00    0.00   95.77
06:55:44 PM  all    1.68    0.00    1.68    0.00    0.00    0.21    0.00    0.00    0.00   96.43
06:55:45 PM  all    1.82    0.00    1.69    0.04    0.00    0.13    0.00    0.00    0.00   96.33
06:55:46 PM  all    1.47    0.00    1.30    0.00    0.00    0.17    0.00    0.00    0.00   97.06
06:55:47 PM  all    2.12    0.00    2.16    0.00    0.00    0.37    0.00    0.00    0.00   95.34
06:55:48 PM  all    1.23    0.00    1.06    0.00    0.00    0.21    0.00    0.00    0.00   97.50
06:55:49 PM  all    1.94    0.00    1.81    0.00    0.00    0.42    0.00    0.00    0.00   95.83
06:55:50 PM  all    1.68    0.00    1.63    0.00    0.00    0.25    0.00    0.00    0.00   96.44
06:55:51 PM  all    1.34    0.00    1.59    0.00    0.00    0.25    0.00    0.00    0.00   96.81
06:55:52 PM  all    0.67    0.00    1.01    0.00    0.00    0.13    0.00    0.00    0.00   98.19
06:55:53 PM  all    1.34    0.00    1.84    0.00    0.04    0.33    0.00    0.00    0.00   96.45
06:55:54 PM  all    3.22    0.00    1.84    0.00    0.00    0.21    0.00    0.00    0.00   94.73
06:55:55 PM  all    3.90    0.00    2.14    0.00    0.00    0.38    0.00    0.00    0.00   93.58
06:55:56 PM  all    3.12    0.00    1.35    0.00    0.00    0.21    0.00    0.00    0.00   95.32
06:55:57 PM  all    4.27    0.00    2.09    0.00    0.00    0.33    0.00    0.00    0.00   93.31
06:55:58 PM  all    3.21    0.00    2.07    0.00    0.00    0.17    0.00    0.00    0.00   94.55
06:55:59 PM  all    3.27    0.00    1.68    0.00    0.00    0.21    0.00    0.00    0.00   94.85
06:56:00 PM  all    3.45    0.00    1.81    0.00    0.00    0.29    0.00    0.00    0.00   94.44
06:56:01 PM  all    3.25    0.00    1.56    0.00    0.00    0.08    0.00    0.00    0.00   95.11
06:56:02 PM  all    3.41    0.00    1.56    0.00    0.00    0.30    0.00    0.00    0.00   94.73
06:56:03 PM  all    3.53    0.00    1.47    0.00    0.00    0.29    0.00    0.00    0.00   94.71
06:56:04 PM  all    3.23    0.00    1.59    0.00    0.00    0.25    0.00    0.00    0.00   94.93
