       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    386.79    405.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    459.48    438.37
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    492.77    511.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    396.55    478.10
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    502.11    532.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    451.71    517.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    444.23    521.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    516.78    613.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    566.79    648.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    363.32    467.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    415.94    512.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    439.10    526.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    546.37    624.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    507.74    586.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    466.14    495.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.33      0.00      0.00    455.95    555.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    535.95    609.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    552.44    580.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.33      0.00      0.00    395.36    474.31
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    444.54    548.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    708.52    798.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    578.74    659.47
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    316.15    379.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.33      0.00      0.00    475.41    506.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    356.02    498.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    518.93    604.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    468.27    544.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    527.23    556.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    508.71    584.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    369.58    489.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    424.65    513.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    569.02    604.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.57      0.00      0.00      0.00    414.22    465.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    498.02    584.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    562.70    665.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.33      0.00      0.00    554.95    651.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    478.84    554.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    421.34    518.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    354.40    449.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    635.63    749.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    319.33    326.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    469.67    485.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    602.91    687.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    369.40    451.30
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    495.28    600.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    472.79    572.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    542.03    621.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    463.77    545.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    427.02    510.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    556.56    587.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    515.01    613.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    503.88    579.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    471.50    502.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    339.67    403.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    522.52    633.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    524.50    562.35
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.33      0.00      0.00    545.17    616.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    401.63    484.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.57      0.00      0.00      0.00    593.09    655.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    501.96    537.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    557.45    663.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    612.82    697.68
