Linux 3.13.0-63-generic (storage-node1) 	10/26/2015 	_x86_64_	(24 CPU)

06:18:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:18:24 PM  all    6.76    0.00    2.82    0.17    0.00    0.51    0.00    0.00    0.00   89.74
06:18:25 PM  all    4.93    0.00    1.84    0.00    0.00    0.34    0.00    0.00    0.00   92.88
06:18:26 PM  all    5.80    0.00    2.43    0.04    0.00    0.51    0.00    0.00    0.00   91.21
06:18:27 PM  all    6.14    0.00    1.85    0.04    0.00    0.47    0.00    0.00    0.00   91.50
06:18:28 PM  all    5.81    0.00    2.24    0.00    0.00    0.39    0.00    0.00    0.00   91.56
06:18:29 PM  all    6.55    0.00    2.33    0.04    0.00    0.43    0.00    0.00    0.00   90.64
06:18:30 PM  all    5.78    0.00    1.93    0.00    0.00    0.34    0.00    0.00    0.00   91.96
06:18:31 PM  all    6.74    0.00    2.15    0.00    0.00    0.47    0.00    0.00    0.00   90.64
06:18:32 PM  all    6.73    0.00    3.54    0.00    0.00    0.60    0.00    0.00    0.00   89.13
06:18:33 PM  all    6.60    0.00    2.23    0.00    0.00    0.69    0.00    0.00    0.00   90.49
06:18:34 PM  all    6.29    0.00    2.16    0.04    0.00    0.34    0.00    0.00    0.00   91.16
06:18:35 PM  all    5.90    0.00    2.31    0.00    0.00    0.47    0.00    0.00    0.00   91.32
06:18:36 PM  all    5.03    0.00    2.41    0.00    0.00    0.39    0.00    0.00    0.00   92.18
06:18:37 PM  all    6.72    0.00    2.11    0.00    0.04    0.56    0.00    0.00    0.00   90.57
06:18:38 PM  all    6.35    0.00    1.93    0.00    0.00    0.30    0.00    0.00    0.00   91.42
06:18:39 PM  all    6.06    0.00    2.49    0.04    0.00    0.47    0.00    0.00    0.00   90.93
06:18:40 PM  all    6.37    0.00    2.48    0.00    0.00    0.38    0.00    0.00    0.00   90.77
06:18:41 PM  all    6.81    0.00    2.78    0.04    0.00    0.39    0.00    0.00    0.00   89.97
06:18:42 PM  all    6.18    0.00    2.02    0.00    0.00    0.39    0.00    0.00    0.00   91.42
06:18:43 PM  all    6.93    0.00    2.17    0.00    0.00    0.55    0.00    0.00    0.00   90.35
06:18:44 PM  all    6.20    0.00    2.35    0.04    0.00    0.13    0.00    0.00    0.00   91.27
06:18:45 PM  all    5.96    0.00    1.97    0.00    0.00    0.26    0.00    0.00    0.00   91.82
06:18:46 PM  all    6.10    0.00    2.62    0.00    0.00    0.47    0.00    0.00    0.00   90.81
06:18:47 PM  all    6.23    0.00    2.60    0.00    0.00    0.56    0.00    0.00    0.00   90.61
06:18:48 PM  all    4.58    0.00    1.71    0.00    0.00    0.30    0.00    0.00    0.00   93.41
06:18:49 PM  all    5.34    0.00    2.05    0.00    0.00    0.34    0.00    0.00    0.00   92.26
06:18:50 PM  all    4.38    0.00    1.49    0.00    0.00    0.26    0.00    0.00    0.00   93.87
06:18:51 PM  all    6.40    0.00    3.94    0.00    0.00    0.76    0.00    0.00    0.00   88.90
06:18:52 PM  all    4.40    0.00    1.75    0.00    0.00    0.51    0.00    0.00    0.00   93.33
06:18:53 PM  all    4.29    0.00    2.12    0.00    0.00    0.55    0.00    0.00    0.00   93.04
06:18:54 PM  all    4.97    0.00    1.59    0.00    0.00    0.43    0.00    0.00    0.00   93.01
06:18:55 PM  all    5.75    0.00    2.60    0.00    0.04    0.47    0.00    0.00    0.00   91.14
06:18:56 PM  all    4.53    0.00    2.31    0.00    0.00    0.38    0.00    0.00    0.00   92.78
06:18:57 PM  all    5.20    0.00    1.79    0.04    0.00    0.38    0.00    0.00    0.00   92.58
06:18:58 PM  all    4.90    0.00    2.19    0.00    0.00    0.52    0.00    0.00    0.00   92.40
06:18:59 PM  all    6.35    0.00    1.80    0.00    0.00    0.56    0.00    0.00    0.00   91.30
06:19:00 PM  all    6.28    0.00    2.72    0.00    0.00    0.42    0.00    0.00    0.00   90.57
06:19:01 PM  all    4.89    0.00    1.84    0.00    0.00    0.17    0.00    0.00    0.00   93.10
06:19:02 PM  all    5.48    0.00    1.93    0.00    0.00    0.39    0.00    0.00    0.00   92.21
06:19:03 PM  all    6.93    0.00    1.88    0.00    0.00    0.43    0.00    0.00    0.00   90.77
06:19:04 PM  all    7.47    0.00    2.48    0.00    0.00    0.96    0.00    0.00    0.00   89.10
06:19:05 PM  all    5.67    0.00    2.10    0.00    0.00    0.43    0.00    0.00    0.00   91.80
06:19:06 PM  all    5.32    0.00    1.89    0.00    0.00    0.56    0.00    0.00    0.00   92.24
06:19:07 PM  all    5.91    0.00    2.18    0.00    0.00    0.51    0.00    0.00    0.00   91.39
06:19:08 PM  all    5.88    0.00    2.58    0.00    0.00    0.56    0.00    0.00    0.00   90.98
06:19:09 PM  all    6.93    0.00    2.22    0.00    0.00    0.26    0.00    0.00    0.00   90.59
06:19:10 PM  all    7.23    0.00    2.01    0.00    0.00    0.39    0.00    0.00    0.00   90.37
06:19:11 PM  all    7.39    0.00    1.78    0.00    0.00    0.38    0.00    0.00    0.00   90.45
06:19:12 PM  all    7.34    0.00    2.15    0.00    0.00    0.43    0.00    0.00    0.00   90.08
06:19:13 PM  all    7.14    0.00    2.39    0.00    0.00    0.60    0.00    0.00    0.00   89.87
06:19:14 PM  all    5.96    0.00    1.84    0.00    0.00    0.34    0.00    0.00    0.00   91.86
06:19:15 PM  all    7.14    0.00    2.57    0.00    0.00    0.34    0.00    0.00    0.00   89.95
06:19:16 PM  all    6.98    0.00    2.48    0.00    0.00    0.39    0.00    0.00    0.00   90.15
06:19:17 PM  all    6.54    0.00    2.56    0.00    0.04    0.35    0.00    0.00    0.00   90.52
06:19:18 PM  all    7.58    0.00    2.07    0.00    0.00    0.39    0.00    0.00    0.00   89.96
06:19:19 PM  all    5.94    0.00    1.84    0.00    0.00    0.47    0.00    0.00    0.00   91.76
06:19:20 PM  all    7.41    0.00    2.21    0.00    0.00    0.38    0.00    0.00    0.00   90.00
06:19:21 PM  all    6.34    0.00    2.17    0.00    0.00    0.43    0.00    0.00    0.00   91.07
06:19:22 PM  all    6.70    0.00    1.66    0.00    0.00    0.38    0.00    0.00    0.00   91.26
06:19:23 PM  all    6.38    0.00    1.47    0.00    0.00    0.22    0.00    0.00    0.00   91.94
06:19:24 PM  all    8.11    0.00    2.53    0.00    0.00    0.60    0.00    0.00    0.00   88.76
06:19:25 PM  all    7.08    0.00    1.81    0.00    0.00    0.26    0.00    0.00    0.00   90.85
06:19:26 PM  all    6.94    0.00    2.54    0.00    0.00    0.43    0.00    0.00    0.00   90.09
06:19:27 PM  all    7.45    0.00    2.20    0.00    0.00    0.34    0.00    0.00    0.00   90.01
06:19:28 PM  all    6.74    0.00    2.33    0.00    0.00    0.30    0.00    0.00    0.00   90.62
06:19:29 PM  all    7.15    0.00    2.17    0.00    0.00    0.56    0.00    0.00    0.00   90.12
06:19:30 PM  all    7.20    0.00    2.03    0.04    0.00    0.43    0.00    0.00    0.00   90.30
06:19:31 PM  all    7.20    0.00    2.11    0.00    0.00    0.52    0.00    0.00    0.00   90.16
06:19:32 PM  all    5.93    0.00    2.51    0.00    0.00    0.43    0.00    0.00    0.00   91.13
06:19:33 PM  all    6.97    0.00    2.37    0.00    0.00    0.56    0.00    0.00    0.00   90.11
06:19:34 PM  all    7.38    0.00    3.30    0.00    0.00    0.39    0.00    0.00    0.00   88.93
