       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    906.13   1198.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    814.70    852.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    726.90    911.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    653.40    912.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    804.89    796.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    801.97   1093.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    603.40    883.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    726.06    906.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    949.90   1185.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    783.87   1031.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    766.40   1099.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    774.53    968.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    755.19    926.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    817.63    817.37
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    613.54    930.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    911.69   1248.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    710.85    973.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    822.77   1044.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    777.39   1092.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    705.20    999.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    752.62    764.10
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    761.96   1114.35
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    888.50   1131.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    825.44   1010.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    658.74    868.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    712.19    974.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    592.03    829.60
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    887.91   1130.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1026.11   1222.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    670.83    870.26
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    535.45    798.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    775.53    928.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    748.45    796.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    540.35    799.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    875.91   1109.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    690.49   1096.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    737.12    924.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    615.07    817.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    685.59    852.62
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    696.05   1022.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    990.15   1368.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    732.65    862.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    677.08    919.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    763.80    817.11
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    880.06   1082.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    720.54   1036.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    730.03   1149.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    620.04   1022.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    740.45   1009.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    822.27   1205.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    670.32   1095.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    712.07    791.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    758.27    979.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    860.10   1156.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1022.58   1457.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    619.97   1241.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    732.64   1082.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    627.63   1005.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    602.54   1005.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    690.13   1073.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    924.12   1310.52
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    651.20    806.07
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    771.47    957.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    792.58   1015.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    783.38   1007.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    917.07   1321.58
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    737.16   1007.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    786.57   1006.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    923.57   1197.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    805.29   1147.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    963.85   1355.60
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    620.54    835.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    757.75    898.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    986.80   1156.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    835.44   1220.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    816.24   1298.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    835.58   1113.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    848.56   1108.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    780.66   1105.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1000.34   1368.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    839.83   1265.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1162.58   1421.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    635.45    920.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1029.02   1157.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    599.15    937.06
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    865.34   1329.01
