Linux 3.13.0-63-generic (storage-node1) 	10/26/2015 	_x86_64_	(24 CPU)

12:39:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:39:11 PM  all    3.90    0.00    2.33    0.51    0.00    0.38    0.00    0.00    0.00   92.88
12:39:12 PM  all    2.88    0.00    2.41    0.34    0.00    0.38    0.00    0.00    0.00   93.99
12:39:13 PM  all    6.08    0.00    4.06    0.04    0.00    0.17    0.00    0.00    0.00   89.65
12:39:14 PM  all    2.30    0.00    2.00    0.04    0.00    0.34    0.00    0.00    0.00   95.32
12:39:15 PM  all    2.34    0.00    1.91    0.09    0.00    0.17    0.00    0.00    0.00   95.49
12:39:16 PM  all    1.56    0.00    1.65    0.04    0.00    0.17    0.00    0.00    0.00   96.58
12:39:17 PM  all   19.20    0.00    4.51    0.08    0.00    0.76    0.00    0.00    0.00   75.44
12:39:18 PM  all   21.55    0.00    5.90    0.13    0.00    0.81    0.00    0.00    0.00   71.61
12:39:19 PM  all   58.24    0.00   13.77    5.55    0.00    3.10    0.00    0.00    0.00   19.33
12:39:20 PM  all   50.37    0.00   14.95    9.59    0.00    3.40    0.00    0.00    0.00   21.70
12:39:21 PM  all   36.86    0.00   10.98   13.90    0.00    2.22    0.00    0.00    0.00   36.03
12:39:22 PM  all   22.47    0.00    7.87   16.55    0.00    1.21    0.00    0.00    0.00   51.90
12:39:23 PM  all   18.52    0.00    6.16   11.12    0.04    0.98    0.00    0.00    0.00   63.17
12:39:24 PM  all   12.85    0.00    5.31    9.34    0.00    1.16    0.00    0.00    0.00   71.35
12:39:25 PM  all    9.66    0.00    5.09    4.35    0.00    0.43    0.00    0.00    0.00   80.47
12:39:26 PM  all    8.94    0.00    4.32    3.64    0.00    0.64    0.00    0.00    0.00   82.46
12:39:27 PM  all    7.99    0.00    4.16    4.50    0.00    0.50    0.00    0.00    0.00   82.84
12:39:28 PM  all    6.49    0.00    3.01    5.64    0.00    0.30    0.00    0.00    0.00   84.56
12:39:29 PM  all    7.17    0.00    3.73    3.35    0.00    0.64    0.00    0.00    0.00   85.11
12:39:30 PM  all   10.14    0.00    4.35    0.26    0.00    0.55    0.00    0.00    0.00   84.70
12:39:31 PM  all   10.72    0.00    4.04    0.04    0.00    0.64    0.00    0.00    0.00   84.55
12:39:32 PM  all    9.07    0.00    4.11    0.34    0.00    0.42    0.00    0.00    0.00   86.05
12:39:33 PM  all    2.57    0.00    2.52    0.00    0.00    0.29    0.00    0.00    0.00   94.62
12:39:34 PM  all   10.62    0.00    4.57    0.17    0.00    0.42    0.00    0.00    0.00   84.21
12:39:35 PM  all    7.09    0.00    3.58    0.04    0.04    0.38    0.00    0.00    0.00   88.87
12:39:36 PM  all    2.58    0.00    2.41    0.25    0.00    0.25    0.00    0.00    0.00   94.50
12:39:37 PM  all   12.08    0.00    4.48    0.04    0.00    0.34    0.00    0.00    0.00   83.05
12:39:38 PM  all    5.00    0.00    2.35    0.00    0.00    0.34    0.00    0.00    0.00   92.30
12:39:39 PM  all   13.54    0.00    5.64    0.09    0.00    0.60    0.00    0.00    0.00   80.15
12:39:40 PM  all    8.31    0.00    3.92    0.00    0.00    0.17    0.00    0.00    0.00   87.61
12:39:41 PM  all    7.97    0.00    3.82    0.00    0.00    0.51    0.00    0.00    0.00   87.70
12:39:42 PM  all   10.06    0.00    3.54    0.43    0.00    0.43    0.00    0.00    0.00   85.56
12:39:43 PM  all   14.24    0.00    3.85    0.08    0.00    0.25    0.00    0.00    0.00   81.57
12:39:44 PM  all   21.59    0.00    4.99    0.00    0.00    0.47    0.00    0.00    0.00   72.95
12:39:45 PM  all   10.94    0.00    5.30    0.85    0.00    0.51    0.00    0.00    0.00   82.40
12:39:46 PM  all   12.60    0.00    5.03    0.34    0.00    0.73    0.00    0.00    0.00   81.29
12:39:47 PM  all    3.77    0.00    2.05    0.51    0.00    0.09    0.00    0.00    0.00   93.58
12:39:48 PM  all   11.22    0.00    4.48    0.04    0.00    0.43    0.00    0.00    0.00   83.83
12:39:49 PM  all   11.78    0.00    4.95    0.21    0.00    0.51    0.00    0.00    0.00   82.54
12:39:50 PM  all    3.34    0.00    2.62    0.55    0.00    0.30    0.00    0.00    0.00   93.20
12:39:51 PM  all    2.29    0.00    2.04    0.08    0.00    0.13    0.00    0.00    0.00   95.46
12:39:52 PM  all   28.15    0.00    6.96    0.92    0.00    1.43    0.00    0.00    0.00   62.54
12:39:53 PM  all   49.32    0.00    8.89    0.89    0.00    1.69    0.00    0.00    0.00   39.20
12:39:54 PM  all   51.28    0.00   15.49    6.03    0.00    3.83    0.00    0.00    0.00   23.37
12:39:55 PM  all   39.35    0.00   10.33   11.24    0.00    1.48    0.00    0.00    0.00   37.61
12:39:56 PM  all   23.34    0.00    8.23    8.36    0.04    1.92    0.00    0.00    0.00   58.10
12:39:57 PM  all   20.03    0.00    7.69    7.30    0.00    1.30    0.00    0.00    0.00   63.68
12:39:58 PM  all   15.20    0.00    6.05    4.81    0.00    1.12    0.00    0.00    0.00   72.82
12:39:59 PM  all   11.51    0.00    5.17    8.06    0.00    0.65    0.00    0.00    0.00   74.60
12:40:00 PM  all   12.27    0.00    4.97    2.59    0.00    0.89    0.00    0.00    0.00   79.28
12:40:01 PM  all    8.93    0.00    3.99    5.80    0.00    0.56    0.00    0.00    0.00   80.71
12:40:02 PM  all    9.34    0.00    3.33    3.88    0.00    0.17    0.00    0.00    0.00   83.28
12:40:03 PM  all    9.39    0.00    4.25    0.21    0.00    0.46    0.00    0.00    0.00   85.68
12:40:04 PM  all   11.49    0.00    4.62    0.89    0.00    0.89    0.00    0.00    0.00   82.11
12:40:05 PM  all   12.11    0.00    5.10    0.34    0.00    0.93    0.00    0.00    0.00   81.52
12:40:06 PM  all   10.09    0.00    4.08    0.13    0.00    0.38    0.00    0.00    0.00   85.33
12:40:07 PM  all    9.57    0.00    4.27    1.07    0.00    0.34    0.00    0.00    0.00   84.74
12:40:08 PM  all    8.83    0.00    4.46    0.51    0.00    0.51    0.00    0.00    0.00   85.69
12:40:09 PM  all   10.88    0.00    5.23    0.51    0.00    1.15    0.00    0.00    0.00   82.23
12:40:10 PM  all   10.20    0.00    4.04    2.85    0.00    0.59    0.00    0.00    0.00   82.33
12:40:11 PM  all   11.94    0.00    4.45    1.50    0.00    0.43    0.00    0.00    0.00   81.69
12:40:12 PM  all   11.37    0.00    4.76    0.43    0.00    0.60    0.00    0.00    0.00   82.84
12:40:13 PM  all   10.85    0.00    4.96    1.32    0.00    0.64    0.00    0.00    0.00   82.23
12:40:14 PM  all   11.79    0.00    5.66    1.76    0.00    1.20    0.00    0.00    0.00   79.59
12:40:15 PM  all    9.00    0.00    3.41    2.22    0.00    0.26    0.00    0.00    0.00   85.12
12:40:16 PM  all    8.94    0.00    4.11    1.50    0.00    0.38    0.00    0.00    0.00   85.07
12:40:17 PM  all    4.76    0.00    2.63    0.81    0.00    0.25    0.00    0.00    0.00   91.55
12:40:18 PM  all   15.38    0.00    5.60    0.43    0.00    0.78    0.00    0.00    0.00   77.81
12:40:19 PM  all   12.46    0.00    5.57    2.64    0.00    1.19    0.00    0.00    0.00   78.14
12:40:20 PM  all   14.78    0.00    5.73    1.85    0.00    0.52    0.00    0.00    0.00   77.11
12:40:21 PM  all    9.80    0.00    5.76    1.20    0.00    1.03    0.00    0.00    0.00   82.21
12:40:22 PM  all    9.18    0.00    5.45    1.11    0.00    1.03    0.00    0.00    0.00   83.23
12:40:23 PM  all    4.18    0.00    3.00    1.65    0.00    0.34    0.00    0.00    0.00   90.83
12:40:24 PM  all   15.59    0.00    6.95    0.21    0.00    0.68    0.00    0.00    0.00   76.57
12:40:25 PM  all   10.48    0.00    4.15    0.90    0.00    0.34    0.00    0.00    0.00   84.12
12:40:26 PM  all    2.56    0.00    2.61    0.67    0.00    0.42    0.00    0.00    0.00   93.74
12:40:27 PM  all    4.87    0.00    3.41    0.04    0.00    0.43    0.00    0.00    0.00   91.25
12:40:28 PM  all   13.99    0.00    6.08    0.86    0.00    0.86    0.00    0.00    0.00   78.22
12:40:29 PM  all   11.22    0.00    5.70    0.17    0.00    0.72    0.00    0.00    0.00   82.19
12:40:30 PM  all   14.02    0.00    5.09    1.41    0.00    0.60    0.00    0.00    0.00   78.88
12:40:31 PM  all   28.73    0.00    7.85    0.08    0.00    1.18    0.00    0.00    0.00   62.16
12:40:32 PM  all   46.60    0.00   13.45    3.55    0.00    3.37    0.00    0.00    0.00   33.02
12:40:33 PM  all   48.56    0.00   20.01    7.19    0.00    5.36    0.00    0.00    0.00   18.88
12:40:34 PM  all   38.27    0.00   12.83   15.37    0.00    2.84    0.00    0.00    0.00   30.69
12:40:35 PM  all   24.37    0.00    7.62   15.97    0.00    1.13    0.00    0.00    0.00   50.91
12:40:36 PM  all   24.34    0.00    7.81    7.38    0.00    1.26    0.00    0.00    0.00   59.22
12:40:37 PM  all   11.25    0.00    4.71    7.92    0.00    0.68    0.00    0.00    0.00   75.44
12:40:38 PM  all   10.18    0.00    3.75    2.77    0.00    0.38    0.00    0.00    0.00   82.91
12:40:39 PM  all    9.40    0.00    3.77    1.74    0.00    0.51    0.00    0.00    0.00   84.59
12:40:40 PM  all   11.01    0.00    4.43    0.30    0.00    0.84    0.00    0.00    0.00   83.42
12:40:41 PM  all   11.88    0.00    4.76    0.59    0.00    0.84    0.00    0.00    0.00   81.93
12:40:42 PM  all   11.46    0.00    4.16    0.60    0.00    0.86    0.00    0.00    0.00   82.91
12:40:43 PM  all   11.21    0.00    4.69    0.94    0.00    0.64    0.00    0.00    0.00   82.52
12:40:44 PM  all   11.85    0.00    4.72    1.44    0.00    0.51    0.00    0.00    0.00   81.48
12:40:45 PM  all    9.95    0.00    4.04    0.72    0.00    0.47    0.00    0.00    0.00   84.81
12:40:46 PM  all   11.89    0.00    4.66    1.92    0.00    0.51    0.00    0.00    0.00   81.01
12:40:47 PM  all   15.22    0.00    5.62    0.61    0.00    0.78    0.00    0.00    0.00   77.78
12:40:48 PM  all   13.80    0.00    5.45    1.96    0.00    1.02    0.00    0.00    0.00   77.77
12:40:49 PM  all    7.77    0.00    3.73    2.19    0.00    0.73    0.00    0.00    0.00   85.58
12:40:50 PM  all   11.58    0.00    5.08    0.94    0.00    1.03    0.00    0.00    0.00   81.38
12:40:51 PM  all    5.41    0.00    3.03    1.15    0.00    0.64    0.00    0.00    0.00   89.77
12:40:52 PM  all   11.24    0.00    5.05    1.01    0.00    0.80    0.00    0.00    0.00   81.89
12:40:53 PM  all   10.79    0.00    4.90    1.85    0.00    0.60    0.00    0.00    0.00   81.87
12:40:54 PM  all    3.45    0.00    3.11    1.72    0.00    0.50    0.00    0.00    0.00   91.21
12:40:55 PM  all    4.47    0.00    2.51    0.89    0.00    0.47    0.00    0.00    0.00   91.65
12:40:56 PM  all   12.80    0.00    4.78    0.82    0.00    0.47    0.00    0.00    0.00   81.12
12:40:57 PM  all    8.54    0.00    3.27    2.17    0.00    0.38    0.00    0.00    0.00   85.64
12:40:58 PM  all    9.78    0.00    4.34    0.00    0.00    0.46    0.00    0.00    0.00   85.42
12:40:59 PM  all   16.41    0.00    5.97    0.81    0.00    0.64    0.00    0.00    0.00   76.17
12:41:00 PM  all   14.22    0.00    5.70    0.77    0.00    0.60    0.00    0.00    0.00   78.72
12:41:01 PM  all   14.41    0.00    4.59    1.57    0.00    0.59    0.00    0.00    0.00   78.84
12:41:02 PM  all   16.77    0.00    8.21    2.22    0.00    1.26    0.00    0.00    0.00   71.55
12:41:03 PM  all   15.72    0.00    6.74    4.90    0.00    1.05    0.00    0.00    0.00   71.58
12:41:04 PM  all   18.48    0.00    9.06    6.07    0.00    3.57    0.00    0.00    0.00   62.83
12:41:05 PM  all   21.79    0.00   12.49    6.87    0.00    2.51    0.00    0.00    0.00   56.33
12:41:06 PM  all    7.82    0.00    3.45    5.05    0.00    0.42    0.00    0.00    0.00   83.26
12:41:07 PM  all    6.82    0.00    3.98    6.57    0.00    0.55    0.00    0.00    0.00   82.08
12:41:08 PM  all   32.46    0.00    7.17    1.93    0.00    1.20    0.00    0.00    0.00   57.23
12:41:09 PM  all   62.78    0.00   14.58    1.14    0.00    2.66    0.00    0.00    0.00   18.84
12:41:10 PM  all   28.93    0.00    9.10    7.61    0.00    1.40    0.00    0.00    0.00   52.95
12:41:11 PM  all   18.94    0.00    6.37   10.98    0.00    0.95    0.00    0.00    0.00   62.76
12:41:12 PM  all   18.51    0.00    8.36   16.90    0.00    1.83    0.00    0.00    0.00   54.40
12:41:13 PM  all   19.90    0.00    9.82   17.16    0.00    2.92    0.00    0.00    0.00   50.20
12:41:14 PM  all   40.75    0.00   11.94   20.00    0.00    2.38    0.00    0.00    0.00   24.93
12:41:15 PM  all   30.71    0.00   11.03   16.48    0.00    1.49    0.00    0.00    0.00   40.29
12:41:16 PM  all   26.17    0.00    7.17   13.83    0.00    0.96    0.00    0.00    0.00   51.87
12:41:17 PM  all   17.31    0.00    6.75    6.62    0.00    0.69    0.00    0.00    0.00   68.63
12:41:18 PM  all   14.03    0.00    5.65    6.43    0.00    0.69    0.00    0.00    0.00   73.20
12:41:19 PM  all   11.64    0.00    4.89    6.54    0.00    1.19    0.00    0.00    0.00   75.73
12:41:20 PM  all    7.29    0.00    3.15    8.48    0.00    0.43    0.00    0.00    0.00   80.65
12:41:21 PM  all   11.93    0.00    4.68    4.59    0.00    1.10    0.00    0.00    0.00   77.71
12:41:22 PM  all   11.23    0.00    4.17    1.91    0.00    1.23    0.00    0.00    0.00   81.45
12:41:23 PM  all   12.15    0.00    4.90    1.96    0.00    0.68    0.00    0.00    0.00   80.31
12:41:24 PM  all   13.89    0.00    4.12    0.51    0.00    0.59    0.00    0.00    0.00   80.89
12:41:25 PM  all   16.73    0.00    5.99    5.01    0.00    1.03    0.00    0.00    0.00   71.25
12:41:26 PM  all   15.93    0.00    5.68    3.45    0.00    0.69    0.00    0.00    0.00   74.25
12:41:27 PM  all   15.00    0.00    5.54    3.37    0.00    0.68    0.00    0.00    0.00   75.42
12:41:28 PM  all   11.47    0.00    4.91    4.00    0.00    1.00    0.00    0.00    0.00   78.63
12:41:29 PM  all   23.36    0.00    8.48    2.80    0.00    1.29    0.00    0.00    0.00   64.07
12:41:30 PM  all   11.02    0.00    5.53    1.53    0.00    1.06    0.00    0.00    0.00   80.86
12:41:31 PM  all   12.06    0.00    4.84    1.32    0.00    0.81    0.00    0.00    0.00   80.97
12:41:32 PM  all    3.98    0.00    2.52    2.27    0.04    0.51    0.00    0.00    0.00   90.68
12:41:33 PM  all   14.13    0.00    4.97    3.90    0.00    0.47    0.00    0.00    0.00   76.54
12:41:34 PM  all   24.83    0.00    8.22    1.03    0.00    1.38    0.00    0.00    0.00   64.54
12:41:35 PM  all   17.15    0.00    5.61    1.32    0.00    1.32    0.00    0.00    0.00   74.61
12:41:36 PM  all   12.46    0.00    4.77    4.60    0.00    0.73    0.00    0.00    0.00   77.45
12:41:37 PM  all    4.48    0.00    3.71    6.23    0.00    0.73    0.00    0.00    0.00   84.85
12:41:38 PM  all    4.06    0.00    3.26    0.76    0.00    0.68    0.00    0.00    0.00   91.24
12:41:39 PM  all    5.24    0.00    3.72    0.51    0.00    0.51    0.00    0.00    0.00   90.03
12:41:40 PM  all   19.19    0.00    6.51    1.72    0.00    0.99    0.00    0.00    0.00   71.58
12:41:41 PM  all   13.87    0.00    4.89    2.13    0.00    0.98    0.00    0.00    0.00   78.14
12:41:42 PM  all   15.00    0.00    4.47    1.81    0.00    0.51    0.00    0.00    0.00   78.21
12:41:43 PM  all   27.18    0.00    7.17    0.81    0.00    1.19    0.00    0.00    0.00   63.65
12:41:44 PM  all   49.63    0.00   10.51    1.06    0.00    1.98    0.00    0.00    0.00   36.82
12:41:45 PM  all   32.85    0.00    9.23    7.74    0.00    1.31    0.00    0.00    0.00   48.86
12:41:46 PM  all   29.37    0.00    9.01    5.57    0.00    1.83    0.00    0.00    0.00   54.23
12:41:47 PM  all   22.08    0.00    6.57    8.76    0.00    0.77    0.00    0.00    0.00   61.81
12:41:48 PM  all   14.84    0.00    5.79    7.82    0.00    0.72    0.00    0.00    0.00   70.82
12:41:49 PM  all   15.38    0.00    6.34    6.38    0.00    1.24    0.00    0.00    0.00   70.65
12:41:50 PM  all   16.58    0.00    7.04    4.36    0.00    0.99    0.00    0.00    0.00   71.03
12:41:51 PM  all   11.19    0.00    4.85    0.47    0.00    0.60    0.00    0.00    0.00   82.89
12:41:52 PM  all   15.53    0.00    5.83    2.48    0.00    0.61    0.00    0.00    0.00   75.55
12:41:53 PM  all    6.26    0.00    3.51    0.93    0.00    0.38    0.00    0.00    0.00   88.92
12:41:54 PM  all   20.85    0.00    6.93    3.08    0.00    1.07    0.00    0.00    0.00   68.07
12:41:55 PM  all   13.06    0.00    5.37    1.33    0.00    0.99    0.00    0.00    0.00   79.24
12:41:56 PM  all   12.30    0.00    5.33    0.56    0.00    1.29    0.00    0.00    0.00   80.52
12:41:57 PM  all   14.95    0.00    6.37    1.82    0.00    1.00    0.00    0.00    0.00   75.87
12:41:58 PM  all   11.04    0.00    4.80    0.59    0.00    0.59    0.00    0.00    0.00   82.98
12:41:59 PM  all   10.83    0.00    4.15    2.01    0.00    0.76    0.00    0.00    0.00   82.25
12:42:00 PM  all   11.09    0.00    4.28    0.55    0.00    0.47    0.00    0.00    0.00   83.62
12:42:01 PM  all    4.03    0.00    3.40    4.70    0.00    0.67    0.00    0.00    0.00   87.21
12:42:02 PM  all   10.62    0.00    4.99    0.04    0.00    0.68    0.00    0.00    0.00   83.67
12:42:03 PM  all   15.55    0.00    5.26    0.65    0.00    0.65    0.00    0.00    0.00   77.90
