       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  15532.27  34850.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  17632.74  92336.07
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   9237.60  12311.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  15607.64  16256.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  11858.26  22746.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  23949.33  15593.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  29423.25  23623.84
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   6703.22  14062.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  355052.1  336374.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  546707.5  560700.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.78      0.00      0.00      0.00  276257.6  447736.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  204306.9  130873.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  114273.0  324673.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  78134.59  228734.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  10596.91  79481.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  35897.64  47340.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1139.68  25560.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  70050.00  184355.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  12162.83  75167.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  44968.96  27336.72
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  18087.97  15088.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  10451.85  26213.10
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  11392.26  49872.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  19045.55  59227.92
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   5394.22   8330.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  13376.42  28509.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  33548.91  87668.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1254.28  15732.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  10464.91  14152.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1092.42   9982.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1063.67   5404.16
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    950.08  11588.99
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    745.50  26752.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  18167.34  23054.99
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  101607.6  19128.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  71375.78  21903.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   5209.95  17857.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  31244.04   2207.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  29685.37  19336.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  43434.34  20551.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    596.45   9406.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   4676.36  27534.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  97584.90  64400.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  484395.7  486595.3
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  217417.7  300396.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  328202.5  57451.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  114443.4  48164.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  152371.1  202067.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00  72733.72  174406.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  75124.25  67156.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   6344.45  39654.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1751.66  65365.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1665.35  46112.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2284.63  90983.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  23432.38  117037.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1542.97  78498.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   3747.58  103632.5
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1552.45  69327.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  74628.16  51792.13
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  27813.80  41303.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  15087.68  40169.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  65930.02  32289.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  19313.25  57872.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  66013.00  232661.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2150.79  68198.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  20598.92  84035.77
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   6342.44  96554.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  26617.37  83106.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  34439.20  76368.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  32884.46  94144.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  66029.13  164618.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  59350.05  156211.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  12131.27  86624.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   9521.29  131092.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2103.72  33813.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   4519.90  30439.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1867.75  93168.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2415.60  162386.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  72249.67  124445.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  59046.08  132085.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  17698.57  229991.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  387964.3  277797.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  646764.9  613880.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  205340.9  287664.7
