Linux 3.13.0-63-generic (storage-node1) 	10/26/2015 	_x86_64_	(24 CPU)

07:08:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:08:15 PM  all   15.44    0.00    7.10   36.70    0.04    1.80    0.00    0.00    0.00   38.92
07:08:16 PM  all   21.27    0.00    9.17   32.58    0.00    2.14    0.00    0.00    0.00   34.85
07:08:17 PM  all   20.96    0.00    9.30   33.38    0.00    2.46    0.00    0.00    0.00   33.90
07:08:18 PM  all   24.61    0.00   11.61   24.52    0.00    2.57    0.00    0.00    0.00   36.69
07:08:19 PM  all   31.32    0.00   14.32   27.67    0.00    1.67    0.00    0.00    0.00   25.02
07:08:20 PM  all   31.75    0.00   11.58   32.46    0.00    2.37    0.00    0.00    0.00   21.84
07:08:21 PM  all   26.40    0.00    9.08   34.95    0.00    2.08    0.00    0.00    0.00   27.49
07:08:22 PM  all   24.19    0.00    9.69   33.08    0.00    1.81    0.00    0.00    0.00   31.23
07:08:23 PM  all   23.47    0.00    9.34   30.63    0.00    2.14    0.00    0.00    0.00   34.42
07:08:24 PM  all   29.07    0.00    9.56   30.47    0.00    1.70    0.00    0.00    0.00   29.20
07:08:25 PM  all   27.64    0.00    9.97   27.11    0.00    2.42    0.00    0.00    0.00   32.86
07:08:26 PM  all   24.40    0.00    8.43   37.56    0.00    2.88    0.00    0.00    0.00   26.72
07:08:27 PM  all   30.00    0.00   10.22   30.13    0.00    2.65    0.00    0.00    0.00   27.00
07:08:28 PM  all   24.00    0.00    9.10   35.37    0.00    2.53    0.00    0.00    0.00   29.01
07:08:29 PM  all   26.82    0.00   10.94   29.76    0.00    2.14    0.00    0.00    0.00   30.34
07:08:30 PM  all   40.24    0.00   10.60   21.86    0.00    2.24    0.00    0.00    0.00   25.07
07:08:31 PM  all   32.97    0.00   11.35   29.02    0.00    3.24    0.00    0.00    0.00   23.41
07:08:32 PM  all   25.81    0.00   10.10   29.72    0.00    2.77    0.00    0.00    0.00   31.61
07:08:33 PM  all   15.14    0.00    7.74   36.76    0.00    1.48    0.00    0.00    0.00   38.89
07:08:34 PM  all   14.83    0.00    6.64   34.20    0.00    1.72    0.00    0.00    0.00   42.60
07:08:35 PM  all   20.08    0.00    8.27   40.54    0.00    2.20    0.00    0.00    0.00   28.91
07:08:36 PM  all   25.88    0.00   10.40   33.36    0.00    2.17    0.00    0.00    0.00   28.19
07:08:37 PM  all   21.03    0.00    8.16   38.95    0.00    2.25    0.00    0.00    0.00   29.62
07:08:38 PM  all   32.77    0.00   11.54   28.70    0.00    2.96    0.00    0.00    0.00   24.02
07:08:39 PM  all   32.87    0.00   11.98   32.30    0.00    1.70    0.00    0.00    0.00   21.15
07:08:40 PM  all   28.05    0.00   10.60   32.37    0.00    1.96    0.00    0.00    0.00   27.01
07:08:41 PM  all   21.74    0.00    8.34   37.84    0.00    2.31    0.00    0.00    0.00   29.77
07:08:42 PM  all   18.51    0.00    8.89   42.51    0.00    2.32    0.00    0.00    0.00   27.78
07:08:43 PM  all   25.48    0.00   10.68   37.24    0.04    2.00    0.00    0.00    0.00   24.57
07:08:44 PM  all   21.21    0.00    8.87   40.62    0.00    2.15    0.00    0.00    0.00   27.14
07:08:45 PM  all   29.85    0.00   10.95   35.01    0.00    1.94    0.00    0.00    0.00   22.25
07:08:46 PM  all   30.27    0.00   12.79   30.09    0.00    2.39    0.00    0.00    0.00   24.47
07:08:47 PM  all   28.70    0.00   10.06   31.15    0.00    2.85    0.00    0.00    0.00   27.24
07:08:48 PM  all   22.44    0.00    8.06   34.68    0.00    1.66    0.00    0.00    0.00   33.16
07:08:49 PM  all   27.71    0.00   11.14   28.32    0.00    3.83    0.00    0.00    0.00   29.01
07:08:50 PM  all   30.10    0.00   15.10   28.01    0.00    3.58    0.00    0.00    0.00   23.21
07:08:51 PM  all   17.97    0.00    7.41   45.99    0.00    2.16    0.00    0.00    0.00   26.47
07:08:52 PM  all   38.27    0.00   12.19   27.36    0.00    2.63    0.00    0.00    0.00   19.55
07:08:53 PM  all   24.94    0.00    8.99   39.41    0.00    2.29    0.00    0.00    0.00   24.37
07:08:54 PM  all   26.57    0.00   12.80   34.40    0.00    3.48    0.00    0.00    0.00   22.75
07:08:55 PM  all   28.53    0.00   19.44   30.71    0.00    2.32    0.00    0.00    0.00   19.00
07:08:56 PM  all   31.44    0.00   12.13   32.28    0.00    2.69    0.00    0.00    0.00   21.47
07:08:57 PM  all   42.11    0.00   12.61   26.55    0.00    3.25    0.00    0.00    0.00   15.48
07:08:58 PM  all   30.14    0.00   10.94   31.06    0.00    2.86    0.00    0.00    0.00   25.00
07:08:59 PM  all   30.99    0.00   12.03   35.14    0.00    2.22    0.00    0.00    0.00   19.62
07:09:00 PM  all   28.92    0.00    9.86   33.78    0.00    1.65    0.00    0.00    0.00   25.79
07:09:01 PM  all   34.49    0.00   14.53   27.70    0.00    2.41    0.00    0.00    0.00   20.88
07:09:02 PM  all   22.36    0.00   12.02   35.09    0.00    2.21    0.00    0.00    0.00   28.33
07:09:03 PM  all   22.50    0.00   13.14   34.86    0.00    2.13    0.00    0.00    0.00   27.37
07:09:04 PM  all   18.77    0.00    7.16   40.14    0.00    1.81    0.00    0.00    0.00   32.11
07:09:05 PM  all   32.81    0.00   10.63   30.61    0.00    2.28    0.00    0.00    0.00   23.67
