       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00  304130.0  178832.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00  281593.1  183994.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  381919.0  214565.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  340362.0  203271.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  278629.5  359332.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  383829.9  242461.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  269742.2  175444.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  253308.8  252617.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  312434.8  224757.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  228477.3  215845.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00  381764.7  200465.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  361818.3  189664.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  316977.9  249435.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  277128.2  335170.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.78      0.00      0.00      0.00  310029.5  234261.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  248162.8  204613.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00  459651.2  271966.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  381246.0  172270.8
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  184712.6  225686.1
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  184751.9  227050.3
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  393115.6  59581.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  279530.7  192165.4
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  293587.6  265963.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  218963.1  500255.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  241052.8  317707.0
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  265004.6  280065.9
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  328458.5  147877.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  293050.0  239655.6
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  247221.2  196998.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  310249.0  278405.7
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00  235530.8  331604.4
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00  313159.6  311158.2
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.33      0.00      0.00  462310.5  185831.4
