Linux 3.13.0-63-generic (storage-node1) 	10/26/2015 	_x86_64_	(24 CPU)

10:37:38 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:37:39 AM  all    1.14    0.00    1.10    0.00    0.00    0.30    0.00    0.00    0.00   97.47
10:37:40 AM  all    1.05    0.00    1.43    0.00    0.04    0.21    0.00    0.00    0.00   97.27
10:37:41 AM  all    1.55    0.00    1.68    0.00    0.00    0.21    0.00    0.00    0.00   96.56
10:37:42 AM  all    1.57    0.00    1.40    0.00    0.00    0.17    0.00    0.00    0.00   96.87
10:37:43 AM  all    2.16    0.00    1.99    0.00    0.00    0.38    0.00    0.00    0.00   95.47
10:37:44 AM  all    1.60    0.00    1.52    0.00    0.00    0.21    0.00    0.00    0.00   96.67
10:37:45 AM  all    2.18    0.00    1.93    0.00    0.00    0.46    0.00    0.00    0.00   95.44
10:37:46 AM  all    1.59    0.00    1.50    0.00    0.00    0.21    0.00    0.00    0.00   96.70
10:37:47 AM  all    1.73    0.00    1.47    0.00    0.00    0.42    0.00    0.00    0.00   96.38
10:37:48 AM  all    1.80    0.00    2.39    0.00    0.00    0.50    0.00    0.00    0.00   95.30
10:37:49 AM  all    1.39    0.00    1.56    0.00    0.00    0.30    0.00    0.00    0.00   96.75
10:37:50 AM  all    1.22    0.00    1.64    0.00    0.00    0.25    0.00    0.00    0.00   96.88
10:37:51 AM  all    1.38    0.00    2.17    0.00    0.00    0.46    0.00    0.00    0.00   95.99
10:37:52 AM  all    1.09    0.00    1.55    0.00    0.00    0.25    0.00    0.00    0.00   97.12
10:37:53 AM  all    1.35    0.00    1.39    0.00    0.00    0.21    0.00    0.00    0.00   97.05
10:37:54 AM  all   51.05    0.00    8.72    0.00    0.00    1.05    0.00    0.00    0.00   39.18
10:37:55 AM  all   64.91    0.00   12.35    0.00    0.00    1.79    0.00    0.00    0.00   20.95
10:37:56 AM  all   69.90    0.00   13.81    0.00    0.00    1.42    0.00    0.00    0.00   14.88
10:37:57 AM  all   65.55    0.00   13.61    0.00    0.00    1.66    0.00    0.00    0.00   19.19
10:37:58 AM  all   66.81    0.00   12.84    0.00    0.00    1.30    0.00    0.00    0.00   19.05
10:37:59 AM  all   70.56    0.00   13.67    0.00    0.00    1.72    0.00    0.00    0.00   14.05
10:38:00 AM  all   61.04    0.00   10.93    0.00    0.00    1.11    0.00    0.00    0.00   26.91
10:38:01 AM  all   70.34    0.00   11.97    0.00    0.00    1.03    0.00    0.00    0.00   16.66
10:38:02 AM  all   65.55    0.00   13.64    0.00    0.00    1.45    0.00    0.00    0.00   19.36
10:38:03 AM  all   58.08    0.00   10.47    0.00    0.00    1.23    0.00    0.00    0.00   30.22
10:38:04 AM  all   70.88    0.00   12.38    0.04    0.00    1.07    0.00    0.00    0.00   15.63
10:38:05 AM  all   67.20    0.00   11.76    0.00    0.00    1.50    0.00    0.00    0.00   19.55
10:38:06 AM  all   64.03    0.00   12.04    0.00    0.00    1.44    0.00    0.00    0.00   22.49
10:38:07 AM  all   60.38    0.00    9.94    0.00    0.00    1.24    0.00    0.00    0.00   28.45
10:38:08 AM  all   69.14    0.00   12.53    0.00    0.00    1.83    0.00    0.00    0.00   16.50
