       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    516.16    516.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    356.02    356.26
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    415.17    417.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    418.26    491.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    724.41    830.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    517.49    614.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    576.28    677.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    333.95    507.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    505.51    663.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    661.23    680.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    587.88    676.36
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    538.64    650.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    425.42    521.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    373.86    516.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    584.57    648.98
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1602.05   1728.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2265.63   2819.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2545.03   2771.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2511.22   3151.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2479.45   3080.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2422.09   2813.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2187.93   2794.38
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2908.77   3637.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2381.74   3398.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2219.11   2786.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2197.75   2627.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2216.41   2657.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2342.37   3020.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2297.65   2660.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2484.64   3002.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2364.92   2499.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2238.86   2618.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2200.58   2846.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2341.11   3468.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2171.20   2879.15
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2145.98   2456.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2375.39   2769.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2320.00   3153.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2460.87   3446.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2201.37   2610.76
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2197.77   2463.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2512.31   2861.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2547.85   3044.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2292.21   3137.88
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2036.14   2815.63
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2486.13   2946.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2106.40   2640.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2295.42   2954.07
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2306.65   3429.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2246.83   2407.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   3002.66   3598.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2179.12   2391.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2439.47   2894.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2147.56   3213.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2177.93   2880.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2395.04   3063.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2300.60   2853.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2382.26   3122.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2154.55   2747.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2241.61   2661.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2394.00   2755.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2216.04   2915.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2559.07   3145.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2161.78   3078.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2077.26   2648.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2194.93   2654.81
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2302.24   2872.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2408.73   3124.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2183.15   2871.04
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2090.96   2535.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2183.94   2480.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2187.30   2645.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.73      0.00      0.00      0.00   2234.79   2697.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2580.28   3529.62
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2135.44   2750.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2223.38   2744.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2232.31   2413.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2091.24   2519.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2251.22   3693.70
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2199.01   2799.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2424.39   2682.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2160.65   2786.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2884.34   3441.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2247.91   3196.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2182.91   2880.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2331.64   2569.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2141.09   2491.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2652.67   3723.52
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2285.41   3139.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2326.53   2658.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2207.55   2453.76
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2154.69   2799.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2276.22   2837.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2119.15   2886.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2000.53   2637.76
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2027.29   2427.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2326.91   2852.60
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2359.89   2959.37
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2189.91   3165.44
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2134.16   2549.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2335.05   2461.93
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2262.49   2751.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2233.16   2828.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2415.78   3381.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   2231.88   2968.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2104.17   2724.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2239.25   2620.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2173.59   2936.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2428.16   2947.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00   2369.29   3494.07
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2243.35   2551.76
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2230.34   2757.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2307.49   3032.10
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2312.61   3130.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2048.12   2773.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2099.32   2584.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2205.83   2749.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   3003.90   3674.71
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2265.17   3234.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2191.93   2498.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2200.07   2443.16
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2289.21   2584.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2448.65   3072.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   2462.19   3594.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2147.61   2852.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   2175.13   2559.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2329.10   2784.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2473.87   3190.55
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2406.33   3308.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2366.28   3052.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2263.57   2702.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2128.13   2690.90
       eth0                eth1                eth2                eth3                eth4                eth5       
