Linux 3.13.0-63-generic (storage-node1) 	10/24/2015 	_x86_64_	(24 CPU)

12:34:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:34:34 PM  all    1.01    0.00    0.93    0.17    0.00    0.25    0.00    0.00    0.00   97.65
12:34:35 PM  all    1.18    0.00    1.34    0.00    0.00    0.21    0.00    0.00    0.00   97.27
12:34:36 PM  all    0.97    0.00    1.30    0.00    0.00    0.13    0.00    0.00    0.00   97.61
12:34:37 PM  all    1.39    0.00    1.93    0.00    0.00    0.50    0.00    0.00    0.00   96.17
12:34:38 PM  all    1.25    0.00    1.79    0.00    0.00    0.25    0.00    0.00    0.00   96.70
12:34:39 PM  all    1.46    0.00    2.50    0.00    0.00    0.29    0.00    0.00    0.00   95.74
12:34:40 PM  all    1.00    0.00    1.59    0.00    0.00    0.29    0.00    0.00    0.00   97.12
12:34:41 PM  all    1.05    0.00    1.47    0.00    0.00    0.25    0.00    0.00    0.00   97.24
12:34:42 PM  all    1.43    0.00    1.64    0.00    0.00    0.25    0.00    0.00    0.00   96.68
12:34:43 PM  all    1.51    0.00    1.39    0.00    0.00    0.25    0.00    0.00    0.00   96.85
12:34:44 PM  all    1.66    0.00    1.44    0.00    0.00    0.25    0.00    0.00    0.00   96.65
12:34:45 PM  all    1.89    0.00    1.51    0.08    0.00    0.34    0.00    0.00    0.00   96.18
12:34:46 PM  all    1.39    0.00    1.35    0.00    0.00    0.17    0.00    0.00    0.00   97.09
12:34:47 PM  all    1.56    0.00    1.35    0.00    0.00    0.25    0.00    0.00    0.00   96.84
12:34:48 PM  all    1.18    0.00    1.64    0.00    0.00    0.21    0.00    0.00    0.00   96.96
12:34:49 PM  all    1.22    0.00    1.64    0.00    0.00    0.29    0.00    0.00    0.00   96.85
12:34:50 PM  all    1.56    0.00    1.26    0.00    0.00    0.34    0.00    0.00    0.00   96.85
12:34:51 PM  all    2.11    0.00    1.78    0.00    0.04    0.25    0.00    0.00    0.00   95.81
12:34:52 PM  all    2.02    0.00    1.69    0.00    0.00    0.34    0.00    0.00    0.00   95.95
12:34:53 PM  all    1.60    0.00    1.85    0.04    0.00    0.25    0.00    0.00    0.00   96.25
12:34:54 PM  all    1.76    0.00    2.02    0.00    0.00    0.17    0.00    0.00    0.00   96.05
12:34:55 PM  all    1.77    0.00    1.26    0.00    0.00    0.13    0.00    0.00    0.00   96.84
12:34:56 PM  all    1.35    0.00    1.05    0.00    0.00    0.13    0.00    0.00    0.00   97.47
12:34:57 PM  all    2.46    0.00    2.55    0.00    0.00    0.33    0.00    0.00    0.00   94.66
12:34:58 PM  all    2.01    0.00    1.85    0.00    0.00    0.25    0.00    0.00    0.00   95.89
12:34:59 PM  all    1.89    0.00    1.76    0.00    0.00    0.29    0.00    0.00    0.00   96.05
12:35:00 PM  all    2.46    0.00    1.96    0.04    0.00    0.50    0.00    0.00    0.00   95.04
12:35:01 PM  all    2.11    0.00    1.98    0.00    0.00    0.42    0.00    0.00    0.00   95.48
12:35:02 PM  all    1.34    0.00    1.38    0.00    0.00    0.13    0.00    0.00    0.00   97.15
12:35:03 PM  all    1.39    0.00    1.52    0.00    0.00    0.21    0.00    0.00    0.00   96.89
12:35:04 PM  all    1.63    0.00    1.51    0.00    0.00    0.29    0.00    0.00    0.00   96.56
12:35:05 PM  all    1.81    0.00    2.07    0.00    0.00    0.42    0.00    0.00    0.00   95.70
12:35:06 PM  all    1.77    0.00    1.47    0.04    0.00    0.29    0.00    0.00    0.00   96.42
12:35:07 PM  all    1.39    0.00    1.43    0.00    0.00    0.29    0.00    0.00    0.00   96.89
12:35:08 PM  all    1.30    0.00    1.43    0.00    0.00    0.13    0.00    0.00    0.00   97.14
12:35:09 PM  all    1.34    0.00    1.55    0.00    0.00    0.34    0.00    0.00    0.00   96.77
12:35:10 PM  all    1.26    0.00    1.72    0.00    0.00    0.21    0.00    0.00    0.00   96.81
12:35:11 PM  all    1.83    0.00    2.20    0.00    0.00    0.46    0.00    0.00    0.00   95.51
12:35:12 PM  all    1.05    0.00    1.34    0.00    0.00    0.17    0.00    0.00    0.00   97.45
