       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    351.86    412.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    444.81    493.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    458.93    525.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    642.89    674.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    445.62    466.34
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    472.85    531.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    378.30    373.19
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    443.95    447.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    403.44    405.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    547.41    613.17
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    685.30    776.64
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    497.76    612.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    527.49    606.87
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    479.66    530.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00    503.78    641.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    697.63    866.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    439.95    567.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    665.95    731.63
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    666.76    682.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    575.60    670.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    602.39    775.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    480.19    564.52
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    404.45    540.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    589.06    671.50
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    643.52    789.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    694.45    872.88
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    587.94    751.53
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    690.88    780.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    396.01    427.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    553.00    632.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    481.38    672.44
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    652.96    834.13
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    678.25    793.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    440.85    565.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.57      0.00      0.00      0.00    430.39    571.09
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    471.07    669.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    582.23    689.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    542.55    563.26
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    442.72    530.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    352.08    381.89
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00    440.33    510.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00   1012.86    956.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1436.90   1448.67
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1191.06    650.29
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1983.56   2069.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1255.11   1514.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1573.20   1515.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1354.12   1099.02
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1325.90    643.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1256.58    897.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1031.17    786.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1555.47   1071.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00   1314.81   1078.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1310.80    876.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00   1510.41   1710.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.84      0.00      0.00      0.00   1405.20   1414.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1099.03   1030.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1020.03    754.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1038.95    805.10
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00   1225.19   1151.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00   1231.95   1003.46
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1522.71   1578.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00   1341.28   1379.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1043.33    829.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00   1200.61   1111.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.57      0.00      0.00      0.00   1444.14   1005.74
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00    928.65   1058.81
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1506.33   1439.80
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1229.54   1220.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1671.29   1686.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00   1261.84   1059.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00   1155.23    903.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.23      0.00      0.00      0.00   1854.17   1987.32
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00   1558.62   1881.21
    0.00      0.00      0.00      0.00      0.00      0.00      0.18      0.00      0.00      0.00   1468.10   1402.31
    0.00      0.00      0.00      0.00      0.00      0.00      0.51      0.00      0.00      0.00   1581.90   1418.70
