Linux 3.13.0-63-generic (storage-node1) 	10/26/2015 	_x86_64_	(24 CPU)

02:54:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:54:37 PM  all    1.81    0.00    2.15    0.00    0.00    0.34    0.00    0.00    0.00   95.70
02:54:38 PM  all    2.00    0.00    2.52    0.00    0.00    0.43    0.00    0.00    0.00   95.05
02:54:39 PM  all    2.11    0.00    1.90    0.00    0.00    0.42    0.00    0.00    0.00   95.58
02:54:40 PM  all    1.87    0.00    2.25    0.00    0.00    0.25    0.00    0.00    0.00   95.63
02:54:41 PM  all    2.46    0.00    1.57    0.00    0.00    0.30    0.00    0.00    0.00   95.68
02:54:42 PM  all    2.32    0.00    2.82    0.00    0.00    0.42    0.00    0.00    0.00   94.44
02:54:43 PM  all    3.00    0.00    2.49    0.00    0.00    0.38    0.00    0.00    0.00   94.13
02:54:44 PM  all    2.45    0.00    2.70    0.00    0.00    0.42    0.00    0.00    0.00   94.43
02:54:45 PM  all    2.59    0.00    2.16    0.00    0.00    0.38    0.00    0.00    0.00   94.87
02:54:46 PM  all    1.77    0.00    1.48    0.00    0.00    0.08    0.00    0.00    0.00   96.67
02:54:47 PM  all    2.45    0.00    2.28    0.00    0.00    0.30    0.00    0.00    0.00   94.97
02:54:48 PM  all    2.55    0.00    2.17    0.00    0.00    0.47    0.00    0.00    0.00   94.82
02:54:49 PM  all    1.66    0.00    1.66    0.00    0.00    0.25    0.00    0.00    0.00   96.43
02:54:50 PM  all    1.83    0.00    2.13    0.00    0.00    0.34    0.00    0.00    0.00   95.69
02:54:51 PM  all    2.46    0.00    1.65    0.00    0.00    0.25    0.00    0.00    0.00   95.64
02:54:52 PM  all    2.25    0.00    2.51    0.00    0.00    0.34    0.00    0.00    0.00   94.90
02:54:53 PM  all    2.12    0.00    2.25    0.00    0.00    0.21    0.00    0.00    0.00   95.42
02:54:54 PM  all    1.87    0.00    2.00    0.00    0.00    0.34    0.00    0.00    0.00   95.78
02:54:55 PM  all    1.64    0.00    2.23    0.00    0.00    0.34    0.00    0.00    0.00   95.79
02:54:56 PM  all    1.75    0.00    2.35    0.00    0.00    0.47    0.00    0.00    0.00   95.43
02:54:57 PM  all    1.38    0.00    1.84    0.00    0.00    0.29    0.00    0.00    0.00   96.49
02:54:58 PM  all    2.05    0.00    2.89    0.00    0.00    0.42    0.00    0.00    0.00   94.64
02:54:59 PM  all    1.58    0.00    2.71    0.00    0.00    0.33    0.00    0.00    0.00   95.37
02:55:00 PM  all    3.91    0.00    3.66    0.00    0.00    1.05    0.00    0.00    0.00   91.39
02:55:01 PM  all    6.32    0.00    3.18    0.00    0.00    0.89    0.00    0.00    0.00   89.61
02:55:02 PM  all    5.81    0.00    2.52    0.00    0.00    0.85    0.00    0.00    0.00   90.82
02:55:03 PM  all    5.69    0.00    2.52    0.00    0.00    0.51    0.00    0.00    0.00   91.27
02:55:04 PM  all    5.50    0.00    1.88    0.00    0.00    0.34    0.00    0.00    0.00   92.28
02:55:05 PM  all    6.02    0.00    3.44    0.00    0.00    0.52    0.00    0.00    0.00   90.02
02:55:06 PM  all    4.18    0.00    2.90    0.00    0.00    0.43    0.00    0.00    0.00   92.49
02:55:07 PM  all    6.82    0.00    4.01    0.00    0.00    0.47    0.00    0.00    0.00   88.70
02:55:08 PM  all    5.28    0.00    2.09    0.04    0.00    0.21    0.00    0.00    0.00   92.38
02:55:09 PM  all    5.56    0.00    2.31    0.00    0.00    0.34    0.00    0.00    0.00   91.79
02:55:10 PM  all    5.73    0.00    2.63    0.00    0.00    0.26    0.00    0.00    0.00   91.38
02:55:11 PM  all    6.09    0.00    2.50    0.00    0.00    0.43    0.00    0.00    0.00   90.98
02:55:12 PM  all    6.13    0.00    3.07    0.00    0.00    0.52    0.00    0.00    0.00   90.28
02:55:13 PM  all    5.39    0.00    2.18    0.00    0.00    0.21    0.00    0.00    0.00   92.22
02:55:14 PM  all    4.23    0.00    2.56    0.00    0.00    0.47    0.00    0.00    0.00   92.74
02:55:15 PM  all    5.90    0.00    2.37    0.00    0.00    0.34    0.00    0.00    0.00   91.38
02:55:16 PM  all    5.02    0.00    2.19    0.00    0.00    0.34    0.00    0.00    0.00   92.45
02:55:17 PM  all    6.67    0.00    3.06    0.00    0.00    0.56    0.00    0.00    0.00   89.71
02:55:18 PM  all    6.18    0.00    2.36    0.00    0.00    0.39    0.00    0.00    0.00   91.07
02:55:19 PM  all    4.22    0.00    1.96    0.00    0.04    0.38    0.00    0.00    0.00   93.39
02:55:20 PM  all    6.51    0.00    3.28    0.00    0.00    0.47    0.00    0.00    0.00   89.74
02:55:21 PM  all    7.01    0.00    3.12    0.00    0.00    0.34    0.00    0.00    0.00   89.52
02:55:22 PM  all    5.56    0.00    3.01    0.00    0.00    0.34    0.00    0.00    0.00   91.09
02:55:23 PM  all    5.08    0.00    2.15    0.00    0.00    0.30    0.00    0.00    0.00   92.46
02:55:24 PM  all    5.64    0.00    1.68    0.00    0.00    0.17    0.00    0.00    0.00   92.51
02:55:25 PM  all    4.31    0.00    2.66    0.00    0.00    0.34    0.00    0.00    0.00   92.70
02:55:26 PM  all    5.69    0.00    2.69    0.00    0.00    0.51    0.00    0.00    0.00   91.10
02:55:27 PM  all    6.96    0.00    2.89    0.00    0.00    0.59    0.00    0.00    0.00   89.56
02:55:28 PM  all    6.17    0.00    2.66    0.00    0.00    0.47    0.00    0.00    0.00   90.70
02:55:29 PM  all    6.13    0.00    2.58    0.00    0.00    0.17    0.00    0.00    0.00   91.12
02:55:30 PM  all    5.53    0.00    1.93    0.00    0.00    0.21    0.00    0.00    0.00   92.32
02:55:31 PM  all    5.78    0.00    2.78    0.00    0.00    0.30    0.00    0.00    0.00   91.13
02:55:32 PM  all    4.70    0.00    2.26    0.00    0.00    0.34    0.00    0.00    0.00   92.70
02:55:33 PM  all    5.38    0.00    2.78    0.00    0.04    0.38    0.00    0.00    0.00   91.42
02:55:34 PM  all    6.38    0.00    2.85    0.04    0.00    0.34    0.00    0.00    0.00   90.38
02:55:35 PM  all    6.03    0.00    2.28    0.00    0.00    0.22    0.00    0.00    0.00   91.47
02:55:36 PM  all    4.26    0.00    2.24    0.00    0.00    0.34    0.00    0.00    0.00   93.16
02:55:37 PM  all    5.71    0.00    3.13    0.00    0.00    0.43    0.00    0.00    0.00   90.73
02:55:38 PM  all    6.38    0.00    3.08    0.00    0.04    0.34    0.00    0.00    0.00   90.15
02:55:39 PM  all    5.32    0.00    2.21    0.00    0.00    0.43    0.00    0.00    0.00   92.04
02:55:40 PM  all    5.26    0.00    2.76    0.00    0.00    0.38    0.00    0.00    0.00   91.60
02:55:41 PM  all    3.98    0.00    2.19    0.00    0.00    0.51    0.00    0.00    0.00   93.32
02:55:42 PM  all    4.91    0.00    3.28    0.00    0.00    0.38    0.00    0.00    0.00   91.42
02:55:43 PM  all    5.64    0.00    2.86    0.00    0.00    0.51    0.00    0.00    0.00   90.99
02:55:44 PM  all    3.58    0.00    1.96    0.00    0.00    0.17    0.00    0.00    0.00   94.29
02:55:45 PM  all    4.03    0.00    2.33    0.00    0.00    0.34    0.00    0.00    0.00   93.30
02:55:46 PM  all    5.77    0.00    3.25    0.00    0.00    0.38    0.00    0.00    0.00   90.59
02:55:47 PM  all    4.64    0.00    2.66    0.00    0.00    0.34    0.00    0.00    0.00   92.37
02:55:48 PM  all    5.65    0.00    2.61    0.00    0.00    0.30    0.00    0.00    0.00   91.43
02:55:49 PM  all    5.48    0.00    1.93    0.00    0.00    0.21    0.00    0.00    0.00   92.38
02:55:50 PM  all    3.72    0.00    2.52    0.00    0.00    0.47    0.00    0.00    0.00   93.29
02:55:51 PM  all    6.09    0.00    2.45    0.00    0.00    0.43    0.00    0.00    0.00   91.03
02:55:52 PM  all    5.48    0.00    2.64    0.00    0.00    0.34    0.00    0.00    0.00   91.54
02:55:53 PM  all    6.78    0.00    2.51    0.00    0.00    0.30    0.00    0.00    0.00   90.41
02:55:54 PM  all    3.78    0.00    2.29    0.00    0.00    0.38    0.00    0.00    0.00   93.55
02:55:55 PM  all    6.06    0.00    3.10    0.00    0.04    0.60    0.00    0.00    0.00   90.19
02:55:56 PM  all    5.99    0.00    2.45    0.00    0.00    0.39    0.00    0.00    0.00   91.17
02:55:57 PM  all    6.14    0.00    2.77    0.00    0.00    0.38    0.00    0.00    0.00   90.71
02:55:58 PM  all    5.65    0.00    3.08    0.00    0.00    0.34    0.00    0.00    0.00   90.92
02:55:59 PM  all    5.81    0.00    2.45    0.00    0.00    0.47    0.00    0.00    0.00   91.27
02:56:00 PM  all    3.99    0.00    2.45    0.00    0.00    0.30    0.00    0.00    0.00   93.26
02:56:01 PM  all    4.48    0.00    2.64    0.00    0.00    0.34    0.00    0.00    0.00   92.54
02:56:02 PM  all    5.12    0.00    2.99    0.00    0.00    0.43    0.00    0.00    0.00   91.46
02:56:03 PM  all    3.97    0.00    2.22    0.00    0.00    0.34    0.00    0.00    0.00   93.47
02:56:04 PM  all    5.23    0.00    2.68    0.00    0.00    0.21    0.00    0.00    0.00   91.87
02:56:05 PM  all    5.37    0.00    2.64    0.00    0.00    0.43    0.00    0.00    0.00   91.56
02:56:06 PM  all    5.43    0.00    2.78    0.00    0.00    0.38    0.00    0.00    0.00   91.41
02:56:07 PM  all    6.53    0.00    3.14    0.00    0.00    0.52    0.00    0.00    0.00   89.81
02:56:08 PM  all    6.90    0.00    3.28    0.00    0.00    0.52    0.00    0.00    0.00   89.31
02:56:09 PM  all    6.60    0.00    2.72    0.00    0.00    0.39    0.00    0.00    0.00   90.29
02:56:10 PM  all    3.62    0.00    2.17    0.00    0.00    0.21    0.00    0.00    0.00   94.00
02:56:11 PM  all    4.42    0.00    2.19    0.00    0.00    0.34    0.00    0.00    0.00   93.05
02:56:12 PM  all    6.70    0.00    2.66    0.00    0.00    0.30    0.00    0.00    0.00   90.34
02:56:13 PM  all    4.80    0.00    3.18    0.00    0.00    0.59    0.00    0.00    0.00   91.43
02:56:14 PM  all    5.11    0.00    2.51    0.00    0.00    0.30    0.00    0.00    0.00   92.08
02:56:15 PM  all    5.56    0.00    3.47    0.00    0.00    0.64    0.00    0.00    0.00   90.33
02:56:16 PM  all    3.63    0.00    2.45    0.00    0.00    0.21    0.00    0.00    0.00   93.71
02:56:17 PM  all    5.24    0.00    2.37    0.00    0.00    0.38    0.00    0.00    0.00   92.01
02:56:18 PM  all    5.56    0.00    3.04    0.04    0.00    0.39    0.00    0.00    0.00   90.97
02:56:19 PM  all    5.10    0.00    2.68    0.00    0.00    0.26    0.00    0.00    0.00   91.96
02:56:20 PM  all    3.19    0.00    2.43    0.00    0.00    0.38    0.00    0.00    0.00   93.99
02:56:21 PM  all    5.14    0.00    2.34    0.00    0.00    0.21    0.00    0.00    0.00   92.30
02:56:22 PM  all    6.31    0.00    2.25    0.00    0.00    0.52    0.00    0.00    0.00   90.93
02:56:23 PM  all    7.29    0.00    2.63    0.00    0.00    0.22    0.00    0.00    0.00   89.86
02:56:24 PM  all    5.29    0.00    2.32    0.00    0.04    0.39    0.00    0.00    0.00   91.95
02:56:25 PM  all    5.61    0.00    2.98    0.00    0.00    0.38    0.00    0.00    0.00   91.03
02:56:26 PM  all    4.26    0.00    1.92    0.00    0.00    0.26    0.00    0.00    0.00   93.57
02:56:27 PM  all    4.53    0.00    2.52    0.00    0.00    0.30    0.00    0.00    0.00   92.65
02:56:28 PM  all    4.53    0.00    3.25    0.00    0.00    0.43    0.00    0.00    0.00   91.79
02:56:29 PM  all    5.20    0.00    4.02    0.04    0.00    0.42    0.00    0.00    0.00   90.31
02:56:30 PM  all    5.59    0.00    2.69    0.00    0.00    0.94    0.00    0.00    0.00   90.78
02:56:31 PM  all    6.70    0.00    2.84    0.00    0.00    1.12    0.00    0.00    0.00   89.35
02:56:32 PM  all    5.01    0.00    2.04    0.00    0.00    0.38    0.00    0.00    0.00   92.57
02:56:33 PM  all    4.49    0.00    2.61    0.00    0.00    0.38    0.00    0.00    0.00   92.52
02:56:34 PM  all    5.40    0.00    3.36    0.00    0.00    0.47    0.00    0.00    0.00   90.78
02:56:35 PM  all    6.90    0.00    2.41    0.00    0.00    0.56    0.00    0.00    0.00   90.13
02:56:36 PM  all    5.53    0.00    2.30    0.00    0.00    0.47    0.00    0.00    0.00   91.70
02:56:37 PM  all    5.58    0.00    2.23    0.00    0.00    0.30    0.00    0.00    0.00   91.89
02:56:38 PM  all    6.18    0.00    2.32    0.00    0.00    0.34    0.00    0.00    0.00   91.16
02:56:39 PM  all    5.45    0.00    3.41    0.00    0.00    0.68    0.00    0.00    0.00   90.46
02:56:40 PM  all    4.70    0.00    2.52    0.00    0.00    0.43    0.00    0.00    0.00   92.35
02:56:41 PM  all    7.00    0.00    3.07    0.00    0.00    0.43    0.00    0.00    0.00   89.50
02:56:42 PM  all    5.48    0.00    2.47    0.00    0.00    0.47    0.00    0.00    0.00   91.58
02:56:43 PM  all    5.03    0.00    3.32    0.00    0.04    0.38    0.00    0.00    0.00   91.23
02:56:44 PM  all    5.69    0.00    2.63    0.00    0.00    0.34    0.00    0.00    0.00   91.34
02:56:45 PM  all    4.81    0.00    2.55    0.00    0.00    0.51    0.00    0.00    0.00   92.12
02:56:46 PM  all    5.67    0.00    2.75    0.00    0.00    0.34    0.00    0.00    0.00   91.24
02:56:47 PM  all    4.78    0.00    2.64    0.00    0.00    0.26    0.00    0.00    0.00   92.32
