       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    719.22    872.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    803.23    953.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    493.06    520.23
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    677.68    722.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    692.26    840.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    747.29    886.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    701.31    878.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00    743.09    873.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    703.36    737.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00    546.69    681.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00    659.68    810.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    721.57    849.85
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    596.26    654.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    710.48    787.05
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    604.74    707.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    507.04    631.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.33      0.00      0.00    817.81    989.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    729.64    886.20
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    611.93    637.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    689.25    811.61
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    388.20    518.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    652.96    689.26
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00    564.38    633.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00    858.14    930.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1506.02   1724.63
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1682.51   1592.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1542.80   1556.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1570.08   1607.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1734.76   1452.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1549.83   1224.43
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1868.19   1594.68
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00   1592.02   1001.13
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1619.74   1484.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1650.64   1770.84
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1722.88   1296.37
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1825.45   1442.16
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1590.17   1590.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1465.56   1366.10
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1398.88   1479.33
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1559.27   1138.41
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1913.28   1307.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1736.55   2142.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1322.05   1126.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1687.60   1491.30
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1851.13   2176.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1928.45   1995.38
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1483.18   1484.25
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1382.92   1262.69
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1339.77   1071.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1489.92   1855.26
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.33      0.00      0.00   1616.91   1321.47
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1726.08   1573.42
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1498.50   1141.06
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1661.22   1054.79
    0.00      0.00      0.00      0.00      0.00      0.00      0.33      0.00      0.00      0.00   1754.82   1554.27
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1594.89   1185.48
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1617.98   1384.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1557.77   1504.04
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1685.02   2022.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1244.13   1231.00
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1766.23   1577.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1665.47   1394.30
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1512.54   1631.18
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1765.89   1476.64
    0.00      0.00      0.00      0.00      0.00      0.00      0.73      0.33      0.00      0.00   1667.02   1779.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1891.71   1829.08
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1397.31   1697.39
    0.00      0.00      0.00      0.00      0.00      0.00      0.39      0.00      0.00      0.00   1380.68    859.40
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1743.60   1331.11
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1733.22   1626.58
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1518.90   1006.77
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1589.73   1351.56
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.33      0.00      0.00   1493.42    921.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1479.07   1699.51
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1409.71   1462.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1480.93   1317.54
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1462.98    979.64
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1443.37   1074.37
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1729.40   1588.86
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   2084.65   1905.29
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1563.77   1604.01
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1584.35   1316.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1480.88   1253.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1503.05   1254.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1640.48   1277.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1734.27   1644.24
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.33      0.00      0.00   1505.69   1532.59
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1560.74   1483.48
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1409.06   1156.82
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1631.81   1538.60
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1711.04   1581.57
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1851.20   1484.96
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1606.93   1313.84
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1481.43   1028.03
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1602.42   1586.52
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1771.29   1673.90
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1605.51   1462.66
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1512.11   1099.08
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1818.24   1864.13
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1348.38   1650.94
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1479.32    807.73
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1440.91   1376.64
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1477.05   1843.75
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1468.14   1096.74
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1708.83   1313.35
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1292.30   1192.78
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   2093.90   2041.22
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1499.96   1225.07
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1671.12   1028.49
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1587.95   1541.67
       eth0                eth1                eth2                eth3                eth4                eth5       
 KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out   KB/s in  KB/s out
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1627.34   1266.04
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1472.73   1402.14
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1575.37   1363.91
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1502.62   1339.45
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1786.20   1961.28
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1251.78   1026.65
    0.00      0.00      0.00      0.00      0.00      0.00      0.06      0.00      0.00      0.00   1601.92   1231.12
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1530.01   1545.36
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1605.68   1228.64
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1326.54   1172.83
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1462.85   1086.97
    0.00      0.00      0.00      0.00      0.00      0.00      0.45      0.00      0.00      0.00   1629.42   1094.95
    0.00      0.00      0.00      0.00      0.00      0.00      0.12      0.00      0.00      0.00   1632.12   1399.63
